,"ADGAS LNG","Arun LNG","Barcelona LNG","Bethioua","Bilbao LNG","Bonny Nigeria","Bontang LNG","Brunei LNG","Canaport LNG","Cartagena LNG","Chita LNG","Dapeng LNG","Darwin LNG","Dominion Cove Point LNG","Dragon LNG","EcoElectrica LNG","Everett Marine Terminal","Fluxys","Freeport LNG","Fujian LNG","Gulf Gateway Deepwater Port","Hakodate LNG","Hammerfest LNG","Huelva LNG","Idku LNG","Karratha Gas Plant","Kenai LNG","Malaysia LNG","Northeast Gateway Deepwater Port","Oman LNG","Petrobras Guanabara LNG","Petrobras Pecem LNG","Port Fontin","Punta Europa LNG","Quintero Bay LNG","Ras Laffan","SEGAS","Sabine Pass LNG","Sakhalin-2","Sonatrach LNG","South Hook LNG","Southern LNG","Tannguh","Trunkline LNG","Yemen LNG"
"Chita LNG",5803,2938,8475,8133,7388,10234,2419,2231,6540,8207,0,1495,2996,7199,6864,8056,6908,6851,8843,1124,8637,458,5585,7588,7292,3513,3204,2340,6908,5452,10662,9322,8468,10216,9487,5892,7239,8819,797,8481,6864,7650,2446,8795,5865
"Dapeng LNG",4491,1626,7437,7586,8681,8922,1333,986,7977,7530,1495,0,2202,8636,8301,9493,8345,8288,10280,375,10074,1874,7022,8150,5980,2503,4666,1100,8345,4140,10037,10294,9905,8904,10147,4580,5927,10256,2207,7169,8301,9087,1915,10232,4553
"Darwin LNG",5107,2278,8007,8156,9251,8459,1368,1735,9229,8100,2996,2202,0,9888,9553,10745,9597,9540,11532,2321,11326,3408,8274,8720,6550,851,5706,1822,9597,4756,8970,9695,11157,8441,8395,5196,6497,11508,3726,7739,9553,10339,619,11484,5147
"Dominion Cove Point LNG",7865,9614,3870,3528,3255,5137,9590,9406,907,3602,7199,8636,9888,0,3020,1259,344,3429,1786,8265,1580,6762,3646,3044,5131,10562,5517,9515,344,7514,4551,3152,1765,5249,8366,7954,5324,1762,6535,3942,3020,480,9283,1738,6636
"Dragon LNG",5776,7525,1781,1439,526,4202,9083,8475,2382,1513,6864,8301,9553,3020,0,3648,2729,594,4620,7930,4414,6427,1383,871,3042,8995,5232,8410,2729,5425,4926,3715,3738,4314,8505,5865,3235,4596,6200,1853,0,3471,8948,4572,4547
"EcoElectrica LNG",8069,9818,4096,3754,3691,4677,10447,10263,1829,3828,8056,9493,10745,1259,3648,0,1422,4000,1499,9122,1342,7619,4483,3335,5335,11076,6374,10372,1422,7718,3649,2232,653,4789,7464,8158,5528,1475,7392,4145,3648,951,10140,1451,6840
"Everett Marine Terminal",7601,9350,3606,3264,2964,5013,9299,9115,616,3338,6908,8345,9597,344,2729,1422,0,3138,2126,7974,1920,6471,3355,2782,4867,10271,5226,9224,0,7250,4569,3184,1954,5125,8384,7690,5060,2102,6244,3678,2729,820,8992,2078,6372
"Fluxys",5892,7641,1897,1555,583,4318,9199,8591,2777,1629,6851,8288,9540,3429,594,4000,3138,0,5039,7917,4833,6414,1296,987,3158,9111,5219,8526,3138,5541,5083,3902,4063,4430,8621,5981,3351,5015,6187,1969,594,3880,8935,4991,4663
"Freeport LNG",9299,11048,5309,4967,4792,6147,11234,11050,2551,5041,8843,10280,11532,1786,4620,1499,2126,5039,0,9909,206,8406,5290,4525,6565,12206,7161,11159,2126,8948,5143,3724,2124,6259,8958,9388,6758,24,8179,5375,4620,1306,10927,48,8070
"Fujian LNG",4866,2001,7812,7961,8454,9297,1519,1278,7606,7905,1124,375,2321,8265,7930,9122,7974,7917,9909,0,9703,1503,6651,8525,6355,2638,4295,1386,7974,4515,10412,10388,9534,9279,10164,4955,6302,9885,1836,7544,7930,8716,1942,9861,4928
"Gulf Gateway Deepwater Port",9093,10842,5103,4761,4586,5962,11028,10844,2345,4835,8637,10074,11326,1580,4414,1342,1920,4833,206,9703,0,8200,5084,4319,6359,12000,6955,10953,1920,8742,4978,3559,1957,6074,8793,9182,6552,182,7973,5169,4414,1100,10721,158,7864
"Hakodate LNG",6214,3349,8038,7696,6951,10051,2831,2646,6103,7770,458,1874,3408,6762,6427,7619,6471,6414,8406,1503,8200,0,5148,7151,7703,3925,2792,2755,6471,5863,10225,8885,8031,10163,9163,6303,7650,8382,346,8110,6427,7213,2858,8358,6276
"Hammerfest LNG",7153,8495,3158,2816,1844,5547,7976,7792,2987,2890,5585,7022,8274,3646,1383,4483,3355,1296,5290,6651,5084,5148,0,2248,4419,8948,3953,7901,3355,6802,6241,5022,4776,5659,9852,7242,4612,5266,4921,3230,1383,4097,7669,5242,5924
"Huelva LNG",4905,6654,910,568,531,3336,8212,7604,2536,642,7588,8150,8720,3044,871,3335,2782,987,4525,8525,4319,7151,2248,0,2171,8124,5906,7539,2782,4554,4115,2942,3276,3448,7637,4994,2364,4501,6924,982,871,3434,8950,4477,3676
"Idku LNG",2735,4484,1458,1607,2702,5028,6042,5434,4649,1551,7292,5980,6550,5131,3042,5335,4867,3158,6565,6355,6359,7703,4419,2171,0,5954,8054,5369,4867,2384,5827,4687,5214,5140,9337,2824,260,6541,8012,1190,3042,5513,6780,6517,1506
"Karratha Gas Plant",4576,1806,7411,7560,8655,7683,1189,1693,9903,7504,3513,2503,851,10562,8995,11076,10271,9111,12206,2638,12000,3925,8948,8124,5954,0,6462,1583,10271,4225,8120,8845,10452,7665,7900,4665,5901,12182,4243,7143,8995,11013,1381,12158,4549
"Kenai LNG",8992,6127,6793,6451,5756,8806,5520,5422,4858,6525,3204,4666,5706,5517,5232,6374,5226,5219,7161,4295,6955,2792,3953,5906,8054,6462,0,5532,5226,8641,8980,7640,6786,8918,6741,9081,8247,7137,2565,6865,5232,5968,5118,7113,9054
"Malaysia LNG",3880,986,6826,6975,8070,8151,754,114,8856,6919,2340,1100,1822,9515,8410,10372,9224,8526,11159,1386,10953,2755,7901,7539,5369,1583,5532,0,9224,3529,9212,9523,10582,8133,9308,3969,5316,11135,3061,6558,8410,9966,1488,11111,3942
"Northeast Gateway Deepwater Port",7601,9350,3606,3264,2964,5013,9299,9115,616,3338,6908,8345,9597,344,2729,1422,0,3138,2126,7974,1920,6471,3355,2782,4867,10271,5226,9224,0,7250,4569,3184,1954,5125,8384,7690,5060,2102,6244,3678,2729,820,8992,2078,6372
"Oman LNG",351,2644,3841,3990,5085,6817,4202,3594,7032,3934,5452,4140,4756,7514,5425,7718,7250,5541,8948,4515,8742,5863,6802,4554,2384,4225,8641,3529,7250,0,7932,7070,7597,6799,9528,440,2331,8924,6172,3573,5425,7896,4940,8900,878
"Petrobras Guanabara LNG",8283,8418,4730,4388,4626,3397,9228,9325,4672,4462,10662,10037,8970,4551,4926,3649,4569,5083,5143,10412,4978,10225,6241,4115,5827,8120,8980,9212,4569,7932,0,1419,3026,3489,3819,8372,6020,5119,9998,4637,4926,4547,9499,5095,7226
"Petrobras Pecem LNG",7421,8675,3573,3231,3445,2764,9650,9636,3301,3305,9322,10294,9695,3152,3715,2232,3184,3902,3724,10388,3559,8885,5022,2942,4687,8845,7640,9523,3184,7070,1419,0,1607,2876,5234,7510,4880,3700,8658,3497,3715,3128,10224,3676,6192
"Port Fontin",7948,9697,3997,3655,3695,4206,10859,10647,2238,3729,8468,9905,11157,1765,3738,653,1954,4063,2124,9534,1957,8031,4776,3276,5214,10452,6786,10582,1954,7597,3026,1607,0,4318,6841,8037,5407,2100,7804,4024,3738,1604,10552,2076,6719
"Punta Europa LNG",7150,7285,4050,3708,3973,112,8260,8246,5032,3782,10216,8904,8441,5249,4314,4789,5125,4430,6259,9279,6074,10163,5659,3448,5140,7665,8918,8133,5125,6799,3489,2876,4318,0,6551,7239,5333,6235,9936,3950,4314,5506,8956,6211,6093
"Quintero Bay LNG",9879,9215,8247,7905,8165,6486,9037,9419,8487,7979,9487,10147,8395,8366,8505,7464,8384,8621,8958,10164,8793,9163,9852,7637,9337,7900,6741,9308,8384,9528,3819,5234,6841,6551,0,9968,9530,8934,9083,8147,8505,8362,8320,8910,8822
"Ras Laffan",89,3084,4281,4430,5525,7257,4642,4034,7472,4374,5892,4580,5196,7954,5865,8158,7690,5981,9388,4955,9182,6303,7242,4994,2824,4665,9081,3969,7690,440,8372,7510,8037,7239,9968,0,2771,9364,6612,4013,5865,8336,5380,9340,1318
"SEGAS",2682,4431,1670,1800,2895,5221,5989,5381,4842,1744,7239,5927,6497,5324,3235,5528,5060,3351,6758,6302,6552,7650,4612,2364,260,5901,8247,5316,5060,2331,6020,4880,5407,5333,9530,2771,0,6734,7959,1383,3235,5706,6727,6710,1453
"Sabine Pass LNG",9275,11024,5285,4943,4768,6123,11210,11026,2527,5017,8819,10256,11508,1762,4596,1475,2102,5015,24,9885,182,8382,5266,4501,6541,12182,7137,11135,2102,8924,5119,3700,2100,6235,8934,9364,6734,0,8155,5351,4596,1282,10903,24,8046
"Sakhalin-2",6523,3658,7811,7469,6724,9824,3145,2953,5876,7543,797,2207,3726,6535,6200,7392,6244,6187,8179,1836,7973,346,4921,6924,8012,4243,2565,3061,6244,6172,9998,8658,7804,9936,9083,6612,7959,8155,0,7883,6200,6986,3176,8131,6585
"Sonatrach LNG",3924,5673,413,418,1513,3838,7231,6623,3460,366,8481,7169,7739,3942,1853,4145,3678,1969,5375,7544,5169,8110,3230,982,1190,7143,6865,6558,3678,3573,4637,3497,4024,3950,8147,4013,1383,5351,7883,0,1853,4324,7969,5327,2695
"South Hook LNG",5776,7525,1781,1439,526,4202,9083,8475,2382,1513,6864,8301,9553,3020,0,3648,2729,594,4620,7930,4414,6427,1383,871,3042,8995,5232,8410,2729,5425,4926,3715,3738,4314,8505,5865,3235,4596,6200,1853,0,3471,8948,4572,4547
"Southern LNG",8247,9996,4252,3910,3678,5394,10041,9857,1358,3984,7650,9087,10339,480,3471,951,820,3880,1306,8716,1100,7213,4097,3434,5513,11013,5968,9966,820,7896,4547,3128,1604,5506,8362,8336,5706,1282,6986,4324,3471,0,9734,1258,7018
"Tannguh",5291,2401,8237,8386,9472,8974,1144,1374,8624,8330,2446,1915,619,9283,8948,10140,8992,8935,10927,1942,10721,2858,7669,8950,6780,1381,5118,1488,8992,4940,9499,10224,10552,8956,8320,5380,6727,10903,3176,7969,8948,9734,0,10879,5353
"Trunkline LNG",9251,11000,5261,4919,4744,6099,11186,11002,2503,4993,8795,10232,11484,1738,4572,1451,2078,4991,48,9861,158,8358,5242,4477,6517,12158,7113,11111,2078,8900,5095,3676,2076,6211,8910,9340,6710,24,8131,5327,4572,1258,10879,0,8022
"Yemen LNG",1229,3057,2963,3112,4207,6111,4615,4007,6154,3056,5865,4553,5147,6636,4547,6840,6372,4663,8070,4928,7864,6276,5924,3676,1506,4549,9054,3942,6372,878,7226,6192,6719,6093,8822,1318,1453,8046,6585,2695,4547,7018,5353,8022,0
