from,ADGAS LNG,Aliaga,Arun LNG,Barcelona LNG,Bethioua,Bilbao LNG,Bintulu,Bonny Nigeria,Bontang LNG,Brunei LNG,Canaport LNG,Cartagena LNG,Chita LNG,Costa Azul LNG Terminal,Dahej,Damietta,Dapeng LNG,Darwin LNG,Dominion Cove Point LNG,Dragon LNG,EcoElectrica LNG,Elba Island,Everett Marine Terminal,Fluxys,Freeport LNG,Fujian LNG,Guangdong,Gulf Gateway Deepwater Port,Hakodate LNG,Hammerfest LNG,Hazira - LNG Terminal,Huelva LNG,Idku LNG,Incheon,Isle of Grain,Karratha Gas Plant,Kenai LNG,Lake Charles,Malaysia LNG,Mina Al Ahmadi,Montoir,Northeast Gateway Deepwater Port,Ogishima - Tokyo Gas LNG Berth,Oman LNG,Pascagoula,Petrobras Guanabara LNG,Petrobras Pecem LNG,Point Fortin,Punta Europa LNG,Pyeongtaek,Quintero Bay LNG,Ras Laffan,SEGAS,Sabine Pass LNG,Sakai,Sakhalin-2,Sonatrach LNG,South Hook LNG,Southern LNG,Tannguh,Tobata,Tong Yong,Trunkline LNG,Yemen LNG,Yung An
Dahej,1076,2872,2056,4382,4531,5626,2941,6777,3614,3006,7573,4475,4864,9910,0,2872,3552,4164,8055,5966,8259,8437,7791,6082,9489,3927,3552,9283,5275,7343,0,5095,2925,4870,6103,3633,8053,9441,2941,1356,5748,7791,5085,731,9164,7892,7611,8138,6759,4853,9488,1163,2872,9465,4806,5584,4114,5966,8437,4352,4620,4707,9441,1483,3855
Damietta,2682,0,4431,1670,1800,2895,5316,5221,5989,5381,4842,1744,7239,10188,2872,0,5927,6497,5324,3235,5528,5706,5060,3351,6758,6302,5927,6552,7650,4612,2872,2364,260,7245,3372,5901,8247,6710,5316,2965,3017,5060,7460,2331,6433,6020,4880,5407,5333,7228,9530,2771,0,6734,7181,7959,1383,3235,5706,6727,6995,7082,6710,1453,6230
Dapeng LNG,4491,5927,1626,7437,7586,8681,1100,8922,1333,986,7977,7530,1495,6527,3552,5927,0,2202,8636,8301,9493,9087,8345,8288,10280,375,0,10074,1874,7022,3552,8150,5980,1374,8260,2503,4666,10232,1100,4774,8589,8345,1792,4140,9955,10037,10294,9905,8904,1357,10147,4580,5927,10256,1437,2207,7169,8301,9087,1915,1247,1211,10232,4553,303
Darwin LNG,5107,6497,2278,8007,8156,9251,1822,8459,1368,1735,9229,8100,2996,7032,4164,6497,2202,0,9888,9553,10745,10339,9597,9540,11532,2321,2202,11326,3408,8274,4164,8720,6550,3019,9512,851,5706,11484,1822,5390,9373,9597,3063,4756,11207,8970,9695,11157,8441,3002,8395,5196,6497,11508,2940,3726,7739,9553,10339,619,2760,2856,11484,5147,2243
Dominion Cove Point LNG,7865,5324,9614,3870,3528,3255,9515,5137,9590,9406,907,3602,7199,7458,8055,5324,8636,9888,0,3020,1259,480,344,3429,1786,8265,8636,1580,6762,3646,8055,3044,5131,7469,3308,10562,5517,1738,9515,8148,3189,344,7063,7514,1461,4551,3152,1765,5249,7452,8366,7954,5324,1762,7261,6535,3942,3020,480,9283,7415,7461,1738,6636,8339
Dragon LNG,5776,3235,7525,1781,1439,526,8410,4202,9083,8475,2382,1513,6864,7173,5966,3235,8301,9553,3020,0,3648,3471,2729,594,4620,7930,8301,4414,6427,1383,5966,871,3042,7134,593,8995,5232,4572,8410,6059,342,2729,6728,5425,4295,4926,3715,3738,4314,7117,8505,5865,3235,4596,6926,6200,1853,0,3471,8948,7080,7126,4572,4547,8004
EcoElectrica LNG,8069,5528,9818,4096,3754,3691,10372,4677,10447,10263,1829,3828,8056,8315,8259,5528,9493,10745,1259,3648,0,951,1422,4000,1499,9122,9493,1342,7619,4483,8259,3335,5335,8326,3980,11076,6374,1451,10372,8352,3700,1422,7920,7718,1227,3649,2232,653,4789,8309,7464,8158,5528,1475,8118,7392,4145,3648,951,10140,8272,8318,1451,6840,9196
Elba Island,8247,5706,9996,4252,3910,3678,9966,5394,10041,9857,1358,3984,7650,7909,8437,5706,9087,10339,480,3471,951,0,820,3880,1306,8716,9087,1100,7213,4097,8437,3434,5513,7920,3759,11013,5968,1258,9966,8530,3618,820,7514,7896,981,4547,3128,1604,5506,7903,8362,8336,5706,1282,7712,6986,4324,3471,0,9734,7866,7912,1258,7018,8790
Everett Marine Terminal,7601,5060,9350,3606,3264,2964,9224,5013,9299,9115,616,3338,6908,7167,7791,5060,8345,9597,344,2729,1422,820,0,3138,2126,7974,8345,1920,6471,3355,7791,2782,4867,7178,3017,10271,5226,2078,9224,7884,2898,0,6772,7250,1801,4569,3184,1954,5125,7161,8384,7690,5060,2102,6970,6244,3678,2729,820,8992,7124,7170,2078,6372,8048
Fluxys,5892,3351,7641,1897,1555,583,8526,4318,9199,8591,2777,1629,6851,7160,6082,3351,8288,9540,3429,594,4000,3880,3138,0,5039,7917,8288,4833,6414,1296,6082,987,3158,7121,150,9111,5219,4991,8526,6175,335,3138,6715,5541,4714,5083,3902,4063,4430,7104,8621,5981,3351,5015,6913,6187,1969,594,3880,8935,7067,7113,4991,4663,7991
Freeport LNG,9299,6758,11048,5309,4967,4792,11159,6147,11234,11050,2551,5041,8843,9102,9489,6758,10280,11532,1786,4620,1499,1306,2126,5039,0,9909,10280,206,8406,5290,9489,4525,6565,9113,4947,12206,7161,48,11159,9582,4767,2126,8707,8948,329,5143,3724,2124,6259,9096,8958,9388,6758,24,8905,8179,5375,4620,1306,10927,9059,9105,48,8070,9983
Fujian LNG,4866,6302,2001,7812,7961,8454,1386,9297,1519,1278,7606,7905,1124,6156,3927,6302,375,2321,8265,7930,9122,8716,7974,7917,9909,0,375,9703,1503,6651,3927,8525,6355,1003,7889,2638,4295,9861,1386,5149,8218,7974,1421,4515,9584,10412,10388,9534,9279,986,10164,4955,6302,9885,1066,1836,7544,7930,8716,1942,876,840,9861,4928,78
Guangdong,4491,5927,1626,7437,7586,8681,1100,8922,1333,986,7977,7530,1495,6527,3552,5927,0,2202,8636,8301,9493,9087,8345,8288,10280,375,0,10074,1874,7022,3552,8150,5980,1374,8260,2503,4666,10232,1100,4774,8589,8345,1792,4140,9955,10037,10294,9905,8904,1357,10147,4580,5927,10256,1437,2207,7169,8301,9087,1915,1247,1211,10232,4553,303
Gulf Gateway Deepwater Port,9093,6552,10842,5103,4761,4586,10953,5962,11028,10844,2345,4835,8637,8896,9283,6552,10074,11326,1580,4414,1342,1100,1920,4833,206,9703,10074,0,8200,5084,9283,4319,6359,8907,4741,12000,6955,158,10953,9376,4561,1920,8501,8742,123,4978,3559,1957,6074,8890,8793,9182,6552,182,8699,7973,5169,4414,1100,10721,8853,8899,158,7864,9777
Hakodate LNG,6214,7650,3349,8038,7696,6951,2755,10051,2831,2646,6103,7770,458,4654,5275,7650,1874,3408,6762,6427,7619,7213,6471,6414,8406,1503,1874,8200,0,5148,5275,7151,7703,709,6386,3925,2792,8358,2755,6497,6715,6471,380,5863,8081,10225,8885,8031,10163,692,9163,6303,7650,8382,517,346,8110,6427,7213,2858,655,703,8358,6276,1577
Hammerfest LNG,7153,4612,8495,3158,2816,1844,7901,5547,7976,7792,2987,2890,5585,5894,7343,4612,7022,8274,3646,1383,4483,4097,3355,1296,5290,6651,7022,5084,5148,0,7343,2248,4419,5855,1268,8948,3953,5242,7901,7436,1596,3355,5449,6802,4965,6241,5022,4776,5659,5838,9852,7242,4612,5266,5647,4921,3230,1383,4097,7669,5801,5847,5242,5924,6725
Hazira - LNG Terminal,1076,2872,2056,4382,4531,5626,2941,6777,3614,3006,7573,4475,4864,9910,0,2872,3552,4164,8055,5966,8259,8437,7791,6082,9489,3927,3552,9283,5275,7343,0,5095,2925,4870,6103,3633,8053,9441,2941,1356,5748,7791,5085,731,9164,7892,7611,8138,6759,4853,9488,1163,2872,9465,4806,5584,4114,5966,8437,4352,4620,4707,9441,1483,3855
Huelva LNG,4905,2364,6654,910,568,531,7539,3336,8212,7604,2536,642,7588,7847,5095,2364,8150,8720,3044,871,3335,3434,2782,987,4525,8525,8150,4319,7151,2248,5095,0,2171,7858,1008,8124,5906,4477,7539,5188,653,2782,7452,4554,4200,4115,2942,3276,3448,7841,7637,4994,2364,4501,7650,6924,982,871,3434,8950,7804,7850,4477,3676,8453
Idku LNG,2735,260,4484,1458,1607,2702,5369,5028,6042,5434,4649,1551,7292,9995,2925,260,5980,6550,5131,3042,5335,5513,4867,3158,6565,6355,5980,6359,7703,4419,2925,2171,0,7298,3179,5954,8054,6517,5369,3018,2824,4867,7513,2384,6240,5827,4687,5214,5140,7281,9337,2824,260,6541,7234,8012,1190,3042,5513,6780,7048,7135,6517,1506,6283
Incheon,5809,7245,2944,8745,8403,7658,2306,10240,2410,2201,6810,8477,471,5362,4870,7245,1374,3019,7469,7134,8326,7920,7178,7121,9113,1003,1374,8907,709,5855,4870,7858,7298,0,7093,3519,3499,9065,2306,6092,7422,7178,866,5458,8788,10932,9592,8738,10222,21,9839,5898,7245,9089,443,944,8487,7134,7920,2503,336,163,9065,5871,1077
Isle of Grain,5913,3372,7662,1918,1576,604,8547,4339,9214,8612,2656,1650,6823,7132,6103,3372,8260,9512,3308,593,3980,3759,3017,150,4947,7889,8260,4741,6386,1268,6103,1008,3179,7093,0,9132,5191,4899,8547,6196,356,3017,6687,5562,4622,5104,3923,4076,4451,7076,8642,6002,3372,4923,6885,6159,1990,593,3759,8907,7039,7085,4899,4684,7963
Karratha Gas Plant,4576,5901,1806,7411,7560,8655,1583,7683,1189,1693,9903,7504,3513,7831,3633,5901,2503,851,10562,8995,11076,11013,10271,9111,12206,2638,2503,12000,3925,8948,3633,8124,5954,3519,9132,0,6462,12158,1583,4859,8777,10271,3636,4225,11881,8120,8845,10452,7665,3502,7900,4665,5901,12182,3457,4243,7143,8995,11013,1381,3284,3356,12158,4549,2560
Kenai LNG,8992,8247,6127,6793,6451,5756,5532,8806,5520,5422,4858,6525,3204,2129,8053,8247,4666,5706,5517,5232,6374,5968,5226,5219,7161,4295,4666,6955,2792,3953,8053,5906,8054,3499,5191,6462,0,7113,5532,9275,5520,5226,3039,8641,6836,8980,7640,6786,8918,3482,6741,9081,8247,7137,3266,2565,6865,5232,5968,5118,3433,3491,7113,9054,4369
Lake Charles,9251,6710,11000,5261,4919,4744,11111,6099,11186,11002,2503,4993,8795,9054,9441,6710,10232,11484,1738,4572,1451,1258,2078,4991,48,9861,10232,158,8358,5242,9441,4477,6517,9065,4899,12158,7113,0,11111,9534,4719,2078,8659,8900,281,5095,3676,2076,6211,9048,8910,9340,6710,24,8857,8131,5327,4572,1258,10879,9011,9057,0,8022,9935
Malaysia LNG,3880,5316,986,6826,6975,8070,0,8151,754,114,8856,6919,2340,7267,2941,5316,1100,1822,9515,8410,10372,9966,9224,8526,11159,1386,1100,10953,2755,7901,2941,7539,5369,2306,8547,1583,5532,11111,0,4163,8192,9224,2528,3529,10834,9212,9523,10582,8133,2289,9308,3969,5316,11135,2282,3061,6558,8410,9966,1488,2100,2143,11111,3942,1308
Mina Al Ahmadi,283,2965,3278,4475,4624,5719,4163,7451,4836,4228,7666,4568,6086,11132,1356,2965,4774,5390,8148,6059,8352,8530,7884,6175,9582,5149,4774,9376,6497,7436,1356,5188,3018,6092,6196,4859,9275,9534,4163,0,5841,7884,6307,634,9257,8566,7704,8231,7433,6075,10162,194,2965,9558,6028,6806,4207,6059,8530,5574,5842,5929,9534,1512,5077
Montoir,5558,3017,7307,1563,1221,248,8192,3984,8865,8257,2582,1295,7152,7461,5748,3017,8589,9373,3189,342,3700,3618,2898,335,4767,8218,8589,4561,6715,1596,5748,653,2824,7422,356,8777,5520,4719,8192,5841,0,2898,7016,5207,4442,4750,3569,3747,4096,7405,8287,5647,3017,4743,7214,6488,1635,342,3618,9236,7368,7414,4719,4329,8292
Northeast Gateway Deepwater Port,7601,5060,9350,3606,3264,2964,9224,5013,9299,9115,616,3338,6908,7167,7791,5060,8345,9597,344,2729,1422,820,0,3138,2126,7974,8345,1920,6471,3355,7791,2782,4867,7178,3017,10271,5226,2078,9224,7884,2898,0,6772,7250,1801,4569,3184,1954,5125,7161,8384,7690,5060,2102,6970,6244,3678,2729,820,8992,7124,7170,2078,6372,8048
Ogishima - Tokyo Gas LNG Berth,6024,7460,3159,8339,7997,7252,2528,10352,2563,2418,6404,8071,518,4870,5085,7460,1792,3063,7063,6728,7920,7514,6772,6715,8707,1421,1792,8501,380,5449,5085,7452,7513,866,6687,3636,3039,8659,2528,6307,7016,6772,0,5673,8382,10526,9186,8332,10437,849,9188,6113,7460,8683,580,720,8411,6728,7514,2501,657,830,8659,6086,1495
Oman LNG,351,2331,2644,3841,3990,5085,3529,6817,4202,3594,7032,3934,5452,10498,731,2331,4140,4756,7514,5425,7718,7896,7250,5541,8948,4515,4140,8742,5863,6802,731,4554,2384,5458,5562,4225,8641,8900,3529,634,5207,7250,5673,0,8623,7932,7070,7597,6799,5441,9528,440,2331,8924,5394,6172,3573,5425,7896,4940,5208,5295,8900,878,4443
Pascagoula,8974,6433,10723,4984,4642,4467,10834,5843,10909,10725,2226,4716,8518,8777,9164,6433,9955,11207,1461,4295,1227,981,1801,4714,329,9584,9955,123,8081,4965,9164,4200,6240,8788,4622,11881,6836,281,10834,9257,4442,1801,8382,8623,0,4876,3459,1870,5955,8771,8691,9063,6433,305,8580,7854,5050,4295,981,10602,8734,8780,281,7745,9658
Petrobras Guanabara LNG,8283,6020,8418,4730,4388,4626,9212,3397,9228,9325,4672,4462,10662,8144,7892,6020,10037,8970,4551,4926,3649,4547,4569,5083,5143,10412,10037,4978,10225,6241,7892,4115,5827,10932,5104,8120,8980,5095,9212,8566,4750,4569,10526,7932,4876,0,1419,3026,3489,10915,3819,8372,6020,5119,10724,9998,4637,4926,4547,9499,10878,10924,5095,7226,10340
Petrobras Pecem LNG,7421,4880,8675,3573,3231,3445,9523,2764,9650,9636,3301,3305,9322,9559,7611,4880,10294,9695,3152,3715,2232,3128,3184,3902,3724,10388,10294,3559,8885,5022,7611,2942,4687,9592,3923,8845,7640,3676,9523,7704,3569,3184,9186,7070,3459,1419,0,1607,2876,9575,5234,7510,4880,3700,9384,8658,3497,3715,3128,10224,9538,9584,3676,6192,10462
Point Fortin,7948,5407,9697,3997,3655,3695,10582,4206,10859,10647,2238,3729,8468,8727,8138,5407,9905,11157,1765,3738,653,1604,1954,4063,2124,9534,9905,1957,8031,4776,8138,3276,5214,8738,4076,10452,6786,2076,10582,8231,3747,1954,8332,7597,1870,3026,1607,0,4318,8721,6841,8037,5407,2100,8530,7804,4024,3738,1604,10552,8684,8730,2076,6719,9608
Punta Europa LNG,7150,5333,7285,4050,3708,3973,8133,112,8260,8246,5032,3782,10216,10859,6759,5333,8904,8441,5249,4314,4789,5506,5125,4430,6259,9279,8904,6074,10163,5659,6759,3448,5140,10222,4451,7665,8918,6211,8133,7433,4096,5125,10437,6799,5955,3489,2876,4318,0,10205,6551,7239,5333,6235,10158,9936,3950,4314,5506,8956,9972,10059,6211,6093,9207
Pyeongtaek,5792,7228,2927,8728,8386,7641,2289,10223,2393,2184,6793,8460,454,5345,4853,7228,1357,3002,7452,7117,8309,7903,7161,7104,9096,986,1357,8890,692,5838,4853,7841,7281,21,7076,3502,3482,9048,2289,6075,7405,7161,849,5441,8771,10915,9575,8721,10205,0,9822,5881,7228,9072,426,961,8470,7117,7903,2486,319,146,9048,5854,1060
Quintero Bay LNG,9879,9530,9215,8247,7905,8165,9308,6486,9037,9419,8487,7979,9487,4620,9488,9530,10147,8395,8366,8505,7464,8362,8384,8621,8958,10164,10147,8793,9163,9852,9488,7637,9337,9839,8642,7900,6741,8910,9308,10162,8287,8384,9188,9528,8691,3819,5234,6841,6551,9822,0,9968,9530,8934,9549,9083,8147,8505,8362,8320,9713,9812,8910,8822,10086
Ras Laffan,89,2771,3084,4281,4430,5525,3969,7257,4642,4034,7472,4374,5892,10938,1163,2771,4580,5196,7954,5865,8158,8336,7690,5981,9388,4955,4580,9182,6303,7242,1163,4994,2824,5898,6002,4665,9081,9340,3969,194,5647,7690,6113,440,9063,8372,7510,8037,7239,5881,9968,0,2771,9364,5834,6612,4013,5865,8336,5380,5648,5735,9340,1318,4883
SEGAS,2682,0,4431,1670,1800,2895,5316,5221,5989,5381,4842,1744,7239,10188,2872,0,5927,6497,5324,3235,5528,5706,5060,3351,6758,6302,5927,6552,7650,4612,2872,2364,260,7245,3372,5901,8247,6710,5316,2965,3017,5060,7460,2331,6433,6020,4880,5407,5333,7228,9530,2771,0,6734,7181,7959,1383,3235,5706,6727,6995,7082,6710,1453,6230
Sabine Pass LNG,9275,6734,11024,5285,4943,4768,11135,6123,11210,11026,2527,5017,8819,9078,9465,6734,10256,11508,1762,4596,1475,1282,2102,5015,24,9885,10256,182,8382,5266,9465,4501,6541,9089,4923,12182,7137,24,11135,9558,4743,2102,8683,8924,305,5119,3700,2100,6235,9072,8934,9364,6734,0,8881,8155,5351,4596,1282,10903,9035,9081,24,8046,9959
Sakai,5745,7181,2880,8537,8195,7450,2282,10176,2363,2173,6602,8269,62,5134,4806,7181,1437,2940,7261,6926,8118,7712,6970,6913,8905,1066,1437,8699,517,5647,4806,7650,7234,443,6885,3457,3266,8857,2282,6028,7214,6970,580,5394,8580,10724,9384,8530,10158,426,9549,5834,7181,8881,0,853,8423,6926,7712,2390,191,351,8857,5807,1140
Sakhalin-2,6523,7959,3658,7811,7469,6724,3061,9824,3145,2953,5876,7543,797,4484,5584,7959,2207,3726,6535,6200,7392,6986,6244,6187,8179,1836,2207,7973,346,4921,5584,6924,8012,944,6159,4243,2565,8131,3061,6806,6488,6244,720,6172,7854,9998,8658,7804,9936,961,9083,6612,7959,8155,853,0,7883,6200,6986,3176,968,1049,8131,6585,1910
Sonatrach LNG,3924,1383,5673,413,418,1513,6558,3838,7231,6623,3460,366,8481,8806,4114,1383,7169,7739,3942,1853,4145,4324,3678,1969,5375,7544,7169,5169,8110,3230,4114,982,1190,8487,1990,7143,6865,5327,6558,4207,1635,3678,8411,3573,5050,4637,3497,4024,3950,8470,8147,4013,1383,5351,8423,7883,0,1853,4324,7969,8237,8324,5327,2695,7472
South Hook LNG,5776,3235,7525,1781,1439,526,8410,4202,9083,8475,2382,1513,6864,7173,5966,3235,8301,9553,3020,0,3648,3471,2729,594,4620,7930,8301,4414,6427,1383,5966,871,3042,7134,593,8995,5232,4572,8410,6059,342,2729,6728,5425,4295,4926,3715,3738,4314,7117,8505,5865,3235,4596,6926,6200,1853,0,3471,8948,7080,7126,4572,4547,8004
Southern LNG,8247,5706,9996,4252,3910,3678,9966,5394,10041,9857,1358,3984,7650,7909,8437,5706,9087,10339,480,3471,951,0,820,3880,1306,8716,9087,1100,7213,4097,8437,3434,5513,7920,3759,11013,5968,1258,9966,8530,3618,820,7514,7896,981,4547,3128,1604,5506,7903,8362,8336,5706,1282,7712,6986,4324,3471,0,9734,7866,7912,1258,7018,8790
Tannguh,5291,6727,2401,8237,8386,9472,1488,8974,1144,1374,8624,8330,2446,6474,4352,6727,1915,619,9283,8948,10140,9734,8992,8935,10927,1942,1915,10721,2858,7669,4352,8950,6780,2503,8907,1381,5118,10879,1488,5574,9236,8992,2501,4940,10602,9499,10224,10552,8956,2486,8320,5380,6727,10903,2390,3176,7969,8948,9734,0,2210,2340,10879,5353,1864
Tobata,5559,6995,2694,8505,8349,7604,2100,9990,2181,1991,6756,8423,248,5301,4620,6995,1247,2760,7415,7080,8272,7866,7124,7067,9059,876,1247,8853,655,5801,4620,7804,7048,336,7039,3284,3433,9011,2100,5842,7368,7124,657,5208,8734,10878,9538,8684,9972,319,9713,5648,6995,9035,191,968,8237,7080,7866,2210,0,173,9011,5621,950
Tong Yong,5646,7082,2781,8592,8395,7650,2143,10077,2247,2038,6802,8469,399,5357,4707,7082,1211,2856,7461,7126,8318,7912,7170,7113,9105,840,1211,8899,703,5847,4707,7850,7135,163,7085,3356,3491,9057,2143,5929,7414,7170,830,5295,8780,10924,9584,8730,10059,146,9812,5735,7082,9081,351,1049,8324,7126,7912,2340,173,0,9057,5708,914
Trunkline LNG,9251,6710,11000,5261,4919,4744,11111,6099,11186,11002,2503,4993,8795,9054,9441,6710,10232,11484,1738,4572,1451,1258,2078,4991,48,9861,10232,158,8358,5242,9441,4477,6517,9065,4899,12158,7113,0,11111,9534,4719,2078,8659,8900,281,5095,3676,2076,6211,9048,8910,9340,6710,24,8857,8131,5327,4572,1258,10879,9011,9057,0,8022,9935
Yemen LNG,1229,1453,3057,2963,3112,4207,3942,6111,4615,4007,6154,3056,5865,10911,1483,1453,4553,5147,6636,4547,6840,7018,6372,4663,8070,4928,4553,7864,6276,5924,1483,3676,1506,5871,4684,4549,9054,8022,3942,1512,4329,6372,6086,878,7745,7226,6192,6719,6093,5854,8822,1318,1453,8046,5807,6585,2695,4547,7018,5353,5621,5708,8022,0,4856
