Dragon LNG,SEGAS,Dahej,Arun LNG,Bontang LNG,Tobata,Petrobras Guanabara LNG,Isle of Grain,Hazira - LNG Terminal,Fluxys,Tannguh,Everett Marine Terminal,Chita LNG,Aliaga,Karratha Gas Plant,Gulf Gateway Deepwater Port,Huelva LNG,Dapeng LNG,Hakodate LNG,Damietta,Barcelona LNG,Sonatrach LNG,Canaport LNG,Ras Laffan,Pascagoula,Petrobras Pecem LNG,Bethioua,Dominion Cove Point LNG,Montoir,Oman LNG,Kenai LNG,Bilbao LNG,Yemen LNG,Yung An,Malaysia LNG,Brunei LNG,South Hook LNG,Bonny Nigeria,Cartagena LNG,Freeport LNG,from,Darwin LNG,Guangdong,Pyeongtaek,Mina Al Ahmadi,Ogishima - Tokyo Gas LNG Berth,Punta Europa LNG,Sakai,Bintulu,Hammerfest LNG,Sakhalin-2,Lake Charles,EcoElectrica LNG,Elba Island,Incheon,ADGAS LNG,Southern LNG,Costa Azul LNG Terminal,Fujian LNG,Point Fortin,Idku LNG,Tong Yong,Sabine Pass LNG,Quintero Bay LNG,Trunkline LNG,Northeast Gateway Deepwater Port
8948,11903,4352,2401,1144,2210,9499,8907,4352,8935,0,8992,2446,11903,1381,10721,9672,1915,2858,11903,10617,10618,8624,5380,10602,10224,10263,9283,9236,4940,5118,9472,5353,1864,1488,1374,8948,8974,10351,10927,Tannguh,619,1915,2486,5574,2501,8956,2390,1488,7669,3176,10879,10140,9734,2503,5291,9734,6474,1942,10552,11835,2340,10903,8320,10879,8992
2729,4950,11089,9818,9299,7124,4569,3017,11089,3138,8992,0,6908,4950,10271,1920,2782,8345,6471,4950,3664,3665,616,11569,1801,3184,3310,344,2898,11129,5226,2964,10423,8048,9224,9115,2729,5013,3398,2126,Everett Marine Terminal,9597,8345,7161,11763,6772,5125,6970,9224,3355,6244,2078,1422,820,7178,11480,820,7167,7974,1954,4882,7170,2102,8384,2078,0
6864,9819,4864,2938,2419,248,10662,6823,4864,6851,2446,6908,0,9819,3513,8637,7588,1495,458,9819,8533,8534,6540,5892,8518,9322,8179,7199,7152,5452,3204,7388,5865,1198,2340,2231,6864,10234,8267,8843,Chita LNG,2996,1495,454,6086,518,10216,62,2340,5585,797,8795,8056,7650,471,5803,7650,5072,1124,8468,9751,399,8819,9487,8795,6908
3125,0,11281,11807,12210,10035,5936,3262,11281,3241,11903,4950,9819,0,12187,6442,2254,11256,9382,0,1531,1285,4732,11761,6323,4797,1663,5214,2907,11321,8137,2785,10615,10959,12135,12026,3125,5137,1646,6648,Aliaga,12508,11256,10072,11955,9683,5249,9881,12135,4502,9155,6600,5425,5593,10089,11672,5593,10078,10885,5307,72,10081,6624,9446,6600,4950
10227,12187,3633,1806,1189,3284,8120,10186,3633,10214,1381,10271,3513,12187,0,12000,10386,2503,3925,12187,10926,10902,9903,4665,11881,8845,10572,10562,10515,4225,6462,10751,4549,2560,1583,1693,10227,7683,10660,12206,Karratha Gas Plant,851,2503,3502,4859,3636,7665,3457,1583,8948,4243,12158,11076,11013,3519,4576,11013,7831,2638,10452,12119,3356,12182,7900,12158,10271
4414,6442,11708,11547,11028,8853,4978,4741,11708,4833,10721,1920,8637,6442,12000,0,4319,10074,8200,6442,5161,5157,2345,12188,123,3559,4807,1580,4561,11748,6955,4586,11042,9777,10953,10844,4414,5962,4895,206,Gulf Gateway Deepwater Port,11326,10074,8890,12382,8501,6074,8699,10953,5084,7973,158,1342,1100,8907,12099,1100,8896,9703,1957,6374,8899,182,8793,158,1920
8301,11256,3552,1626,1333,1247,10037,8260,3552,8288,1915,8345,1495,11256,2503,10074,9025,0,1874,11256,9970,9971,7977,4580,9955,10294,9616,8636,8589,4140,4666,8825,4553,303,1100,986,8301,8922,9704,10280,Dapeng LNG,2202,0,1357,4774,1792,8904,1437,1100,7022,2207,10232,9493,9087,1374,4491,9087,6527,375,9905,11188,1211,10256,10147,10232,8345
871,2254,9480,10006,9979,7804,4115,1008,9480,987,9672,2782,7588,2254,10386,4319,0,9025,7151,2254,968,969,2536,9960,4200,2942,614,3044,653,9520,5906,531,8814,8728,9904,9795,871,3336,702,4525,Huelva LNG,10277,9025,7841,10154,7452,3448,7650,9904,2248,6924,4477,3335,3434,7858,9871,3434,7847,8654,3276,2186,7850,4501,7637,4477,2782
6427,9382,5275,3349,2831,655,10225,6386,5275,6414,2858,6471,458,9382,3925,8200,7151,1874,0,9382,8096,8097,6103,6303,8081,8885,7742,6762,6715,5863,2792,6951,6276,1577,2755,2646,6427,10051,7830,8406,Hakodate LNG,3408,1874,692,6497,380,10163,517,2755,5148,346,8358,7619,7213,709,6214,7213,4654,1503,8031,9314,703,8382,9163,8358,6471
3125,0,11281,11807,12210,10035,5936,3262,11281,3241,11903,4950,9819,0,12187,6442,2254,11256,9382,0,1531,1285,4732,11761,6323,4797,1663,5214,2907,11321,8137,2785,10615,10959,12135,12026,3125,5137,1646,6648,Damietta,12508,11256,10072,11955,9683,5249,9881,12135,4502,9155,6600,5425,5593,10089,11672,5593,10078,10885,5307,72,10081,6624,9446,6600,4950
1839,1531,10020,10546,10924,8749,4675,1976,10020,1955,10617,3664,8533,1531,10926,5161,968,9970,8096,1531,0,413,3446,10500,5042,3536,354,3928,1621,10060,6851,1499,9354,9673,10849,10740,1839,3876,268,5367,Barcelona LNG,11222,9970,8786,10694,8397,3988,8595,10849,3216,7869,5319,4148,4310,8803,10411,4310,8792,9599,4036,1470,8795,5343,8185,5319,3664
1840,1285,9996,10522,10925,8750,4651,1977,9996,1956,10618,3665,8534,1285,10902,5157,969,9971,8097,1285,413,0,3447,10476,5038,3512,378,3929,1622,10036,6852,1500,9330,9674,10850,10741,1840,3852,366,5363,Sonatrach LNG,11223,9971,8787,10670,8398,3964,8596,10850,3217,7870,5315,4140,4308,8804,10387,4308,8793,9600,4022,1217,8796,5339,8161,5315,3665
2382,4732,11062,9450,8931,6756,4672,2656,11062,2777,8624,616,6540,4732,9903,2345,2536,7977,6103,4732,3446,3447,0,11542,2226,3301,3092,907,2582,11102,4858,2669,10396,7680,8856,8747,2382,4920,3180,2551,Canaport LNG,9229,7977,6793,11736,6404,5032,6602,8856,2987,5876,2503,1829,1358,6810,11453,1358,6799,7606,2238,4664,6802,2527,8487,2503,616
10826,11761,1163,3084,4642,5648,8372,10963,1163,10942,5380,11569,5892,11761,4665,12188,9960,4580,6303,11761,10500,10476,11542,0,12088,8629,10146,11650,10608,440,9081,10485,1318,4883,3969,4034,10826,7257,10234,12353,Ras Laffan,5196,4580,5881,194,6113,7239,5834,3969,11449,6612,12305,10861,11757,5898,89,11757,10938,4955,10236,11693,5735,12329,9968,12305,11569
4295,6323,11608,11428,10909,8734,4876,4622,11608,4714,10602,1801,8518,6323,11881,123,4200,9955,8081,6323,5042,5038,2226,12088,0,3459,4688,1461,4442,11648,6836,4467,10942,9658,10834,10725,4295,5843,4776,329,Pascagoula,11207,9955,8771,12282,8382,5955,8580,10834,4965,7854,281,1227,981,8788,11999,981,8777,9584,1870,6255,8780,305,8691,281,1801
3715,4797,8149,8675,9650,9538,1419,3923,8149,3902,10224,3184,9322,4797,8845,3559,2942,10294,8885,4797,3536,3512,3301,8629,3459,0,3182,3152,3569,8189,7640,3445,7483,10462,9523,9636,3715,2764,3270,3724,Petrobras Pecem LNG,9695,10294,9575,8823,9186,2876,9384,9523,5022,8658,3676,2232,3128,9592,8540,3128,9559,10388,1607,4729,9584,3700,5234,3676,3184
1485,1663,9666,10192,10570,8395,4321,1622,9666,1601,10263,3310,8179,1663,10572,4807,614,9616,7742,1663,354,378,3092,10146,4688,3182,0,3574,1267,9706,6497,1145,9000,9319,10495,10386,1485,3522,88,5013,Bethioua,10868,9616,8432,10340,8043,3634,8241,10495,2862,7515,4965,3794,3956,8449,10057,3956,8438,9245,3682,1595,8441,4989,7831,4965,3310
3020,5214,11170,10109,9590,7415,4551,3308,11170,3429,9283,344,7199,5214,10562,1580,3044,8636,6762,5214,3928,3929,907,11650,1461,3152,3574,0,3189,11210,5517,3255,10504,8339,9515,9406,3020,5137,3662,1786,Dominion Cove Point LNG,9888,8636,7452,11844,7063,5249,7261,9515,3646,6535,1738,1259,480,7469,11561,480,7458,8265,1765,5146,7461,1762,8366,1738,344
342,2907,10128,10062,9543,7368,4750,356,10128,335,9236,2898,7152,2907,10515,4561,653,8589,6715,2907,1621,1622,2582,10608,4442,3569,1267,3189,0,10168,5520,248,9462,8292,9468,9359,342,3984,1355,4767,Montoir,9841,8589,7405,10802,7016,4096,7214,9468,1596,6488,4719,3700,3618,7422,10519,3618,7461,8218,3747,2839,7414,4743,8287,4719,2898
10386,11321,731,2644,4202,5208,7932,10523,731,10502,4940,11129,5452,11321,4225,11748,9520,4140,5863,11321,10060,10036,11102,440,11648,8189,9706,11210,10168,0,8641,10045,878,4443,3529,3594,10386,6817,9794,11913,Oman LNG,4756,4140,5441,634,5673,6799,5394,3529,11009,6172,11865,10421,11317,5458,351,11317,10498,4515,9796,11253,5295,11889,9528,11865,11129
5232,8137,8053,6127,5520,3433,8980,5191,8053,5219,5118,5226,3204,8137,6462,6955,5906,4666,2792,8137,6851,6852,4858,9081,6836,7640,6497,5517,5520,8641,0,5756,9054,4369,5532,5422,5232,8806,6585,7161,Kenai LNG,5706,4666,3482,9275,3039,8918,3266,5532,3953,2565,7113,6374,5968,3499,8992,5968,2129,4295,6786,8069,3491,7137,6741,7113,5226
9680,10615,1483,3057,4615,5621,7226,9817,1483,9796,5353,10423,5865,10615,4549,11042,8814,4553,6276,10615,9354,9330,10396,1318,10942,7483,9000,10504,9462,878,9054,9339,0,4856,3942,4007,9680,6111,9088,11207,Yemen LNG,5147,4553,5854,1512,6086,6093,5807,3942,11025,6585,11159,9715,10611,5871,1229,10611,10911,4928,9090,10547,5708,11183,8822,11159,10423
526,2785,10005,10298,9779,7604,4626,604,10005,583,9472,2964,7388,2785,10751,4586,531,8825,6951,2785,1499,1500,2669,10485,4467,3445,1145,3255,248,10045,5756,0,9339,8528,9704,9595,526,3861,1233,4792,Bilbao LNG,10077,8825,7641,10679,7252,3973,7450,9704,1844,6724,4744,3691,3678,7658,10396,3678,7697,8454,3695,2717,7650,4768,8165,4744,2964
8004,10959,3855,1929,1441,950,10340,7963,3855,7991,1864,8048,1198,10959,2560,9777,8728,303,1577,10959,9673,9674,7680,4883,9658,10462,9319,8339,8292,4443,4369,8528,4856,0,1308,1200,8004,9225,9407,9983,Yung An,2243,303,1060,5077,1495,9207,1140,1308,6725,1910,9935,9196,8790,1077,4794,8790,6230,78,9608,10891,914,9959,10086,9935,8048
9180,12135,2941,986,754,2100,9212,9139,2941,9167,1488,9224,2340,12135,1583,10953,9904,1100,2755,12135,10849,10850,8856,3969,10834,9523,10495,9515,9468,3529,5532,9704,3942,1308,0,114,9180,8151,10583,11159,Malaysia LNG,1822,1100,2289,4163,2528,8133,2282,0,7901,3061,11111,10372,9966,2306,3880,9966,7267,1386,10784,12067,2143,11135,9308,11111,9224
9071,12026,3006,1052,640,1991,9325,9030,3006,9058,1374,9115,2231,12026,1693,10844,9795,986,2646,12026,10740,10741,8747,4034,10725,9636,10386,9406,9359,3594,5422,9595,4007,1200,114,0,9071,8264,10474,11050,Brunei LNG,1735,986,2184,4228,2418,8246,2173,114,7792,2953,11002,10263,9857,2201,3945,9857,7153,1278,10675,11958,2038,11026,9419,11002,9115
0,3125,10346,9774,9255,7080,4926,593,10346,594,8948,2729,6864,3125,10227,4414,871,8301,6427,3125,1839,1840,2382,10826,4295,3715,1485,3020,342,10386,5232,526,9680,8004,9180,9071,0,4202,1573,4620,South Hook LNG,9553,8301,7117,11020,6728,4314,6926,9180,1383,6200,4572,3648,3471,7134,10737,3471,7173,7930,3738,3057,7126,4596,8505,4572,2729
4202,5137,6777,7303,8278,9990,3397,4339,6777,4318,8974,5013,10234,5137,7683,5962,3336,8922,10051,5137,3876,3852,4920,7257,5843,2764,3522,5137,3984,6817,8806,3861,6111,9225,8151,8264,4202,0,3610,6147,Bonny Nigeria,8459,8922,10223,7451,10352,112,10176,8151,5547,9824,6099,4677,5394,10240,7168,5394,10747,9297,4206,5069,10077,6123,6486,6099,5013
1573,1646,9754,10280,10658,8483,4409,1710,9754,1689,10351,3398,8267,1646,10660,4895,702,9704,7830,1646,268,366,3180,10234,4776,3270,88,3662,1355,9794,6585,1233,9088,9407,10583,10474,1573,3610,0,5101,Cartagena LNG,10956,9704,8520,10428,8131,3722,8329,10583,2950,7603,5053,3882,4044,8537,10145,4044,8526,9333,3770,1575,8529,5077,7919,5053,3398
4620,6648,11873,11753,11234,9059,5143,4947,11873,5039,10927,2126,8843,6648,12206,206,4525,10280,8406,6648,5367,5363,2551,12353,329,3724,5013,1786,4767,11913,7161,4792,11207,9983,11159,11050,4620,6147,5101,0,Freeport LNG,11532,10280,9096,12547,8707,6259,8905,11159,5290,8179,48,1499,1306,9113,12264,1306,9102,9909,2124,6580,9105,24,8958,48,2126
9553,12508,4164,2278,1368,2760,8970,9512,4164,9540,619,9597,2996,12508,851,11326,10277,2202,3408,12508,11222,11223,9229,5196,11207,9695,10868,9888,9841,4756,5706,10077,5147,2243,1822,1735,9553,8459,10956,11532,Darwin LNG,0,2202,3002,5390,3063,8441,2940,1822,8274,3726,11484,10745,10339,3019,5107,10339,7032,2321,11157,12440,2856,11508,8395,11484,9597
8301,11256,3552,1626,1333,1247,10037,8260,3552,8288,1915,8345,1495,11256,2503,10074,9025,0,1874,11256,9970,9971,7977,4580,9955,10294,9616,8636,8589,4140,4666,8825,4553,303,1100,986,8301,8922,9704,10280,Guangdong,2202,0,1357,4774,1792,8904,1437,1100,7022,2207,10232,9493,9087,1374,4491,9087,6527,375,9905,11188,1211,10256,10147,10232,8345
7117,10072,4853,2927,2393,319,10915,7076,4853,7104,2486,7161,454,10072,3502,8890,7841,1357,692,10072,8786,8787,6793,5881,8771,9575,8432,7452,7405,5441,3482,7641,5854,1060,2289,2184,7117,10223,8520,9096,Pyeongtaek,3002,1357,0,6075,849,10205,426,2289,5838,961,9048,8309,7903,21,5792,7903,5345,986,8721,10004,146,9072,9822,9048,7161
11020,11955,1356,3278,4836,5842,8566,11157,1356,11136,5574,11763,6086,11955,4859,12382,10154,4774,6497,11955,10694,10670,11736,194,12282,8823,10340,11844,10802,634,9275,10679,1512,5077,4163,4228,11020,7451,10428,12547,Mina Al Ahmadi,5390,4774,6075,0,6307,7433,6028,4163,11643,6806,12499,11055,11951,6092,283,11951,11132,5149,10430,11887,5929,12523,10162,12499,11763
6728,9683,5085,3159,2563,657,10526,6687,5085,6715,2501,6772,518,9683,3636,8501,7452,1792,380,9683,8397,8398,6404,6113,8382,9186,8043,7063,7016,5673,3039,7252,6086,1495,2528,2418,6728,10352,8131,8707,Ogishima - Tokyo Gas LNG Berth,3063,1792,849,6307,0,10437,580,2528,5449,720,8659,7920,7514,866,6024,7514,4870,1421,8332,9615,830,8683,9188,8659,6772
4314,5249,6759,7285,8260,9972,3489,4451,6759,4430,8956,5125,10216,5249,7665,6074,3448,8904,10163,5249,3988,3964,5032,7239,5955,2876,3634,5249,4096,6799,8918,3973,6093,9207,8133,8246,4314,112,3722,6259,Punta Europa LNG,8441,8904,10205,7433,10437,0,10158,8133,5659,9936,6211,4789,5506,10222,7150,5506,10859,9279,4318,5181,10059,6235,6551,6211,5125
6926,9881,4806,2880,2363,191,10724,6885,4806,6913,2390,6970,62,9881,3457,8699,7650,1437,517,9881,8595,8596,6602,5834,8580,9384,8241,7261,7214,5394,3266,7450,5807,1140,2282,2173,6926,10176,8329,8905,Sakai,2940,1437,426,6028,580,10158,0,2282,5647,853,8857,8118,7712,443,5745,7712,5134,1066,8530,9813,351,8881,9549,8857,6970
9180,12135,2941,986,754,2100,9212,9139,2941,9167,1488,9224,2340,12135,1583,10953,9904,1100,2755,12135,10849,10850,8856,3969,10834,9523,10495,9515,9468,3529,5532,9704,3942,1308,0,114,9180,8151,10583,11159,Bintulu,1822,1100,2289,4163,2528,8133,2282,0,7901,3061,11111,10372,9966,2306,3880,9966,7267,1386,10784,12067,2143,11135,9308,11111,9224
1383,4502,10421,8495,7976,5801,6241,1268,10421,1296,7669,3355,5585,4502,8948,5084,2248,7022,5148,4502,3216,3217,2987,11449,4965,5022,2862,3646,1596,11009,3953,1844,11025,6725,7901,7792,1383,5547,2950,5290,Hammerfest LNG,8274,7022,5838,11643,5449,5659,5647,7901,0,4921,5242,4483,4097,5855,11360,4097,5894,6651,4776,4434,5847,5266,9852,5242,3355
6200,9155,5584,3658,3145,968,9998,6159,5584,6187,3176,6244,797,9155,4243,7973,6924,2207,346,9155,7869,7870,5876,6612,7854,8658,7515,6535,6488,6172,2565,6724,6585,1910,3061,2953,6200,9824,7603,8179,Sakhalin-2,3726,2207,961,6806,720,9936,853,3061,4921,0,8131,7392,6986,944,6523,6986,4484,1836,7804,9087,1049,8155,9083,8131,6244
4572,6600,11825,11705,11186,9011,5095,4899,11825,4991,10879,2078,8795,6600,12158,158,4477,10232,8358,6600,5319,5315,2503,12305,281,3676,4965,1738,4719,11865,7113,4744,11159,9935,11111,11002,4572,6099,5053,48,Lake Charles,11484,10232,9048,12499,8659,6211,8857,11111,5242,8131,0,1451,1258,9065,12216,1258,9054,9861,2076,6532,9057,24,8910,0,2078
3648,5425,10381,10907,10447,8272,3649,3980,10381,4000,10140,1422,8056,5425,11076,1342,3335,9493,7619,5425,4148,4140,1829,10861,1227,2232,3794,1259,3700,10421,6374,3691,9715,9196,10372,10263,3648,4677,3882,1499,EcoElectrica LNG,10745,9493,8309,11055,7920,4789,8118,10372,4483,7392,1451,0,951,8326,10772,951,8315,9122,653,5357,8318,1475,7464,1451,1422
3471,5593,11277,10560,10041,7866,4547,3759,11277,3880,9734,820,7650,5593,11013,1100,3434,9087,7213,5593,4310,4308,1358,11757,981,3128,3956,480,3618,11317,5968,3678,10611,8790,9966,9857,3471,5394,4044,1306,Elba Island,10339,9087,7903,11951,7514,5506,7712,9966,4097,6986,1258,951,0,7920,11668,0,7909,8716,1604,5525,7912,1282,8362,1258,820
10737,11672,1076,2995,4553,5559,8283,10874,1076,10853,5291,11480,5803,11672,4576,12099,9871,4491,6214,11672,10411,10387,11453,89,11999,8540,10057,11561,10519,351,8992,10396,1229,4794,3880,3945,10737,7168,10145,12264,ADGAS LNG,5107,4491,5792,283,6024,7150,5745,3880,11360,6523,12216,10772,11668,5809,0,11668,10849,4866,10147,11604,5646,12240,9879,12216,11480
7134,10089,4870,2944,2410,336,10932,7093,4870,7121,2503,7178,471,10089,3519,8907,7858,1374,709,10089,8803,8804,6810,5898,8788,9592,8449,7469,7422,5458,3499,7658,5871,1077,2306,2201,7134,10240,8537,9113,Incheon,3019,1374,21,6092,866,10222,443,2306,5855,944,9065,8326,7920,0,5809,7920,5362,1003,8738,10021,163,9089,9839,9065,7178
3471,5593,11277,10560,10041,7866,4547,3759,11277,3880,9734,820,7650,5593,11013,1100,3434,9087,7213,5593,4310,4308,1358,11757,981,3128,3956,480,3618,11317,5968,3678,10611,8790,9966,9857,3471,5394,4044,1306,Southern LNG,10339,9087,7903,11951,7514,5506,7712,9966,4097,6986,1258,951,0,7920,11668,0,7909,8716,1604,5525,7912,1282,8362,1258,820
7173,10078,9910,7984,7201,5301,8144,7132,9910,7160,6474,7167,5072,10078,7831,8896,7847,6527,4654,10078,8792,8793,6799,10938,8777,9559,8438,7458,7461,10498,2129,7697,10911,6230,7267,7153,7173,10747,8526,9102,Costa Azul LNG Terminal,7032,6527,5345,11132,4870,10859,5134,7267,5894,4484,9054,8315,7909,5362,10849,7909,0,6156,8727,10010,5357,9078,4620,9054,7167
7930,10885,3927,2001,1519,876,10412,7889,3927,7917,1942,7974,1124,10885,2638,9703,8654,375,1503,10885,9599,9600,7606,4955,9584,10388,9245,8265,8218,4515,4295,8454,4928,78,1386,1278,7930,9297,9333,9909,Fujian LNG,2321,375,986,5149,1421,9279,1066,1386,6651,1836,9861,9122,8716,1003,4866,8716,6156,0,9534,10817,840,9885,10164,9861,7974
3738,5307,9756,10282,10859,8684,3026,4076,9756,4063,10552,1954,8468,5307,10452,1957,3276,9905,8031,5307,4036,4022,2238,10236,1870,1607,3682,1765,3747,9796,6786,3695,9090,9608,10784,10675,3738,4206,3770,2124,Point Fortin,11157,9905,8721,10430,8332,4318,8530,10784,4776,7804,2076,653,1604,8738,10147,1604,8727,9534,0,5239,8730,2100,6841,2076,1954
3057,72,11213,11739,12142,9967,5868,3194,11213,3173,11835,4882,9751,72,12119,6374,2186,11188,9314,72,1470,1217,4664,11693,6255,4729,1595,5146,2839,11253,8069,2717,10547,10891,12067,11958,3057,5069,1575,6580,Idku LNG,12440,11188,10004,11887,9615,5181,9813,12067,4434,9087,6532,5357,5525,10021,11604,5525,10010,10817,5239,0,10013,6556,9378,6532,4882
7126,10081,4707,2781,2247,173,10924,7085,4707,7113,2340,7170,399,10081,3356,8899,7850,1211,703,10081,8795,8796,6802,5735,8780,9584,8441,7461,7414,5295,3491,7650,5708,914,2143,2038,7126,10077,8529,9105,Tong Yong,2856,1211,146,5929,830,10059,351,2143,5847,1049,9057,8318,7912,163,5646,7912,5357,840,8730,10013,0,9081,9812,9057,7170
4596,6624,11849,11729,11210,9035,5119,4923,11849,5015,10903,2102,8819,6624,12182,182,4501,10256,8382,6624,5343,5339,2527,12329,305,3700,4989,1762,4743,11889,7137,4768,11183,9959,11135,11026,4596,6123,5077,24,Sabine Pass LNG,11508,10256,9072,12523,8683,6235,8881,11135,5266,8155,24,1475,1282,9089,12240,1282,9078,9885,2100,6556,9081,0,8934,24,2102
8505,9446,9488,9215,9037,9713,3819,8642,9488,8621,8320,8384,9487,9446,7900,8793,7637,10147,9163,9446,8185,8161,8487,9968,8691,5234,7831,8366,8287,9528,6741,8165,8822,10086,9308,9419,8505,6486,7919,8958,Quintero Bay LNG,8395,10147,9822,10162,9188,6551,9549,9308,9852,9083,8910,7464,8362,9839,9879,8362,4620,10164,6841,9378,9812,8934,0,8910,8384
4572,6600,11825,11705,11186,9011,5095,4899,11825,4991,10879,2078,8795,6600,12158,158,4477,10232,8358,6600,5319,5315,2503,12305,281,3676,4965,1738,4719,11865,7113,4744,11159,9935,11111,11002,4572,6099,5053,48,Trunkline LNG,11484,10232,9048,12499,8659,6211,8857,11111,5242,8131,0,1451,1258,9065,12216,1258,9054,9861,2076,6532,9057,24,8910,0,2078
