from,Aliaga,Altamira,Andres,Arzew,Bahia,Bahia Blanca,Balhaf,Barcelona,Bilbao,Bintulu,Bioko Is,Blang Lacang,Bonny Is,Bontang,Cameron,Canaport,Cape Town,Cartagena,Chita,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Damietta,Dampier,Darwin,Das Is,Dragon LNG,Dubai,El Ferrol,Elba Is,Escobar,Everett,Fos Sur Mer,Freeport,Fujian,Fukuoko,Futtsu,Gate,Gibraltar,Gladstone,Golden Pass,Guanabara Bay,Guangdong Dapeng,Gwangyang,Haikou,Hatsukaichi,Hazira,Heibei,Higashi-Ogishima,Himeji,Huelva,Idku,Incheon,Iran,Isle of Grain,Jiangsu,Kagoshima,Karachi,Kawagoe,Kenai,Kitimat,Kochi,Krk Island,Lake Charles,Livorno,Lumut,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Melkoya Is,Mina Al-Ahmadi,Mizushima,Montoir,Nagasaki,Negishi,Neptune,Niigata,North East Gateway,Oita,Osaka,Pampa Melchorita,Panigaglia,Panuelas,Pascagoula,Pecem,Pluto,Point Fortin,Port Arthur,Port Dolphin,Port Moresby,Pyeongtaek,Qalhat,Quebec,Quintero,Ras Laffan,Revithoussa,Rovigo,Sabine Pass,Sagunto,Sakai,Sakhalin II,Senboku,Sendai,Shanghai,Shimizu,Shin-minato,Shtokman,Sines,Singapore,Skikda,Sodegaura,South Hook,Soyo,Swinoujscie,Taichung,Tangguh,Teeside,Tenerife,Tobata,Tongyeong,Wilhelmshaven,Yanai,Yokkaichi,Yokohama,Yung An,Zeebrugge
Golden Pass,6430,516,1635,5045,4664,6744,8385,5306,4798,12860,6290,11748,6220,13551,49,2319,7503,5032,15018,13444,1797,9937,9885,14904,6678,12667,13628,9815,4650,9687,4569,1350,6478,2168,5484,120,14268,14748,15133,5062,4792,13582,,5357,13686,14710,13589,14864,9921,15065,15139,14958,4723,6603,14828,9971,5044,14884,14637,9616,15020,15673,14937,10372,6464,78,5661,12963,12480,12986,6563,6180,9752,5445,10065,14912,4791,14644,15132,2155,15235,2154,14799,14938,10369,5665,1803,475,3841,12664,2241,6,694,14384,14825,9304,3168,9161,9840,6296,6491,4,5194,14935,15693,14935,15341,14494,15061,15193,6047,4593,12229,5391,15142,4647,6645,5494,14208,14172,5074,4397,14768,14755,5280,14822,15019,15134,13853,4998
Guanabara Bay,5858,5449,3796,4474,774,1460,7813,4735,4780,9504,3482,8411,3424,9361,5345,4783,3291,4461,11590,8175,4800,8245,8540,11567,6106,8439,9399,9243,4989,9115,4542,4734,1193,4762,4913,5388,10930,11411,11516,5280,4220,8314,5357,,10348,11373,10252,11527,8459,11728,11521,11621,4218,6031,11491,9399,5262,11547,11300,8768,11591,10404,9668,7800,5892,5374,5089,9608,7211,9649,5992,5609,4484,6399,9493,11575,4866,11307,11515,4748,11898,4748,11461,11601,5100,5093,3636,5232,1550,8435,3248,5363,5147,9116,11488,8732,5250,3893,9268,5724,5920,5353,4622,11598,11893,11598,11611,11157,11585,11856,6561,4201,8892,4820,11525,4986,3391,6007,10871,9943,5486,3547,11431,11418,5512,11485,11590,11516,10516,5215
Guangdong Dapeng,7589,13795,12466,8660,10409,10758,5369,8563,9807,1231,9482,1948,9509,1582,13658,11857,7134,8667,1587,6603,12330,3826,4122,1454,7017,2788,2578,5074,10032,4946,9569,12590,10822,11931,8559,13705,818,1298,1703,10312,8891,3973,13670,10343,,1260,313,1414,4041,1615,1709,1514,9014,7125,1378,5230,10294,1434,1187,4362,1589,5007,5641,3338,8239,13687,8421,1186,7610,1576,7744,7765,10568,11529,5325,1462,9893,1194,1702,11918,1785,11918,1348,1496,10015,8454,12313,13456,10765,2785,12341,13676,13340,3345,1375,4585,11959,10255,5100,7576,8266,13666,8637,1493,2243,1494,1910,1044,1630,1743,11593,9171,1460,8308,1712,10029,8892,11040,758,2123,10519,9613,1318,1305,10545,1372,1588,1703,343,10248
Gwangyang,8613,14819,13490,9685,11433,10757,6393,9588,10831,2147,10506,2972,10533,2323,14682,12881,8158,9691,620,5479,13354,4850,5146,528,8041,3530,3056,6099,11057,5970,10593,13614,11216,12955,9583,14729,809,165,736,11337,9915,4063,14694,11367,1260,,1507,308,5065,689,742,412,10038,8149,387,6255,11319,508,332,5386,622,3838,4472,4362,9263,14711,9445,2000,6502,2605,8768,8790,9677,12553,6349,361,10917,175,735,12942,625,12942,265,437,8943,9478,13337,14480,11789,3527,13365,14700,14364,3523,385,5609,12983,9912,6124,8600,9290,14691,9661,436,1063,437,956,452,666,587,12618,10195,2484,9333,745,11054,9916,12064,767,2550,11543,10637,185,124,11569,264,621,737,997,11272
Haikou,7489,13694,12366,8560,10309,10734,5269,8463,9706,1150,9382,1847,9409,1663,13557,11757,7033,8567,1831,6846,12230,3726,4021,1698,6917,2870,2660,4974,9932,4846,9468,12490,10721,11831,8459,13604,1061,1542,1946,10212,8790,4186,13569,10242,309,1503,,1657,3941,1858,1952,1757,8914,7025,1621,5130,10194,1678,1430,4261,1832,5250,5884,3237,8138,13587,8321,1111,7853,1476,7643,7665,10781,11428,5224,1705,9792,1438,1945,11818,2029,11817,1592,1739,10258,8354,12213,13356,10664,2867,12240,13576,13240,3427,1618,4485,11859,10468,5000,7475,8166,13566,8536,1736,2486,1737,2154,1288,1873,1987,11493,9071,1359,8208,1955,9929,8791,10940,1001,2205,10418,9512,1562,1548,10445,1615,1831,1947,596,10148
Hatsukaichi,8767,14973,13644,9839,11587,10600,6547,9742,10985,2284,10660,3126,10687,2408,14836,13035,8312,9845,407,5436,13508,5004,5300,751,8195,3592,3059,6253,11211,6125,10747,13768,11059,13109,9737,14883,1006,189,522,11491,10069,3957,14848,11521,1414,308,1661,,5219,912,528,159,10192,8303,610,6409,11473,731,307,5540,408,3851,4486,4516,9417,14865,9599,2137,6445,2759,8922,8944,9577,12707,6503,107,11071,288,521,13096,639,13096,96,183,8887,9632,13491,14634,11943,3589,13519,14854,14518,3418,608,5763,13137,9711,6278,8754,9444,14845,9815,182,1106,183,742,663,452,597,12772,10349,2638,9487,531,11208,10070,12218,956,2529,11697,10791,126,275,11723,60,407,523,1151,11426
Hazira,3830,10035,8707,4901,8524,8949,1610,4804,6047,3224,7597,2112,7624,3915,9898,8098,5249,4908,5382,10392,8571,249,227,5268,3258,3772,4342,1294,6273,1166,5809,8831,8937,8172,4800,9946,4632,5112,5497,6553,5131,6398,9911,8458,4049,5074,3953,5228,,5429,5503,5322,5255,3366,5192,1450,6535,5248,5001,530,5384,8814,9449,731,4479,9928,4662,3327,11392,3350,3984,4006,10745,7769,1544,5276,6133,5008,5496,8159,5599,8158,5162,5302,11361,4695,8554,9697,8162,3769,8582,9917,9581,5354,5189,821,8200,10154,1320,3816,4507,9907,4878,5299,6057,5299,5705,4858,5425,5557,7834,5412,2593,4549,5506,6270,7007,7281,4572,4576,6759,5854,5132,5119,6786,5186,5383,5498,4217,6489
Heibei,8962,15167,13839,10033,11781,11280,6742,9936,11179,2503,10855,3320,10882,2679,15030,13230,8506,10040,1227,6103,13703,5199,5494,221,8390,3886,3484,6447,11405,6319,10941,13963,11739,13304,9932,15077,1127,772,1343,11685,10263,4574,15042,11715,1608,693,1856,915,5414,,1349,1019,10387,8498,464,6603,11667,212,875,5734,1229,4462,5096,4710,9611,15059,9793,2356,7126,2953,9116,9138,10302,12901,6697,968,11265,779,1342,13291,1249,13290,871,1044,9567,9827,13686,14829,12137,3883,13713,15049,14713,4035,461,5958,13332,10519,6472,8948,9638,15039,10009,1043,1687,1044,1562,718,1273,1211,12966,10544,2832,9681,1352,11402,10264,12413,1091,3008,11891,10985,792,748,11918,871,1228,1343,1345,11621
Higashi-Ogishima,9044,15249,13921,10115,11863,10359,6824,10018,11261,2553,10936,3402,10963,2579,15112,13312,8588,10121,213,5000,13784,5281,5576,1183,8472,3742,3209,6529,11487,6401,11023,14045,10818,13386,10014,15159,1302,622,15,11767,10345,3845,15124,11524,1710,741,1957,523,5495,1344,,388,10469,8580,1043,6685,11749,1164,603,5816,214,3416,4050,4792,9693,15141,9875,2406,6010,3042,9198,9220,9201,12983,6779,432,11347,705,15,13373,780,13372,497,367,8451,9909,13768,14910,12219,3739,13795,15131,14795,3330,1040,6040,13414,9302,6554,9030,9720,15121,10091,364,966,365,306,1044,129,881,13048,10626,2914,9763,13,11484,10346,12495,1252,2627,11973,11067,558,707,12000,521,214,12,1446,11703
Himeji,8860,15066,13737,9932,11680,10630,6640,9835,11078,2369,10753,3219,10780,2466,14929,13128,8405,9938,274,5302,13601,5097,5393,853,8288,3643,3110,6346,11304,6217,10840,13861,11090,13202,9830,14976,1103,291,389,11584,10162,3926,14941,11614,1511,410,1759,156,5312,1013,395,,10285,8396,712,6501,11566,833,404,5633,275,3718,4353,4609,9510,14958,9692,2222,6312,2857,9015,9037,9444,12800,6596,66,11164,390,388,13189,741,13189,193,50,8754,9725,13584,14727,12036,3640,13612,14947,14611,3386,709,5856,13230,9578,6371,8847,9537,14938,9908,49,1208,50,609,765,319,699,12865,10442,2731,9580,398,11301,10163,12311,1053,2563,11790,10884,228,376,11816,162,274,390,1248,11519
Huelva,1775,4852,3522,391,3532,5607,3731,652,853,8205,3463,7094,3394,8896,4715,2905,5117,378,10364,12291,3382,5282,5231,10250,2023,8754,9323,5161,1079,5032,615,3636,5338,2980,830,4762,9613,10094,10479,1359,138,11380,4727,4218,9031,10056,8935,10210,5266,10411,10485,10304,,1949,10173,5316,1341,10230,9982,4961,10365,13796,13784,5717,1810,4744,1006,8309,11327,8332,1909,1526,8599,2575,5411,10258,939,9990,10478,2967,10581,2966,10144,10283,9216,1011,3370,4513,3028,8751,3406,4734,4398,10336,10171,4649,3005,8008,5186,1641,1837,4724,539,10280,11038,10281,10686,9840,10406,10539,2640,217,7575,737,10488,1076,3818,2086,9553,9558,1565,719,10114,10101,1591,10167,10365,10480,9199,1294
Idku,568,6731,5402,1596,5349,7424,1843,1499,2743,6317,5280,5206,5211,7009,6594,4793,6934,1603,8476,13486,5266,3394,3343,8362,135,6866,7435,3273,2968,3144,2505,5526,7155,4867,1495,6641,7725,8206,8591,3248,1827,9492,6606,6035,7143,8168,7047,8322,3378,8523,8597,8416,1950,,8286,3428,3230,8342,8094,3074,8478,11908,12543,3830,1184,6623,1357,6421,13144,6444,723,693,10416,4465,3523,8370,2829,8102,8590,4854,8693,4854,8256,8396,11033,1390,5249,6392,4857,6863,5277,6612,6276,8448,8283,2762,4895,9825,3298,541,1211,6602,1573,8392,9151,8393,8799,7952,8519,8651,4529,2107,5687,1245,8600,2965,5635,3976,7665,7670,3455,2549,8226,8213,3481,8279,8477,8592,7311,3184
Incheon,8734,14939,13611,9805,11553,10994,6514,9708,10951,2275,10627,3092,10654,2451,14802,13002,8278,9812,930,5806,13475,4971,5266,297,8162,3658,3230,6219,11177,6091,10713,13735,11453,13076,9704,14849,904,475,1046,11457,10035,4289,14814,11487,1380,396,1628,618,5186,466,1052,722,10159,8270,,6375,11439,291,589,5506,932,4165,4800,4482,9383,14832,9565,2128,6829,2725,8888,8910,10005,12673,6469,671,11037,492,1045,13063,952,13062,575,747,9270,9599,13458,14601,11909,3655,13485,14821,14485,3749,79,5730,13104,10222,6245,8720,9410,14811,9781,746,1391,747,1266,510,976,915,12738,10316,2604,9453,1055,11174,10036,12185,868,2744,11663,10757,495,451,11690,574,931,1047,1117,11393
Iran,3877,10083,8754,4948,8701,10131,1657,4851,6095,4416,8632,3305,8563,5108,9946,8145,6430,4955,6575,11585,8618,1493,1422,6461,3305,4965,5534,338,6320,362,5857,8878,10118,8219,4847,9993,5824,6305,6690,6601,5179,7591,9958,9387,5242,6267,5146,6421,1458,6622,6696,6515,5302,3413,6385,,6582,6441,6193,1022,6577,10007,10642,1929,4527,9975,4709,4520,12585,4543,4032,4054,11923,7817,194,6469,6181,6201,6689,8206,6792,8206,6355,6495,12540,4742,8601,9744,8209,4962,8629,9964,9628,6547,6382,701,8247,11332,260,3864,4554,9954,4925,6491,7250,6492,6898,6051,6618,6750,7881,5459,3786,4597,6699,6317,8188,7328,5764,5769,6807,5901,6325,6312,6833,6378,6576,6691,5410,6536
Isle of Grain,3061,5143,4023,1677,4553,6632,5016,1938,779,9491,4525,8379,4456,10182,5006,3028,6180,1663,11650,13330,3557,6568,6516,11535,3309,10039,10609,6446,522,6318,774,3852,6366,3104,2116,5053,10899,11380,11764,157,1423,12665,5018,5245,10317,11341,10221,11495,6552,11696,11770,11590,1353,3234,11459,6602,,11516,11268,6247,11651,15082,14823,7003,3095,5036,2292,9594,12365,9617,3195,2812,9638,1442,6696,11543,641,11276,11763,3091,11866,3091,11430,11569,10255,2296,3905,4805,3995,10036,4065,5025,4689,11621,11456,5935,2986,9047,6471,2927,3123,5015,1825,11566,12324,11566,11972,11125,11692,11825,1420,1157,8861,2023,11774,519,4880,867,10839,10843,336,1755,11400,11386,373,11453,11650,11765,10484,130
Jiangsu,8781,14987,13658,9853,11601,11100,6561,9756,10999,2323,10674,3140,10701,2499,14850,13049,8326,9859,1047,5923,13522,5018,5314,94,8209,3705,3304,6267,11225,6138,10761,13782,11559,13123,9751,14897,946,591,1162,11505,10083,4394,14862,11535,1428,512,1675,735,5233,215,1168,839,10206,8317,289,6422,11487,,694,5554,1048,4281,4916,4530,9431,14879,9613,2175,6945,2773,8936,8958,10121,12721,6517,787,11085,598,1161,13110,1068,13110,691,864,9387,9646,13505,14648,11957,3702,13533,14868,14532,3854,286,5777,13151,10339,6292,8768,9458,14859,9829,863,1507,863,1382,537,1092,1031,12786,10363,2652,9501,1172,11222,10084,12232,910,2827,11711,10805,611,567,11737,690,1048,1163,1164,11440
Kagoshima,8540,14746,13417,9612,11360,10506,6320,9515,10758,2065,10433,2899,10460,2213,14609,12808,8085,9618,483,5512,13281,4777,5073,715,7968,3400,2867,6026,10984,5897,10520,13541,10965,12882,9510,14656,785,347,598,11264,9842,3823,14621,11294,1187,332,1434,307,4992,875,604,407,9965,8076,585,6181,11246,695,,5313,484,3927,4562,4289,9190,14638,9372,1918,6521,2532,8695,8717,9643,12480,6276,355,10844,177,597,12869,816,12869,242,389,8959,9405,13264,14407,11716,3397,13292,14627,14291,3284,582,5536,12910,9729,6051,8527,9217,14618,9588,386,1283,387,818,521,528,774,12545,10122,2411,9260,607,10981,9843,11991,734,2346,11470,10564,303,358,11496,265,483,599,923,11199
Karachi,3527,9733,8405,4599,8352,9258,1308,4502,5745,3544,7906,2433,7933,4235,9596,7795,5558,4605,5703,10713,8268,597,498,5589,2955,4093,4662,862,5971,734,5507,8529,9246,7870,4498,9643,4952,5433,5818,6251,4829,6718,9608,8767,4370,5395,4274,5548,534,5750,5824,5643,4953,3063,5512,1018,6233,5569,5321,,5704,9135,9769,1053,4177,9625,4359,3648,11713,3671,3682,3704,11053,7467,1112,5597,5831,5329,5817,7857,5920,7856,5483,5622,11670,4393,8252,9394,7860,4090,8279,9614,9278,5675,5510,441,7897,10462,888,3514,4204,9605,4575,5619,6377,5620,6025,5179,5745,5878,7532,5110,2914,4247,5827,5968,7316,6979,4892,4897,6457,5551,5453,5440,6484,5506,5704,5819,4538,6186
Kawagoe,8921,15127,13798,9993,11741,10426,6701,9896,11139,2430,10814,3280,10841,2499,14990,13189,8466,9999,7,5124,13662,5158,5454,1061,8349,3670,3137,6407,11365,6278,10901,13922,10885,13263,9891,15037,1181,499,211,11645,10223,3876,15002,11591,1587,618,1834,400,5373,1222,216,265,10346,8457,920,6562,11627,1041,482,5694,,3540,4174,4670,9571,15019,9753,2283,6134,2919,9076,9098,9324,12861,6657,310,11225,584,210,13250,905,13250,375,245,8575,9786,13645,14788,12097,3667,13673,15008,14672,3352,918,5917,13291,9424,6432,8908,9598,14999,9969,242,1090,242,430,923,136,907,12926,10503,2792,9641,220,11362,10224,12372,1130,2573,11851,10945,436,585,11877,398,8,211,1323,11580
Kenai,12354,15765,14112,13425,11084,9239,10134,13328,14572,5863,13268,6712,13231,5806,15660,15099,11794,13432,3537,2316,15116,8591,8886,4297,11782,6918,6385,9839,14797,9711,14333,15049,9698,15077,13324,15703,4574,3767,3403,15077,13655,5998,15673,10404,5007,3838,5254,3847,8806,4458,3409,3712,13779,11890,4157,9995,15059,4278,3927,9127,3538,,1156,8103,13004,15690,13186,5716,3352,6352,12508,12530,6542,16293,10090,3756,14657,3857,3402,15064,3299,15064,3820,3691,5793,13219,13952,15548,11866,6915,13564,15679,15463,5569,4154,9350,15565,6929,9865,12341,13031,15669,13402,3688,2871,3689,3185,4220,3453,3400,16358,13936,6225,13073,3412,14794,12889,15805,4527,5703,15284,13849,3740,3789,15310,3820,3537,3404,4743,15013
Kitimat,12988,15030,13376,14040,10348,8503,10768,13963,14363,6497,12532,7347,12496,6440,14925,14363,11059,14026,4171,1576,14380,9226,9521,4932,12416,7523,6990,10474,14588,10346,14125,14314,8962,14342,13958,14968,5209,4402,4038,14857,13786,6417,14937,9668,5641,4472,5889,4481,9440,5093,4043,4346,13784,12524,4791,10630,14839,4912,4562,9761,4172,1156,,8737,13638,14954,13820,6350,2612,6986,13143,13165,5802,15985,10724,4390,14449,4491,4036,14329,3934,14328,4455,4325,5053,13853,13217,14812,11131,7520,12828,14943,14728,6037,4788,9984,14830,6189,10499,12975,13665,14934,14036,4322,3506,4323,3820,4854,4088,4034,16138,13771,6859,13708,4047,14585,12153,15585,5162,6308,15064,13113,4375,4423,15090,4454,4172,4038,5378,14793
Kochi,4284,10489,9161,5355,7865,8290,2064,5258,6501,2520,6938,1409,6965,3211,10352,8552,4590,5362,4679,9689,9025,516,812,4565,3712,3069,3638,1769,6727,1641,6263,9285,8277,8626,5254,10399,3928,4409,4794,7007,5585,5694,10364,7798,3346,4371,3250,4524,731,4726,4800,4619,5709,3820,4488,1925,6989,4545,4297,1053,4680,8111,8746,,4933,10382,5116,2624,10689,2647,4438,4460,10085,8223,2019,4573,6587,4305,4793,8613,4896,8612,4459,4598,10702,5149,9008,10151,8221,3066,9035,10371,10035,4651,4486,1280,8654,9494,1795,4270,4961,10361,5331,4595,5353,4596,5001,4155,4721,4854,8288,5866,1890,5003,4803,6724,6348,7735,3868,3873,7213,6308,4429,4416,7240,4482,4680,4795,3514,6943
Krk Island,977,6593,5265,1459,5212,7287,2958,1362,2605,7433,5143,6321,5074,8124,6456,4656,6797,1466,9592,13971,5129,4510,4458,9478,1254,7982,8551,4388,2831,4260,2367,5389,7018,4730,1358,6503,8841,9322,9707,3111,1689,10607,6468,5898,8259,9283,8163,9437,4494,9638,9712,9532,1813,1185,9401,4544,3093,9458,9210,4189,9593,13024,13658,4945,,6486,1220,7536,13006,7560,1110,980,10279,4327,4638,9485,2691,9218,9705,4717,9809,4716,9372,9511,10896,1253,5112,6255,4720,7979,5139,6475,6139,9564,9398,3877,4758,9688,4414,843,132,6465,1435,9508,10266,9509,9914,9068,9634,9767,4392,1970,6803,1107,9716,2828,5498,3839,8781,8785,3317,2411,9342,9328,3344,9395,9592,9707,8426,3047
Lake Charles,6447,559,1652,5063,4682,6761,8402,5324,4816,12877,6307,11765,6238,13568,29,2336,7520,5049,15036,13461,1815,9954,9902,14921,6695,12684,13645,9832,4667,9704,4586,1367,6495,2185,5502,163,14285,14766,15150,5079,4809,13599,78,5374,13703,14727,13607,14881,9938,15082,15156,14976,4740,6620,14845,9988,5061,14901,14654,9633,15037,15690,14954,10389,6481,,5678,12980,12497,13003,6580,6197,9769,5462,10082,14929,4808,14662,15149,2172,15252,2172,14816,14955,10386,5682,1820,493,3858,12681,2258,85,711,14401,14842,9321,3185,9178,9857,6313,6508,75,5211,14952,15710,14952,15358,14511,15078,15211,6064,4610,12246,5409,15160,4664,6662,5511,14225,14189,5091,4414,14786,14772,5297,14839,15036,15151,13870,5015
Livorno,1183,5783,4455,676,4402,6477,3139,391,1795,7613,4333,6502,4263,8305,5646,3845,5987,641,9772,13161,4318,4690,4639,9658,1432,8162,8731,4569,2021,4440,1557,4579,6208,3920,256,5693,9021,9502,9887,2301,879,10788,5658,5088,8439,9464,8343,9618,4674,9819,9893,9712,1003,1357,9582,4724,2283,9638,9391,4370,9774,13204,13839,5126,1218,5675,,7717,12196,7740,1317,950,9469,3517,4819,9666,1881,9398,9886,3907,9989,3906,9552,9692,10086,47,4302,5444,3910,8159,4329,5665,5329,9744,9579,4058,3947,8878,4594,1049,1245,5655,533,9689,10447,9689,10095,9248,9815,9947,3582,1160,6983,450,9896,2018,4688,3029,8961,8966,2507,1601,9522,9509,2534,9576,9773,9888,8607,2236
Lumut,6867,13073,11744,7938,9679,10104,4647,7841,9085,219,8752,1226,8779,984,12936,11135,6404,7945,2284,7294,11608,3104,3400,2202,6295,2177,2112,4352,9310,4224,8847,11868,10092,11209,7837,12983,1565,2038,2399,9590,8169,3681,12948,9613,1186,2000,1115,2137,3319,2363,2404,2224,8292,6403,2126,4508,9572,2182,1918,3640,2285,5716,6350,2616,7517,12965,7699,,8241,1024,7022,7043,10343,10806,4603,2185,9171,1935,2398,11196,2525,11196,2072,2203,10277,7732,11591,12734,10035,2174,11619,12954,12618,2881,2123,3863,11237,9964,4378,6854,7544,12944,7915,2200,2983,2201,2606,1792,2326,2483,10871,8449,738,7586,2408,9307,8162,10318,1505,1657,9797,8891,2058,2045,9823,2095,2285,2399,1186,9526
Manzanillo,12966,12572,10919,11582,7891,6046,12712,11843,11905,8388,10075,9291,10038,8126,12468,11906,8602,11569,6131,1105,11923,11169,11465,6962,13215,8831,7997,12418,12131,12289,11667,11857,6505,11885,12021,12511,7221,6432,6001,12400,11329,6740,12480,7211,7610,6502,7858,6441,11384,7122,6006,6306,11327,13140,6821,12573,12382,6942,6521,11705,6132,3352,2612,10681,13001,12497,12197,8242,,8930,13100,12717,3223,13528,12668,6350,11991,6521,6000,11872,5963,11871,6415,6285,2471,12202,10759,12355,8673,8827,10371,12486,12270,6773,6818,11928,12373,3638,12443,12832,13028,12477,11731,6282,5575,6283,5811,6884,6048,6064,13681,11314,8803,11928,6010,12128,9696,13128,7170,7776,12606,10656,6405,6453,12633,6439,6131,6001,7347,12336
Map Ta Phut,6890,13095,11767,7961,9710,10135,4670,7864,9107,978,8783,1248,8810,1865,12958,11158,6435,7968,2920,7930,11631,3127,3422,2799,6318,2367,2608,4375,9333,4247,8869,11891,10122,11232,7860,13006,2163,2644,3035,9613,8191,4562,12970,9643,1576,2605,1480,2759,3342,2960,3040,2859,8315,6426,2723,4531,9595,2780,2532,3662,2921,6352,6986,2638,7539,12988,7722,1024,8930,,7044,7066,11224,10829,4625,2807,9193,2540,3034,11219,3130,11218,2694,2839,11158,7755,11614,12757,10065,2363,11642,12977,12641,3524,2720,3886,11260,10845,4401,6876,7567,12967,7937,2836,3588,2837,3242,2390,2962,3089,10894,8472,760,7609,3044,9330,8192,10341,2103,2538,9819,8914,2664,2650,9846,2717,2921,3035,1748,9549
Marmara Ereglisi,245,6689,5360,1554,5307,7383,2460,1458,2701,6935,5239,5823,5169,7626,6552,4751,6893,1560,9093,14066,5224,4011,3960,8979,756,7483,8052,3890,2927,3761,2463,5484,7113,4825,1453,6599,8342,8823,9208,3207,1784,10109,6564,5993,7760,8785,7664,8939,3995,9140,9214,9033,1908,720,8903,4045,3189,8959,8712,3691,9095,12525,13160,4447,1106,6581,1315,7038,13102,7061,,807,10375,4423,4140,8987,2787,8719,9207,4812,9310,4812,8873,9013,10991,1348,5207,6350,4815,7480,5235,6570,6234,9065,8900,3379,4853,9784,3915,345,1133,6561,1530,9010,9768,9010,9416,8569,9136,9268,4488,2065,6304,1202,9217,2924,5593,3934,8282,8287,3413,2507,8843,8830,3439,8897,9094,9209,7928,3142
Marsa el Brega,676,6309,4980,1174,4927,7002,2483,1080,2321,6958,4858,5846,4789,7649,6172,4371,6512,1181,9117,13686,4844,4035,3983,9003,775,7507,8076,3913,2546,3785,2082,5104,6733,4445,1077,6219,8366,8847,9232,2826,1404,10132,6184,5613,7784,8808,7688,8962,4019,9163,9237,9057,1528,693,8926,4069,2808,8983,8735,3714,9118,12549,13183,4470,979,6201,950,7061,12722,7085,809,,9994,4042,4163,9010,2406,8743,9230,4432,9334,4431,8897,9036,10611,984,4827,5970,4435,7503,4855,6190,5854,9088,8923,3402,4473,9403,3939,542,1006,6180,1151,9033,9791,9034,9439,8593,9159,9292,4107,1685,6328,822,9241,2543,5213,3554,8306,8310,3033,2127,8867,8853,3059,8920,9117,9232,7951,2762
Mejillones,10239,9845,8191,8855,5163,3318,12059,9116,9178,10490,7347,10618,7311,10045,9740,9178,5874,8842,9275,4296,9195,10530,10825,10137,10487,9220,9088,11764,9404,11636,8940,9129,3778,9157,9294,9783,10335,9607,9145,9673,8601,7177,9752,4484,10568,9677,10785,9573,10745,10298,9151,9438,8599,10412,9996,11920,9654,10117,9643,11053,9277,6542,5802,10085,10273,9769,9470,10343,3222,11224,10373,9990,,10800,12014,9482,9264,9745,9144,9144,9139,9143,9547,9418,785,9475,8032,9627,5946,9217,7643,9759,9543,7904,9994,11275,9645,626,11789,10105,10301,9749,9003,9414,8765,9415,9001,10059,9192,9239,10953,8586,10747,9201,9155,9400,6968,10400,10275,9515,9879,7929,9580,9629,9905,9570,9276,9146,10304,9608
Melkoya Is,4304,5569,4614,2919,5710,7789,6259,3180,2101,10734,5744,9622,5674,11425,5432,3449,7398,2906,12892,14495,3977,7811,7759,12778,4552,11282,11852,7689,1603,7561,2054,4273,7523,3525,3358,5480,12142,12623,13007,1405,2666,13908,5445,6402,11560,12584,11464,12738,7795,12939,13013,12832,2596,4477,12702,7845,1430,12758,12511,7490,12894,16324,15988,8246,4338,5462,3535,10837,13531,10860,4437,4054,10803,,7939,12786,1966,12518,13006,3512,13109,3511,12673,12812,11420,3539,4529,5231,5118,11279,4795,5451,5115,12864,12699,7178,3246,10212,7714,4170,4365,5441,3068,12809,13567,12809,13215,12368,12935,13068,2024,2400,10103,3265,13016,1600,6098,1470,12082,12086,1228,2972,12643,12629,1301,12696,12893,13008,11727,1461
Mina Al-Ahmadi,3972,10178,8849,5043,8796,10226,1752,4947,6190,4512,8727,3400,8658,5203,10041,8240,6525,5050,6670,11680,8713,1588,1517,6556,3400,5060,5629,433,6416,457,5952,8973,10213,8314,4942,10088,5919,6400,6785,6696,5274,7686,10053,9482,5337,6362,5241,6516,1553,6717,6791,6610,5397,3508,6480,194,6678,6536,6289,1117,6672,10102,10737,2024,4622,10070,4804,4615,12680,4638,4127,4149,12018,7912,,6564,6276,6296,6784,8301,6887,8301,6450,6590,12635,4837,8696,9839,8304,5057,8724,10059,9723,6642,6477,796,8342,11427,355,3959,4649,10050,5020,6587,7345,6587,6993,6146,6713,6845,7977,5554,3881,4692,6794,6412,8283,7423,5859,5864,6902,5996,6420,6407,6928,6474,6671,6786,5505,6631
Mizushima,8814,15019,13691,9885,11633,10674,6594,9788,11031,2331,10707,3172,10734,2454,14882,13082,8358,9892,317,5346,13555,5051,5346,802,8242,3639,3105,6299,11257,6171,10793,13815,11134,13156,9784,14929,1052,240,433,11537,10115,3970,14894,11567,1460,359,1708,105,5266,962,439,69,10239,8350,661,6455,11519,782,353,5586,319,3762,4397,4562,9463,14912,9645,2184,6356,2805,8968,8990,9488,12753,6549,,11117,339,432,13143,690,13142,142,94,8797,9679,13538,14681,11989,3635,13565,14901,14565,3430,658,5810,13184,9622,6325,8800,9491,14891,9861,93,1157,94,653,714,363,648,12818,10396,2684,9533,442,11254,10116,12265,1002,2576,11743,10837,176,325,11770,111,318,434,1197,11473
