Dragon LNG,SEGAS,Dahej,Arun LNG,Bontang LNG,Tobata,Petrobras Guanabara LNG,Isle of Grain,Hazira - LNG Terminal,Fluxys,Tannguh,Everett Marine Terminal,Chita LNG,Aliaga,Karratha Gas Plant,Gulf Gateway Deepwater Port,Huelva LNG,Dapeng LNG,Hakodate LNG,Damietta,Barcelona LNG,Sonatrach LNG,Canaport LNG,Ras Laffan,Pascagoula,Petrobras Pecem LNG,Bethioua,Dominion Cove Point LNG,Montoir,Oman LNG,Kenai LNG,Bilbao LNG,Yemen LNG,Yung An,Malaysia LNG,Brunei LNG,South Hook LNG,Bonny Nigeria,Cartagena LNG,Freeport LNG,from,Darwin LNG,Guangdong,Pyeongtaek,Mina Al Ahmadi,Ogishima - Tokyo Gas LNG Berth,Punta Europa LNG,Sakai,Bintulu,Hammerfest LNG,Sakhalin-2,Lake Charles,EcoElectrica LNG,Elba Island,Incheon,ADGAS LNG,Southern LNG,Costa Azul LNG Terminal,Fujian LNG,Point Fortin,Idku LNG,Tong Yong,Sabine Pass LNG,Quintero Bay LNG,Trunkline LNG,Northeast Gateway Deepwater Port
1853,1383,4114,5673,7231,8237,4637,1990,4114,1969,7969,3678,8481,1383,7143,5169,982,7169,8110,1383,413,0,3460,4013,5050,3497,418,3942,1635,3573,6865,1513,2695,7472,6558,6623,1853,3838,366,5375,Sonatrach LNG,7739,7169,8470,4207,8411,3950,8423,6558,3230,7883,5327,4145,4324,8487,3924,4324,8806,7544,4024,1190,8324,5351,8147,5327,3678
2382,4842,7573,9132,8931,6756,4672,2656,7573,2777,8624,616,6540,4842,9903,2345,2536,7977,6103,4842,3388,3460,0,7472,2226,3301,3046,907,2582,7032,4858,2669,6154,7680,8856,8747,2382,4920,3120,2551,Canaport LNG,9229,7977,6793,7666,6404,5032,6602,8856,2987,5876,2503,1829,1358,6810,7383,1358,6799,7606,2238,4649,6802,2527,8487,2503,616
5865,2771,1163,3084,4642,5648,8372,6002,1163,5981,5380,7690,5892,2771,4665,9182,4994,4580,6303,2771,4281,4013,7472,0,9063,7510,4430,7954,5647,440,9081,5525,1318,4883,3969,4034,5865,7257,4374,9388,Ras Laffan,5196,4580,5881,194,6113,7239,5834,3969,7242,6612,9340,8158,8336,5898,89,8336,10938,4955,8037,2824,5735,9364,9968,9340,7690
4295,6433,9164,10723,10909,8734,4876,4622,9164,4714,10602,1801,8518,6433,11881,123,4200,9955,8081,6433,4984,5050,2226,9063,0,3459,4642,1461,4442,8623,6836,4467,7745,9658,10834,10725,4295,5843,4716,329,Pascagoula,11207,9955,8771,9257,8382,5955,8580,10834,4965,7854,281,1227,981,8788,8974,981,8777,9584,1870,6240,8780,305,8691,281,1801
3715,4880,7611,8675,9650,9538,1419,3923,7611,3902,10224,3184,9322,4880,8845,3559,2942,10294,8885,4880,3573,3497,3301,7510,3459,0,3231,3152,3569,7070,7640,3445,6192,10462,9523,9636,3715,2764,3305,3724,Petrobras Pecem LNG,9695,10294,9575,7704,9186,2876,9384,9523,5022,8658,3676,2232,3128,9592,7421,3128,9559,10388,1607,4687,9584,3700,5234,3676,3184
1439,1800,4531,6090,7648,8349,4388,1576,4531,1555,8386,3264,8133,1800,7560,4761,568,7586,7696,1800,346,418,3046,4430,4642,3231,0,3528,1221,3990,6451,1099,3112,7889,6975,7040,1439,3596,78,4967,Bethioua,8156,7586,8386,4624,7997,3708,8195,6975,2816,7469,4919,3754,3910,8403,4341,3910,8392,7961,3655,1607,8395,4943,7905,4919,3264
3020,5324,8055,9614,9590,7415,4551,3308,8055,3429,9283,344,7199,5324,10562,1580,3044,8636,6762,5324,3870,3942,907,7954,1461,3152,3528,0,3189,7514,5517,3255,6636,8339,9515,9406,3020,5137,3602,1786,Dominion Cove Point LNG,9888,8636,7452,8148,7063,5249,7261,9515,3646,6535,1738,1259,480,7469,7865,480,7458,8265,1765,5131,7461,1762,8366,1738,344
342,3017,5748,7307,8865,7368,4750,356,5748,335,9236,2898,7152,3017,8777,4561,653,8589,6715,3017,1563,1635,2582,5647,4442,3569,1221,3189,0,5207,5520,248,4329,8292,8192,8257,342,3984,1295,4767,Montoir,9373,8589,7405,5841,7016,4096,7214,8192,1596,6488,4719,3700,3618,7422,5558,3618,7461,8218,3747,2824,7414,4743,8287,4719,2898
5425,2331,731,2644,4202,5208,7932,5562,731,5541,4940,7250,5452,2331,4225,8742,4554,4140,5863,2331,3841,3573,7032,440,8623,7070,3990,7514,5207,0,8641,5085,878,4443,3529,3594,5425,6817,3934,8948,Oman LNG,4756,4140,5441,634,5673,6799,5394,3529,6802,6172,8900,7718,7896,5458,351,7896,10498,4515,7597,2384,5295,8924,9528,8900,7250
5232,8247,8053,6127,5520,3433,8980,5191,8053,5219,5118,5226,3204,8247,6462,6955,5906,4666,2792,8247,6793,6865,4858,9081,6836,7640,6451,5517,5520,8641,0,5756,9054,4369,5532,5422,5232,8806,6525,7161,Kenai LNG,5706,4666,3482,9275,3039,8918,3266,5532,3953,2565,7113,6374,5968,3499,8992,5968,2129,4295,6786,8054,3491,7137,6741,7113,5226
4547,1453,1483,3057,4615,5621,7226,4684,1483,4663,5353,6372,5865,1453,4549,7864,3676,4553,6276,1453,2963,2695,6154,1318,7745,6192,3112,6636,4329,878,9054,4207,0,4856,3942,4007,4547,6111,3056,8070,Yemen LNG,5147,4553,5854,1512,6086,6093,5807,3942,5924,6585,8022,6840,7018,5871,1229,7018,10911,4928,6719,1506,5708,8046,8822,8022,6372
526,2895,5626,7185,8743,7604,4626,604,5626,583,9472,2964,7388,2895,8655,4586,531,8681,6951,2895,1441,1513,2669,5525,4467,3445,1099,3255,248,5085,5756,0,4207,8528,8070,8135,526,3861,1173,4792,Bilbao LNG,9251,8681,7641,5719,7252,3973,7450,8070,1844,6724,4744,3691,3678,7658,5436,3678,7697,8454,3695,2702,7650,4768,8165,4744,2964
8004,6230,3855,1929,1441,950,10340,7963,3855,7991,1864,8048,1198,6230,2560,9777,8453,303,1577,6230,7740,7472,7680,4883,9658,10462,7889,8339,8292,4443,4369,8528,4856,0,1308,1200,8004,9225,7833,9983,Yung An,2243,303,1060,5077,1495,9207,1140,1308,6725,1910,9935,9196,8790,1077,4794,8790,6230,78,9608,6283,914,9959,10086,9935,8048
8410,5316,2941,986,754,2100,9212,8547,2941,8526,1488,9224,2340,5316,1583,10953,7539,1100,2755,5316,6826,6558,8856,3969,10834,9523,6975,9515,8192,3529,5532,8070,3942,1308,0,114,8410,8151,6919,11159,Malaysia LNG,1822,1100,2289,4163,2528,8133,2282,0,7901,3061,11111,10372,9966,2306,3880,9966,7267,1386,10582,5369,2143,11135,9308,11111,9224
8475,5381,3006,1052,640,1991,9325,8612,3006,8591,1374,9115,2231,5381,1693,10844,7604,986,2646,5381,6891,6623,8747,4034,10725,9636,7040,9406,8257,3594,5422,8135,4007,1200,114,0,8475,8264,6984,11050,Brunei LNG,1735,986,2184,4228,2418,8246,2173,114,7792,2953,11002,10263,9857,2201,3945,9857,7153,1278,10647,5434,2038,11026,9419,11002,9115
0,3235,5966,7525,9083,7080,4926,593,5966,594,8948,2729,6864,3235,8995,4414,871,8301,6427,3235,1781,1853,2382,5865,4295,3715,1439,3020,342,5425,5232,526,4547,8004,8410,8475,0,4202,1513,4620,South Hook LNG,9553,8301,7117,6059,6728,4314,6926,8410,1383,6200,4572,3648,3471,7134,5776,3471,7173,7930,3738,3042,7126,4596,8505,4572,2729
4202,5221,6777,7303,8278,9990,3397,4339,6777,4318,8974,5013,10234,5221,7683,5962,3336,8922,10051,5221,3938,3838,4920,7257,5843,2764,3596,5137,3984,6817,8806,3861,6111,9225,8151,8264,4202,0,3670,6147,Bonny Nigeria,8459,8922,10223,7451,10352,112,10176,8151,5547,9824,6099,4677,5394,10240,7168,5394,10747,9297,4206,5028,10077,6123,6486,6099,5013
1513,1744,4475,6034,7592,8423,4462,1650,4475,1629,8330,3338,8207,1744,7504,4835,642,7530,7770,1744,268,366,3120,4374,4716,3305,78,3602,1295,3934,6525,1173,3056,7833,6919,6984,1513,3670,0,5041,Cartagena LNG,8100,7530,8460,4568,8071,3782,8269,6919,2890,7543,4993,3828,3984,8477,4285,3984,8466,7905,3729,1551,8469,5017,7979,4993,3338
4620,6758,9489,11048,11234,9059,5143,4947,9489,5039,10927,2126,8843,6758,12206,206,4525,10280,8406,6758,5309,5375,2551,9388,329,3724,4967,1786,4767,8948,7161,4792,8070,9983,11159,11050,4620,6147,5041,0,Freeport LNG,11532,10280,9096,9582,8707,6259,8905,11159,5290,8179,48,1499,1306,9113,9299,1306,9102,9909,2124,6565,9105,24,8958,48,2126
9553,6497,4164,2278,1368,2760,8970,9512,4164,9540,619,9597,2996,6497,851,11326,8720,2202,3408,6497,8007,7739,9229,5196,11207,9695,8156,9888,9373,4756,5706,9251,5147,2243,1822,1735,9553,8459,8100,11532,Darwin LNG,0,2202,3002,5390,3063,8441,2940,1822,8274,3726,11484,10745,10339,3019,5107,10339,7032,2321,11157,6550,2856,11508,8395,11484,9597
8301,5927,3552,1626,1333,1247,10037,8260,3552,8288,1915,8345,1495,5927,2503,10074,8150,0,1874,5927,7437,7169,7977,4580,9955,10294,7586,8636,8589,4140,4666,8681,4553,303,1100,986,8301,8922,7530,10280,Guangdong,2202,0,1357,4774,1792,8904,1437,1100,7022,2207,10232,9493,9087,1374,4491,9087,6527,375,9905,5980,1211,10256,10147,10232,8345
7117,7228,4853,2927,2393,319,10915,7076,4853,7104,2486,7161,454,7228,3502,8890,7841,1357,692,7228,8728,8470,6793,5881,8771,9575,8386,7452,7405,5441,3482,7641,5854,1060,2289,2184,7117,10223,8460,9096,Pyeongtaek,3002,1357,0,6075,849,10205,426,2289,5838,961,9048,8309,7903,21,5792,7903,5345,986,8721,7281,146,9072,9822,9048,7161
6059,2965,1356,3278,4836,5842,8566,6196,1356,6175,5574,7884,6086,2965,4859,9376,5188,4774,6497,2965,4475,4207,7666,194,9257,7704,4624,8148,5841,634,9275,5719,1512,5077,4163,4228,6059,7451,4568,9582,Mina Al Ahmadi,5390,4774,6075,0,6307,7433,6028,4163,7436,6806,9534,8352,8530,6092,283,8530,11132,5149,8231,3018,5929,9558,10162,9534,7884
6728,7460,5085,3159,2563,657,10526,6687,5085,6715,2501,6772,518,7460,3636,8501,7452,1792,380,7460,8339,8411,6404,6113,8382,9186,7997,7063,7016,5673,3039,7252,6086,1495,2528,2418,6728,10352,8071,8707,Ogishima - Tokyo Gas LNG Berth,3063,1792,849,6307,0,10437,580,2528,5449,720,8659,7920,7514,866,6024,7514,4870,1421,8332,7513,830,8683,9188,8659,6772
4314,5333,6759,7285,8260,9972,3489,4451,6759,4430,8956,5125,10216,5333,7665,6074,3448,8904,10163,5333,4050,3950,5032,7239,5955,2876,3708,5249,4096,6799,8918,3973,6093,9207,8133,8246,4314,112,3782,6259,Punta Europa LNG,8441,8904,10205,7433,10437,0,10158,8133,5659,9936,6211,4789,5506,10222,7150,5506,10859,9279,4318,5140,10059,6235,6551,6211,5125
6926,7181,4806,2880,2363,191,10724,6885,4806,6913,2390,6970,62,7181,3457,8699,7650,1437,517,7181,8537,8423,6602,5834,8580,9384,8195,7261,7214,5394,3266,7450,5807,1140,2282,2173,6926,10176,8269,8905,Sakai,2940,1437,426,6028,580,10158,0,2282,5647,853,8857,8118,7712,443,5745,7712,5134,1066,8530,7234,351,8881,9549,8857,6970
8410,5316,2941,986,754,2100,9212,8547,2941,8526,1488,9224,2340,5316,1583,10953,7539,1100,2755,5316,6826,6558,8856,3969,10834,9523,6975,9515,8192,3529,5532,8070,3942,1308,0,114,8410,8151,6919,11159,Bintulu,1822,1100,2289,4163,2528,8133,2282,0,7901,3061,11111,10372,9966,2306,3880,9966,7267,1386,10582,5369,2143,11135,9308,11111,9224
1383,4612,7343,8495,7976,5801,6241,1268,7343,1296,7669,3355,5585,4612,8948,5084,2248,7022,5148,4612,3158,3230,2987,7242,4965,5022,2816,3646,1596,6802,3953,1844,5924,6725,7901,7792,1383,5547,2890,5290,Hammerfest LNG,8274,7022,5838,7436,5449,5659,5647,7901,0,4921,5242,4483,4097,5855,7153,4097,5894,6651,4776,4419,5847,5266,9852,5242,3355
6200,7959,5584,3658,3145,968,9998,6159,5584,6187,3176,6244,797,7959,4243,7973,6924,2207,346,7959,7811,7883,5876,6612,7854,8658,7469,6535,6488,6172,2565,6724,6585,1910,3061,2953,6200,9824,7543,8179,Sakhalin-2,3726,2207,961,6806,720,9936,853,3061,4921,0,8131,7392,6986,944,6523,6986,4484,1836,7804,8012,1049,8155,9083,8131,6244
4572,6710,9441,11000,11186,9011,5095,4899,9441,4991,10879,2078,8795,6710,12158,158,4477,10232,8358,6710,5261,5327,2503,9340,281,3676,4919,1738,4719,8900,7113,4744,8022,9935,11111,11002,4572,6099,4993,48,Lake Charles,11484,10232,9048,9534,8659,6211,8857,11111,5242,8131,0,1451,1258,9065,9251,1258,9054,9861,2076,6517,9057,24,8910,0,2078
3648,5528,8259,9818,10447,8272,3649,3980,8259,4000,10140,1422,8056,5528,11076,1342,3335,9493,7619,5528,4096,4145,1829,8158,1227,2232,3754,1259,3700,7718,6374,3691,6840,9196,10372,10263,3648,4677,3828,1499,EcoElectrica LNG,10745,9493,8309,8352,7920,4789,8118,10372,4483,7392,1451,0,951,8326,8069,951,8315,9122,653,5335,8318,1475,7464,1451,1422
3471,5706,8437,9996,10041,7866,4547,3759,8437,3880,9734,820,7650,5706,11013,1100,3434,9087,7213,5706,4252,4324,1358,8336,981,3128,3910,480,3618,7896,5968,3678,7018,8790,9966,9857,3471,5394,3984,1306,Elba Island,10339,9087,7903,8530,7514,5506,7712,9966,4097,6986,1258,951,0,7920,8247,0,7909,8716,1604,5513,7912,1282,8362,1258,820
5776,2682,1076,2995,4553,5559,8283,5913,1076,5892,5291,7601,5803,2682,4576,9093,4905,4491,6214,2682,4192,3924,7383,89,8974,7421,4341,7865,5558,351,8992,5436,1229,4794,3880,3945,5776,7168,4285,9299,ADGAS LNG,5107,4491,5792,283,6024,7150,5745,3880,7153,6523,9251,8069,8247,5809,0,8247,10849,4866,7948,2735,5646,9275,9879,9251,7601
7134,7245,4870,2944,2410,336,10932,7093,4870,7121,2503,7178,471,7245,3519,8907,7858,1374,709,7245,8745,8487,6810,5898,8788,9592,8403,7469,7422,5458,3499,7658,5871,1077,2306,2201,7134,10240,8477,9113,Incheon,3019,1374,21,6092,866,10222,443,2306,5855,944,9065,8326,7920,0,5809,7920,5362,1003,8738,7298,163,9089,9839,9065,7178
3471,5706,8437,9996,10041,7866,4547,3759,8437,3880,9734,820,7650,5706,11013,1100,3434,9087,7213,5706,4252,4324,1358,8336,981,3128,3910,480,3618,7896,5968,3678,7018,8790,9966,9857,3471,5394,3984,1306,Southern LNG,10339,9087,7903,8530,7514,5506,7712,9966,4097,6986,1258,951,0,7920,8247,0,7909,8716,1604,5513,7912,1282,8362,1258,820
7173,10188,9910,7984,7201,5301,8144,7132,9910,7160,6474,7167,5072,10188,7831,8896,7847,6527,4654,10188,8734,8806,6799,10938,8777,9559,8392,7458,7461,10498,2129,7697,10911,6230,7267,7153,7173,10747,8466,9102,Costa Azul LNG Terminal,7032,6527,5345,11132,4870,10859,5134,7267,5894,4484,9054,8315,7909,5362,10849,7909,0,6156,8727,9995,5357,9078,4620,9054,7167
7930,6302,3927,2001,1519,876,10412,7889,3927,7917,1942,7974,1124,6302,2638,9703,8525,375,1503,6302,7812,7544,7606,4955,9584,10388,7961,8265,8218,4515,4295,8454,4928,78,1386,1278,7930,9297,7905,9909,Fujian LNG,2321,375,986,5149,1421,9279,1066,1386,6651,1836,9861,9122,8716,1003,4866,8716,6156,0,9534,6355,840,9885,10164,9861,7974
3738,5407,8138,9697,10859,8684,3026,4076,8138,4063,10552,1954,8468,5407,10452,1957,3276,9905,8031,5407,3997,4024,2238,8037,1870,1607,3655,1765,3747,7597,6786,3695,6719,9608,10582,10647,3738,4206,3729,2124,Point Fortin,11157,9905,8721,8231,8332,4318,8530,10582,4776,7804,2076,653,1604,8738,7948,1604,8727,9534,0,5214,8730,2100,6841,2076,1954
3042,260,2925,4484,6042,7048,5827,3179,2925,3158,6780,4867,7292,260,5954,6359,2171,5980,7703,260,1458,1190,4649,2824,6240,4687,1607,5131,2824,2384,8054,2702,1506,6283,5369,5434,3042,5028,1551,6565,Idku LNG,6550,5980,7281,3018,7513,5140,7234,5369,4419,8012,6517,5335,5513,7298,2735,5513,9995,6355,5214,0,7135,6541,9337,6517,4867
7126,7082,4707,2781,2247,173,10924,7085,4707,7113,2340,7170,399,7082,3356,8899,7850,1211,703,7082,8592,8324,6802,5735,8780,9584,8395,7461,7414,5295,3491,7650,5708,914,2143,2038,7126,10077,8469,9105,Tong Yong,2856,1211,146,5929,830,10059,351,2143,5847,1049,9057,8318,7912,163,5646,7912,5357,840,8730,7135,0,9081,9812,9057,7170
4596,6734,9465,11024,11210,9035,5119,4923,9465,5015,10903,2102,8819,6734,12182,182,4501,10256,8382,6734,5285,5351,2527,9364,305,3700,4943,1762,4743,8924,7137,4768,8046,9959,11135,11026,4596,6123,5017,24,Sabine Pass LNG,11508,10256,9072,9558,8683,6235,8881,11135,5266,8155,24,1475,1282,9089,9275,1282,9078,9885,2100,6541,9081,0,8934,24,2102
8505,9530,9488,9215,9037,9713,3819,8642,9488,8621,8320,8384,9487,9530,7900,8793,7637,10147,9163,9530,8247,8147,8487,9968,8691,5234,7905,8366,8287,9528,6741,8165,8822,10086,9308,9419,8505,6486,7979,8958,Quintero Bay LNG,8395,10147,9822,10162,9188,6551,9549,9308,9852,9083,8910,7464,8362,9839,9879,8362,4620,10164,6841,9337,9812,8934,0,8910,8384
4572,6710,9441,11000,11186,9011,5095,4899,9441,4991,10879,2078,8795,6710,12158,158,4477,10232,8358,6710,5261,5327,2503,9340,281,3676,4919,1738,4719,8900,7113,4744,8022,9935,11111,11002,4572,6099,4993,48,Trunkline LNG,11484,10232,9048,9534,8659,6211,8857,11111,5242,8131,0,1451,1258,9065,9251,1258,9054,9861,2076,6517,9057,24,8910,0,2078
