from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ohgishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang,Bahrain,Guanabara
Everett,8015.000,11364.000,5087.000,4690.000,2291.000,12142.000,5368.000,10008.000,3304.000,5057.000,6148.000,6644.000,3565.000,11838.000,3303.000,2927.000,10357.000,5051.000,11810.000,4985.000,2254.000,11114.000,2170.000,13287.000,3290.000,1604.000,13279.000,10213.000,11929.000,7166.000,2170.000,13698.000,2272.000,12848.000,669.000,8196.000,8144.000,13163.000,11668.000,13048.000,9133.000,12236.000,11934.000,13175.000,2721.000,4652.000,3041.000,969.000,9526.000,5881.000,,4665.000,2716.000,1796.000,3741.000,2203.000,7763.000,12507.000,13385.000,9772.000,4073.000,12982.000,2168.000,11932.000,1591.000,1582.000,12957.000,13740.000,11833.000,10104.000,388.000,3524.000,13111.000,8171.000,13387.000,13203.000,13477.000,11134.000,2778.000,2980.000,4868.000,13081.000,13747.000,3103.000,7955.000,12811.000,10515.000,2964.000,10476.000,12880.000,9741.000,7871.000,8335.000,8369.000,13018.000,14342.000,3685.000,4787.000,5187.000,4731.000,13846.000,11779.000,2178.000,2947.000,13048.000,4961.000,2577.000,3921.000,11211.000,12100.000,11885.000,11235.000,4830.000,4445.000,9157.000,8316.000,13158.000,9280.000,5741.000,2897.000,7017.000,8571.000,7968.000,12892.000,13431.000,13435.000,13379.000,11551.000,13483.000,24.000,10032.000,13382.000,13042.000,12569.000,4591.000,3886.000,9698.000,10688.000,8081.000,1953.000,3291.000,8065.000,1980.000,11661.000,2046.000,1730.000,1694.000,13246.000,3970.000,13942.000,14379.000,5119.000,13073.000,7548.000,13035.000,13269.000,11854.000,8569.000,8086.000,4562.000,5464.000,12872.000,3922.000,3462.000,3142.000,2165.000,3448.000,295.000,13180.000,13153.000,4069.000,2832.000,5092.000,977.000,11029.000,13181.000,13588.000,12739.000,11916.000,13309.000,13441.000,2832.000,3655.000,13392.000,13570.000,2719.000,5475.000,10360.000,3493.000,12441.000,8339.000,12467.000,4332.000,3075.000,13315.000,13016.000,8093.000,13002.000,4787.000,5085.000,13504.000,4045.000,13152.000,3280.000,13069.000,12667.000,13266.000,12101.000,5223.000,3081.000,12807.000,8176.000,
Falconara,4262.000,12422.000,1334.000,907.000,6529.000,8389.000,1616.000,6256.000,1394.000,1293.000,7220.000,2892.000,1297.000,8085.000,1393.000,2536.000,6600.000,5009.000,8057.000,4943.000,6493.000,7361.000,6409.000,9534.000,1401.000,5188.000,9526.000,6460.000,8177.000,7175.000,5959.000,13855.000,6511.000,13906.000,5064.000,4443.000,4392.000,9411.000,7915.000,9295.000,9123.000,8479.000,8182.000,9422.000,2766.000,5395.000,2941.000,5324.000,5774.000,6953.000,4665.000,,2335.000,4901.000,1295.000,6439.000,4006.000,8750.000,9629.000,6015.000,982.000,10536.000,6404.000,8175.000,5012.000,5050.000,9201.000,9984.000,8077.000,6347.000,4324.000,4276.000,9355.000,4415.000,9630.000,9447.000,9721.000,7377.000,2883.000,1749.000,1121.000,9325.000,9991.000,3033.000,4199.000,9055.000,6759.000,1868.000,6719.000,9123.000,5985.000,4114.000,4579.000,4613.000,9262.000,13566.000,3980.000,162.000,5142.000,133.000,10090.000,8023.000,6414.000,2877.000,9291.000,1179.000,2861.000,1158.000,7455.000,8343.000,12940.000,7478.000,1043.000,916.000,10212.000,4559.000,9401.000,9265.000,6810.000,2656.000,7025.000,8562.000,4212.000,9135.000,9674.000,9678.000,9622.000,11169.000,9726.000,4640.000,6275.000,9626.000,9286.000,8813.000,112.000,4181.000,10753.000,6931.000,4325.000,6189.000,4648.000,4308.000,6216.000,7904.000,5073.000,4846.000,5561.000,9489.000,733.000,10186.000,13380.000,5075.000,9317.000,3792.000,9278.000,9513.000,8098.000,9624.000,4330.000,775.000,6534.000,13928.000,1158.000,3757.000,3072.000,6401.000,1371.000,4591.000,9424.000,9397.000,5145.000,2349.000,6161.000,5323.000,7272.000,9425.000,9831.000,8983.000,8159.000,9552.000,9685.000,1928.000,1044.000,9635.000,9814.000,2783.000,5430.000,6604.000,3787.000,8684.000,9394.000,8711.000,455.000,3250.000,9559.000,9260.000,4336.000,9246.000,162.000,1303.000,9748.000,4340.000,9395.000,3305.000,9313.000,8910.000,9509.000,8344.000,1437.000,3011.000,9050.000,4424.000,
Ferrol,5689.000,11160.000,2761.000,2364.000,4694.000,9816.000,3042.000,7682.000,978.000,2731.000,5940.000,4318.000,1239.000,9512.000,977.000,273.000,7995.000,3757.000,9484.000,3691.000,4657.000,8788.000,4574.000,10961.000,964.000,3463.000,10953.000,7887.000,9603.000,5924.000,4235.000,13493.000,4675.000,12643.000,3164.000,5870.000,5818.000,10837.000,9342.000,10722.000,7891.000,9873.000,9608.000,10849.000,535.000,3184.000,702.000,3434.000,7200.000,5673.000,2716.000,2335.000,,3255.000,1379.000,4604.000,5400.000,10144.000,11023.000,7409.000,1710.000,11930.000,4569.000,9569.000,3309.000,3347.000,10595.000,11378.000,9471.000,7741.000,2365.000,2053.000,10749.000,5809.000,11025.000,10841.000,11115.000,8771.000,633.000,615.000,2505.000,10719.000,11385.000,774.000,5593.000,10449.000,8153.000,718.000,8113.000,10517.000,7379.000,5508.000,5973.000,6007.000,10656.000,14125.000,1720.000,2424.000,3879.000,2369.000,11484.000,9417.000,4579.000,618.000,10685.000,2598.000,638.000,1558.000,8849.000,9737.000,11667.000,8872.000,2467.000,2083.000,8940.000,5953.000,10795.000,8025.000,5522.000,370.000,5762.000,7316.000,5606.000,10530.000,11068.000,11072.000,11016.000,11334.000,11120.000,2692.000,7669.000,11020.000,10680.000,10207.000,2229.000,1922.000,9481.000,8325.000,5719.000,4354.000,3299.000,5702.000,4381.000,9298.000,3451.000,,3807.000,10883.000,1608.000,11580.000,14161.000,3812.000,10711.000,5186.000,10672.000,10907.000,9492.000,8352.000,5724.000,2199.000,5245.000,12655.000,1559.000,1498.000,812.000,4566.000,1086.000,2643.000,10818.000,10791.000,3851.000,1050.000,4873.000,3439.000,8666.000,10819.000,11225.000,10377.000,9553.000,10946.000,11079.000,434.000,1292.000,11029.000,11208.000,534.000,4168.000,7998.000,1528.000,10079.000,8122.000,10105.000,1970.000,1010.000,10953.000,10654.000,5731.000,10640.000,2424.000,2723.000,11142.000,2081.000,10789.000,1046.000,10707.000,10305.000,10903.000,9738.000,2861.000,751.000,10444.000,5850.000,
Fort de France,8255.000,9873.000,5327.000,4930.000,2237.000,11704.000,5609.000,10249.000,3544.000,5297.000,4657.000,6885.000,3805.000,12078.000,3543.000,3486.000,10595.000,4171.000,11502.000,4105.000,2205.000,11354.000,2148.000,13527.000,3531.000,552.000,13519.000,10453.000,12170.000,5831.000,1165.000,12206.000,2234.000,11356.000,1674.000,8436.000,8384.000,13404.000,10580.000,13288.000,7799.000,11543.000,11393.000,13415.000,3526.000,5679.000,3794.000,1527.000,9766.000,4390.000,1796.000,4901.000,3255.000,,3979.000,2175.000,8001.000,12745.000,13623.000,10010.000,4311.000,11489.000,2144.000,12170.000,,392.000,13195.000,13978.000,12071.000,10341.000,1830.000,4548.000,13349.000,8409.000,13625.000,13441.000,13715.000,11372.000,3584.000,,5106.000,13319.000,13985.000,3846.000,8193.000,13049.000,10753.000,,10714.000,13118.000,9979.000,8109.000,8573.000,8607.000,13256.000,12850.000,4673.000,5024.000,4306.000,4969.000,14084.000,11812.000,2154.000,3690.000,13286.000,5199.000,,4158.000,11449.000,11717.000,10392.000,11473.000,5068.000,4683.000,7665.000,8553.000,13396.000,7945.000,4249.000,3550.000,5682.000,7236.000,8206.000,13130.000,13669.000,13673.000,13617.000,10059.000,13721.000,1784.000,10270.000,13620.000,13280.000,12807.000,4829.000,4875.000,8206.000,10523.000,8319.000,2018.000,1753.000,8303.000,1998.000,10577.000,293.000,118.000,961.000,12297.000,4208.000,14180.000,12886.000,4239.000,13311.000,7786.000,13273.000,13507.000,12092.000,7077.000,8324.000,4799.000,3972.000,11380.000,4160.000,4451.000,3884.000,2141.000,3686.000,,13418.000,13391.000,2577.000,,3600.000,1532.000,10855.000,13419.000,13826.000,12977.000,12154.000,13547.000,13679.000,3136.000,3893.000,13629.000,13808.000,3507.000,4572.000,10598.000,4481.000,12679.000,6847.000,12084.000,4570.000,4064.000,13553.000,13254.000,8331.000,13240.000,5025.000,5323.000,13742.000,5034.000,13390.000,4118.000,13307.000,12905.000,13504.000,12339.000,5461.000,3824.000,13045.000,8417.000,
Fos - Cavaou,4652.000,11498.000,1724.000,1324.000,5606.000,8779.000,2005.000,6645.000,524.000,1690.000,6296.000,3281.000,192.000,8475.000,523.000,1612.000,6988.000,4085.000,8447.000,4019.000,5569.000,7751.000,5485.000,9923.000,463.000,4264.000,9916.000,6850.000,8566.000,6252.000,5035.000,13832.000,5587.000,12982.000,4140.000,4833.000,4781.000,9800.000,8305.000,9685.000,8219.000,8866.000,8571.000,9812.000,1842.000,4471.000,2018.000,4400.000,6163.000,6029.000,3741.000,1295.000,1379.000,3979.000,,5520.000,4393.000,9137.000,10016.000,6402.000,629.000,10923.000,5485.000,8563.000,4093.000,4131.000,9588.000,10371.000,8464.000,6734.000,3405.000,3357.000,9742.000,4802.000,10018.000,9834.000,10108.000,7764.000,1964.000,830.000,1495.000,9712.000,10378.000,2114.000,4586.000,9442.000,7146.000,949.000,7106.000,9511.000,6372.000,4502.000,4966.000,5000.000,9649.000,13953.000,3061.000,1413.000,4223.000,1358.000,10477.000,8410.000,5495.000,1958.000,9678.000,1588.000,1942.000,257.000,7842.000,8731.000,12021.000,7865.000,1461.000,1072.000,9293.000,4946.000,9788.000,8369.000,5891.000,1737.000,6106.000,7660.000,4599.000,9523.000,10061.000,10065.000,10009.000,11557.000,10113.000,3721.000,6662.000,10013.000,9673.000,9200.000,1218.000,3262.000,9834.000,7318.000,4712.000,5270.000,3729.000,4695.000,5297.000,8291.000,4154.000,3927.000,4642.000,9876.000,591.000,10573.000,13768.000,4156.000,9704.000,4179.000,9665.000,9900.000,8485.000,8705.000,4717.000,1188.000,5615.000,13009.000,260.000,2838.000,2153.000,5482.000,338.000,3672.000,9811.000,9784.000,4226.000,1430.000,5242.000,4404.000,7660.000,9812.000,10218.000,9370.000,8546.000,9939.000,10072.000,1009.000,410.000,10022.000,10201.000,1864.000,4511.000,6991.000,2869.000,9072.000,8475.000,9098.000,959.000,2326.000,9946.000,9647.000,4724.000,9633.000,1414.000,1712.000,10135.000,3421.000,9782.000,2386.000,9700.000,9298.000,9896.000,8731.000,1854.000,2092.000,9437.000,4813.000,
Freeport,9793.000,11991.000,6865.000,6468.000,449.000,13823.000,7147.000,11787.000,5082.000,6835.000,6775.000,8423.000,5343.000,13616.000,5081.000,4830.000,12132.000,6257.000,13588.000,6191.000,276.000,12892.000,150.000,15065.000,5069.000,1678.000,15057.000,11991.000,13708.000,7950.000,1585.000,14325.000,159.000,13475.000,1833.000,9974.000,9922.000,14942.000,12698.000,14826.000,9917.000,13662.000,13512.000,14953.000,4685.000,6610.000,4993.000,1385.000,11304.000,6508.000,2203.000,6439.000,4604.000,2175.000,5520.000,,9538.000,14282.000,15160.000,11547.000,5848.000,13608.000,120.000,13707.000,1863.000,1829.000,14732.000,15515.000,13608.000,11878.000,2385.000,5479.000,14886.000,9946.000,15162.000,14978.000,15252.000,12909.000,4741.000,4760.000,6643.000,14856.000,15522.000,5053.000,9730.000,14586.000,12290.000,4694.000,12251.000,14655.000,11516.000,9646.000,10110.000,10144.000,14793.000,14968.000,5719.000,6561.000,6392.000,6506.000,15621.000,13554.000,155.000,4897.000,14823.000,6736.000,4533.000,5695.000,12986.000,13835.000,12511.000,13010.000,6605.000,6220.000,9783.000,10090.000,14933.000,10064.000,6367.000,4829.000,7801.000,9355.000,9743.000,14667.000,15206.000,15210.000,15154.000,12177.000,15258.000,2191.000,11807.000,15157.000,14817.000,14344.000,6366.000,5921.000,10324.000,12462.000,9856.000,509.000,3872.000,9840.000,422.000,12695.000,2272.000,2147.000,1282.000,14415.000,5745.000,15717.000,15005.000,6325.000,14848.000,9323.000,14810.000,15044.000,13629.000,9195.000,9861.000,6336.000,6091.000,13499.000,5697.000,5497.000,5091.000,117.000,5223.000,2355.000,14955.000,14928.000,4695.000,4443.000,5718.000,1391.000,12804.000,14956.000,15363.000,14514.000,13691.000,15084.000,15216.000,4632.000,5430.000,15166.000,15345.000,4681.000,6680.000,12135.000,5527.000,14216.000,8965.000,14203.000,6107.000,5109.000,15090.000,14791.000,9868.000,14777.000,6562.000,6860.000,15279.000,6080.000,14927.000,5315.000,14844.000,14442.000,15041.000,13876.000,6998.000,5030.000,14582.000,9955.000,
Fujairah,294.000,13060.000,2692.000,3417.000,9627.000,4995.000,2639.000,2862.000,4492.000,2932.000,9635.000,1199.000,4398.000,4691.000,4491.000,5634.000,3214.000,8106.000,4663.000,8041.000,9590.000,3967.000,9507.000,6140.000,4498.000,8285.000,6132.000,3066.000,4783.000,5543.000,9057.000,10461.000,9609.000,11146.000,8161.000,1047.000,980.000,6017.000,4521.000,5901.000,5728.000,5093.000,4788.000,6028.000,5864.000,8493.000,6039.000,8422.000,2379.000,9625.000,7763.000,4006.000,5400.000,8001.000,4393.000,9538.000,,5364.000,6242.000,2629.000,4097.000,7149.000,9517.000,4789.000,8125.000,8163.000,5815.000,6597.000,4690.000,2961.000,7438.000,7390.000,5969.000,1011.000,6244.000,6060.000,6335.000,3991.000,5996.000,4862.000,2973.000,5938.000,6604.000,6146.000,245.000,5668.000,3372.000,4982.000,3333.000,5737.000,2598.000,588.000,,659.000,5875.000,10180.000,7093.000,4143.000,8255.000,4088.000,6703.000,4636.000,9527.000,5991.000,5905.000,3018.000,5974.000,4273.000,4068.000,4957.000,12139.000,4092.000,3590.000,3613.000,11479.000,605.000,6015.000,5879.000,9482.000,5769.000,5724.000,5176.000,774.000,5749.000,6288.000,6292.000,6236.000,7783.000,6340.000,7753.000,2889.000,6239.000,5900.000,5427.000,3948.000,7295.000,12020.000,3545.000,371.000,9302.000,7762.000,905.000,9329.000,4518.000,8186.000,7959.000,8674.000,6103.000,3835.000,6799.000,9994.000,8188.000,5930.000,243.000,5892.000,6126.000,4712.000,10891.000,376.000,3423.000,9386.000,11125.000,4273.000,6871.000,6185.000,9514.000,4484.000,7705.000,6038.000,6010.000,8258.000,5462.000,9275.000,8436.000,3886.000,6038.000,6445.000,5597.000,4773.000,6166.000,6298.000,5041.000,4157.000,6249.000,6427.000,5897.000,7741.000,3218.000,6901.000,5298.000,10661.000,5324.000,3759.000,6347.000,6172.000,5873.000,383.000,5859.000,4144.000,3079.000,6362.000,7454.000,6009.000,6418.000,5926.000,5524.000,6123.000,4958.000,3983.000,6124.000,5664.000,455.000,
Fujian,5589.000,8132.000,7436.000,8161.000,14371.000,2225.000,7383.000,2521.000,9236.000,7676.000,10729.000,5943.000,9142.000,984.000,9235.000,10378.000,2166.000,10084.000,1881.000,10070.000,14334.000,1594.000,14251.000,1097.000,9242.000,13029.000,1182.000,3560.000,845.000,7265.000,13801.000,5502.000,14353.000,6211.000,12905.000,4400.000,4696.000,973.000,3087.000,861.000,7451.000,2715.000,2343.000,1020.000,10608.000,13237.000,10783.000,13166.000,3620.000,11187.000,12507.000,8750.000,10144.000,12745.000,9137.000,14282.000,5364.000,,1301.000,3608.000,8842.000,3945.000,14262.000,809.000,12870.000,12908.000,809.000,1611.000,1053.000,3625.000,12182.000,12134.000,1006.000,4622.000,1302.000,1103.000,1406.000,1627.000,10740.000,9607.000,7718.000,907.000,1614.000,10891.000,5551.000,634.000,2029.000,9726.000,2047.000,780.000,3631.000,4944.000,4223.000,5965.000,885.000,5209.000,11837.000,8888.000,10009.000,8833.000,1713.000,1560.000,14272.000,10735.000,870.000,7763.000,10719.000,9018.000,1557.000,1989.000,7221.000,2155.000,8335.000,8358.000,10320.000,5912.000,1052.000,7609.000,11045.000,10514.000,7454.000,6906.000,4824.000,779.000,1298.000,1302.000,1294.000,5090.000,1350.000,12498.000,3548.000,1298.000,937.000,557.000,8693.000,12039.000,9739.000,2639.000,5678.000,14047.000,11346.000,4643.000,14074.000,3084.000,12931.000,12704.000,13419.000,3402.000,8579.000,1801.000,5023.000,10066.000,899.000,5168.000,857.000,1092.000,1260.000,10186.000,5682.000,8168.000,11115.000,6200.000,9017.000,11615.000,10930.000,14259.000,9229.000,12449.000,1085.000,1048.000,10990.000,10207.000,11099.000,13181.000,2516.000,1085.000,1517.000,561.000,844.000,1228.000,1308.000,9786.000,8902.000,1307.000,1499.000,10641.000,9471.000,2169.000,11645.000,145.000,10038.000,2261.000,8503.000,11091.000,1138.000,883.000,5689.000,862.000,8888.000,7824.000,1362.000,12198.000,1056.000,11163.000,963.000,489.000,1181.000,546.000,8728.000,10869.000,629.000,5751.000,
Futtsu,6468.000,6920.000,8314.000,9040.000,15250.000,2716.000,8262.000,3400.000,10115.000,8554.000,10358.000,6822.000,10021.000,1836.000,10114.000,11257.000,3039.000,10963.000,2577.000,10949.000,15213.000,2485.000,15129.000,1298.000,10121.000,13908.000,211.000,4439.000,1744.000,8144.000,14679.000,4312.000,15231.000,4999.000,13784.000,5279.000,5574.000,1175.000,3740.000,1000.000,8330.000,3201.000,2834.000,796.000,11487.000,14115.000,11662.000,14044.000,4498.000,10816.000,13385.000,9629.000,11023.000,13623.000,10016.000,15160.000,6242.000,1301.000,,4482.000,9715.000,3838.000,15136.000,1705.000,13743.000,13781.000,736.000,446.000,1947.000,4499.000,13056.000,13008.000,522.000,5495.000,14.000,389.000,183.000,,11614.000,10480.000,8591.000,1049.000,757.000,11765.000,6425.000,1036.000,2903.000,10600.000,2920.000,594.000,4504.000,5818.000,5097.000,6839.000,556.000,4028.000,12711.000,9762.000,10883.000,9707.000,594.000,2321.000,15145.000,11609.000,1141.000,8637.000,11592.000,9891.000,2405.000,2475.000,6001.000,3040.000,9208.000,9232.000,9145.000,6785.000,433.000,8482.000,10668.000,11387.000,8327.000,7779.000,5698.000,700.000,858.000,825.000,13.000,,768.000,13371.000,4422.000,9.000,489.000,837.000,9567.000,12913.000,8519.000,3509.000,6551.000,14920.000,12220.000,5516.000,14948.000,3731.000,13804.000,13577.000,14292.000,3321.000,9453.000,949.000,3843.000,10940.000,1041.000,6041.000,1122.000,1298.000,2154.000,9292.000,6556.000,9042.000,10832.000,4977.000,9891.000,12489.000,11803.000,15133.000,10102.000,13323.000,367.000,423.000,11864.000,11081.000,11249.000,14054.000,3308.000,367.000,294.000,1039.000,1740.000,128.000,868.000,10659.000,9775.000,19.000,276.000,11515.000,10345.000,3043.000,12519.000,1241.000,9267.000,2620.000,9377.000,11970.000,1344.000,553.000,6563.000,701.000,9762.000,8698.000,962.000,13072.000,338.000,12037.000,516.000,1011.000,211.000,1442.000,9602.000,11742.000,1106.000,6630.000,
Gangavaram,2854.000,11295.000,4701.000,5426.000,11636.000,3332.000,4648.000,1106.000,6501.000,4941.000,8841.000,3208.000,6407.000,2927.000,6500.000,7643.000,1452.000,7564.000,3001.000,7550.000,11600.000,2203.000,11516.000,4375.000,6507.000,10294.000,4368.000,588.000,3018.000,4748.000,11066.000,8697.000,11618.000,9382.000,10170.000,1665.000,1961.000,4252.000,3044.000,4137.000,4934.000,3563.000,3137.000,4264.000,7873.000,10502.000,8048.000,10431.000,,8830.000,9772.000,6015.000,7409.000,10010.000,6402.000,11547.000,2629.000,3608.000,4482.000,,6101.000,5523.000,11521.000,3026.000,10129.000,10167.000,4052.000,4835.000,2928.000,422.000,9442.000,9394.000,4206.000,1881.000,4482.000,4298.000,4572.000,2228.000,8000.000,6866.000,4977.000,4176.000,4842.000,8150.000,2811.000,3906.000,1610.000,6986.000,1570.000,3974.000,,2204.000,1483.000,3225.000,4113.000,8417.000,9097.000,6147.000,7485.000,6092.000,4941.000,2874.000,11531.000,7995.000,4142.000,5022.000,7978.000,6277.000,2306.000,3288.000,10377.000,2329.000,5594.000,5617.000,10684.000,3171.000,4252.000,5084.000,8688.000,7773.000,4929.000,4382.000,2084.000,3987.000,4525.000,4529.000,4473.000,6459.000,4577.000,9757.000,351.000,4477.000,4137.000,3664.000,5952.000,9298.000,11225.000,2020.000,2937.000,11306.000,8822.000,1902.000,11333.000,3041.000,10190.000,9963.000,10678.000,4477.000,5838.000,5037.000,8231.000,7542.000,4168.000,2427.000,4129.000,4364.000,2949.000,10096.000,2942.000,5427.000,8591.000,9362.000,6277.000,8875.000,8189.000,11518.000,6488.000,9709.000,4275.000,4248.000,8466.000,7466.000,8574.000,10440.000,2301.000,4276.000,4682.000,3834.000,3010.000,4403.000,4536.000,7045.000,6161.000,4486.000,4665.000,7901.000,6947.000,1455.000,8905.000,3536.000,9866.000,3655.000,5762.000,8356.000,4410.000,4111.000,2948.000,4097.000,6148.000,5083.000,4599.000,9458.000,4246.000,8422.000,4164.000,3762.000,4360.000,3195.000,5987.000,8128.000,3901.000,3016.000,
Gioia Tauro,4337.000,11830.000,1410.000,1013.000,5937.000,8464.000,1691.000,6331.000,803.000,1378.000,6628.000,2967.000,686.000,8161.000,802.000,1944.000,6674.000,4416.000,8133.000,4351.000,5901.000,7436.000,5817.000,9609.000,809.000,4595.000,9601.000,6535.000,8252.000,6583.000,5367.000,13930.000,5919.000,13314.000,4472.000,4519.000,4467.000,9486.000,7990.000,9370.000,8551.000,8552.000,8257.000,9497.000,2174.000,4803.000,2349.000,4732.000,5849.000,6361.000,4073.000,982.000,1710.000,4311.000,629.000,5848.000,4097.000,8842.000,9715.000,6101.000,,10609.000,5814.000,8248.000,4421.000,4459.000,9274.000,10057.000,8150.000,6420.000,3734.000,3686.000,9428.000,4488.000,9704.000,9520.000,9794.000,7450.000,2292.000,1158.000,1184.000,9398.000,10064.000,2443.000,4272.000,9128.000,6832.000,1278.000,6792.000,9196.000,6058.000,4187.000,4652.000,4686.000,9335.000,13639.000,3389.000,1101.000,4551.000,1046.000,10163.000,8096.000,5823.000,2287.000,9364.000,1277.000,2270.000,438.000,7528.000,8416.000,12349.000,7551.000,1146.000,774.000,9622.000,4632.000,9474.000,8697.000,6219.000,2065.000,6434.000,7988.000,4285.000,9209.000,9747.000,9751.000,9695.000,11242.000,9799.000,4049.000,6348.000,9699.000,9359.000,8886.000,906.000,3591.000,10163.000,7004.000,4398.000,5598.000,4058.000,4381.000,5626.000,7977.000,4482.000,4255.000,4970.000,9562.000,277.000,10259.000,13453.000,4484.000,9390.000,3865.000,9351.000,9586.000,8171.000,9034.000,4403.000,878.000,5943.000,13337.000,437.000,3167.000,2481.000,5811.000,765.000,4001.000,9497.000,9470.000,4555.000,1759.000,5571.000,4732.000,7346.000,9498.000,9904.000,9056.000,8232.000,9625.000,9758.000,1337.000,458.000,9708.000,9887.000,2193.000,4839.000,6677.000,3197.000,8758.000,8804.000,8784.000,647.000,2657.000,9632.000,9333.000,4410.000,9319.000,1102.000,1402.000,9821.000,3750.000,9468.000,2715.000,9386.000,8984.000,9582.000,8417.000,1540.000,2420.000,9123.000,4499.000,
Gladstone,7375.000,,9221.000,9947.000,13670.000,2365.000,9169.000,4443.000,11022.000,9461.000,7144.000,7729.000,10928.000,3537.000,11021.000,12164.000,4087.000,9641.000,3237.000,9627.000,13638.000,4104.000,13581.000,4537.000,11028.000,12004.000,3867.000,5482.000,4011.000,6888.000,12530.000,6252.000,13667.000,6300.000,13020.000,6186.000,6481.000,4414.000,3129.000,4247.000,7569.000,2308.000,2407.000,4193.000,12394.000,15022.000,12569.000,12954.000,5542.000,7602.000,12982.000,10536.000,11930.000,11489.000,10923.000,13608.000,7149.000,3945.000,3838.000,5523.000,10609.000,,13577.000,3975.000,11824.000,11852.000,4065.000,4092.000,4189.000,5546.000,12861.000,13911.000,3958.000,6398.000,3846.000,3915.000,3866.000,4136.000,12517.000,11383.000,9494.000,4294.000,4402.000,12668.000,7328.000,4136.000,3950.000,11503.000,3968.000,3822.000,5552.000,6721.000,6000.000,7742.000,3955.000,6419.000,13614.000,10665.000,9563.000,10610.000,4193.000,3284.000,13587.000,12512.000,4344.000,9540.000,12496.000,10795.000,3684.000,2759.000,6666.000,4565.000,10111.000,10135.000,7172.000,7688.000,3959.000,7723.000,7461.000,12290.000,7040.000,7020.000,6601.000,3924.000,4414.000,4418.000,3837.000,1531.000,4413.000,12971.000,5469.000,3841.000,3889.000,3619.000,10470.000,13816.000,,3689.000,7454.000,13451.000,9771.000,6419.000,13432.000,3123.000,11469.000,11554.000,12382.000,1111.000,10356.000,4489.000,6300.000,9620.000,4286.000,6944.000,4331.000,4534.000,4396.000,6720.000,7459.000,9945.000,7625.000,6295.000,10794.000,13392.000,12706.000,13574.000,11005.000,13006.000,3892.000,3949.000,8989.000,11686.000,8042.000,12960.000,3384.000,3893.000,3959.000,4071.000,4010.000,3841.000,4424.000,11563.000,10678.000,3850.000,3942.000,12418.000,9025.000,4091.000,13422.000,3879.000,,2855.000,10280.000,12877.000,4580.000,3953.000,7466.000,4091.000,10665.000,9601.000,4517.000,13975.000,3864.000,12940.000,3915.000,4002.000,3868.000,3744.000,10505.000,12645.000,4138.000,7537.000,
