name,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,units
154k_OutCharter_60days,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,$/day
154k_OutCharter_90days,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,45000.000,$/day
138k_InCharter_1st,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,$/day
138k_InCharter_2nd,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,$/day
138k_InCharter_3rd,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,$/day
138k_InCharter_4th,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,37000.000,$/day
154k_InCharter_1st,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,$/day
154k_InCharter_2nd,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,$/day
154k_InCharter_3rd,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,$/day
154k_InCharter_4th,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,47000.000,$/day
SpotCharter,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,35000.000,$/day
