name,location.name,location.otherNames,shortName,capabilities,location.timeZone,loadDuration,dischargeDuration,berths,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,minCvValue,maxCvValue,location.country,location.lat,location.lon,location.kind,kind,location.mmxId
Niigata,Niigata,Niigata Higashi,NIG,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,37.996,139.221,Location,Port,L_JP_Niiga
Ningbo,Ningbo,Ningbo,NIN,DISCHARGE,Asia/Shanghai,0,24,1,0.000,7,false,24,,,China,32.545,121.464,Location,Port,L_CN_Ningb
Ohgishima,Ohgishima,Ohgishima,OHG,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Ohgis
Oita,Oita,Oita,OIT,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Oita
Okinawa,Okinawa,Okinawa,OKI,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,0.000,0.000,Location,Port,L_JP_Okina
Otaru,Otaru,Ishikariwanshinko,OTA,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Otaru
P.Melchorita,P.Melchorita,Pampa Melchorita,PL,LOAD,America/Lima,24,0,1,23.325,0,false,24,,,Peru,-13.234,-76.327,Location,Port,L_PE_Pampa
Pecem,Pecem,Pecem,PEC,DISCHARGE,America/Fortaleza,0,120,1,0.000,7,false,24,,,Brazil,-3.535,-38.796,Location,Port,L_BR_Pecem
Penuelas,Penuelas,Penuelas,PEN,DISCHARGE,America/Puerto_Rico,0,24,1,0.000,7,false,24,,,Puerto Rico,17.973,-66.762,Location,Port,L_PR_Penue
Pluto LNG,Pluto LNG,Pluto LNG,,LOAD,Australia/Perth,24,0,1,23.600,7,false,24,,,Australia,0.000,0.000,Location,Port,L_AU_Pluto
Point Fortin,Point Fortin,Point Fortin,AL,LOAD,America/Port_of_Spain,24,0,1,22.440,0,false,24,,,Trinidad and Tobago,10.191,-61.699,Location,Port,L_TT_Point2
Port Moresby,Port Moresby,Port Moresby,,LOAD,Asia/Manila,24,0,1,22.800,7,false,24,,,Papua New Guinea,-9.476,147.146,Location,Port,L_PG_PortM
Port Qasim,Port Qasim,Port Qasim,QAS,DISCHARGE,Pacific/Port_Moresby,0,24,1,0.000,7,false,24,,,Pakistan,24.774,67.325,Location,Port,L_PK_PortQ
Prigorodnoye,Prigorodnoye,Prigorodnoye,,LOAD,Asia/Singapore,24,0,1,23.406,7,false,24,,,Russian Federation,46.622,142.908,Location,Port,L_RU_Sakha
Puerto Bahia,Puerto Bahia,Puerto Bahia,,LOAD,America/Bogota,24,0,1,22.800,7,false,24,,,Colombia,0.000,0.000,Location,Port,L_CO_Puert
Punta Europa,Punta Europa,Punta Europa,,LOAD,Africa/Libreville,24,0,1,22.911,7,false,24,,,Equatorial Guinea,3.780,8.731,Location,Port,L_GQ_Punta
Pyongtaek,Pyongtaek,Pyongtaek,PYT,DISCHARGE,Asia/Seoul,0,24,1,0.000,7,false,24,,,South Korea,36.978,126.821,Location,Port,L_KR_Pyeon
Qalhat,Qalhat,Sur,,LOAD,Asia/Qatar,24,0,1,23.606,7,false,24,,,Oman,22.580,59.527,Location,Port,L_OM_Qalha
Quintero,Quintero,Quintero,QUI,DISCHARGE,America/Santiago,0,24,1,0.000,7,false,24,,,Chile,-32.778,-71.526,Location,Port,L_CL_Quint
Ras Laffan,Ras Laffan,,RL,LOAD,Asia/Qatar,24,0,1,22.845,7,false,24,,,Qatar,25.916,51.615,Location,Port,L_QA_RasLa
Reganosa,Reganosa,El Ferrol,REG,"LOAD,DISCHARGE",Europe/Madrid,24,24,1,22.800,7,false,24,,,Spain,43.474,-8.237,Location,Port,L_ES_ElFer
Revithoussa,Revithoussa,Revithoussa,REV,DISCHARGE,Europe/Istanbul,0,24,1,0.000,7,false,24,,,Greece,37.959,23.403,Location,Port,L_GR_Revit
Rotterdam,Rotterdam,Rotterdam,ROT,"LOAD,DISCHARGE",Europe/Oslo,24,24,1,22.800,7,false,24,,,Netherlands,51.900,4.466,Location,Port,L_NL_Rotte
Rovigo,Rovigo,Rovigo LNG,ROV,DISCHARGE,Europe/Amsterdam,0,24,1,0.000,7,false,24,,,Italy,45.092,12.583,Location,Port,L_IT_Rovig
Sabine Pass,Sabine Pass,Sabine Pass&#44; Tx,,"LOAD,DISCHARGE",America/Chicago,24,24,1,22.800,7,false,24,,,United States,29.723,-93.862,Location,Port,L_US_Sabin
Sagunto,Sagunto,Sagunto,SAG,"LOAD,DISCHARGE",Europe/Madrid,24,24,1,22.800,7,false,24,,,Spain,0.000,0.000,Location,Port,L_ES_Sagun
Sakai,Sakai,Sakai,SAK,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Sakai
Salvador,Salvador,Salvador,SAL,DISCHARGE,America/Sao_Paulo,0,24,1,0.000,7,false,24,,,Brazil,-12.966,-38.516,Location,Port,L_BR_Salva
Samchok,Samchok,Samchok,SAM,DISCHARGE,Asia/Taipei,0,24,1,0.000,7,false,24,,,South Korea,37.433,129.200,Location,Port,L_KR_Samch
Senboku,Senboku,Senboku,SEN,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Senbo
Seria,Seria,Seria Terminal,,LOAD,Asia/Brunei,24,0,1,23.600,7,false,24,,,Brunei Darussalam,4.720,114.321,Location,Port,L_BN_Seria
Shanghai,Shanghai,Shanghai,SHA,DISCHARGE,Asia/Shanghai,0,24,1,0.000,7,false,24,,,China,31.244,121.489,Location,Port,L_CN_Shang
Sines,Sines,Sines,SIN,DISCHARGE,Europe/Madrid,0,24,1,0.000,7,false,24,,,Portugal,37.950,-8.866,Location,Port,L_PT_Sines
Singapore,Singapore,Singapore,SGP,"DISCHARGE,DRYDOCK",Asia/Seoul,0,24,1,0.000,7,false,24,,,Singapore,1.262,103.839,Location,Port,L_SG_Juron
Skikda,Skikda,Skikda,,LOAD,Africa/Algiers,24,0,1,23.084,7,false,24,,,Algeria,36.886,6.923,Location,Port,L_DZ_Skikd
Sodeshi,Sodeshi,Sodeshi,SOD,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Shimi
Soyo,Soyo,Soyo Terminal,,LOAD,Africa/Luanda,24,0,1,23.100,7,false,24,,,Angola,-6.333,12.233,Location,Port,L_AO_Soyo
Swinoujscie,Swinoujscie,Swinoujscie,SWI,DISCHARGE,Europe/Lisbon,0,24,1,0.000,7,false,24,,,Poland,53.899,14.253,Location,Port,L_PL_Swino
Tabangao,Tabangao,Tabangao,TAB,DISCHARGE,Asia/Sakhalin,0,24,1,0.000,7,false,24,,,Philippines,13.721,121.058,Location,Port,L_PH_Taban
Taichung,Taichung,Taichung,TAI,DISCHARGE,Asia/Bangkok,0,24,1,0.000,7,false,24,,,Taiwan,24.283,120.516,Location,Port,L_TW_Taich
Tangguh,Tangguh,Tangguh,,LOAD,Asia/Jayapura,24,0,1,22.511,7,false,24,,,Indonesia,-2.425,133.136,Location,Port,L_ID_Tangg
Teesport,Teesport,Teesport,TEE,DISCHARGE,Europe/London,0,24,1,0.000,7,false,24,,,United Kingdom,0.000,0.000,Location,Port,L_GB_Teesi
Tobata,Tobata,Tobata,TOB,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,33.922,130.864,Location,Port,L_JP_Tobat
Tokyo,Tokyo,Tokyo,TOK,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,35.643,139.768,Location,Port,L_JP_Tokyo
Yanai,Yanai,Yanai,YAN,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Yanai
Yokkaichi,Yokkaichi,Yokkaichi,YOK,DISCHARGE,Asia/Tokyo,0,24,1,0.000,7,false,24,,,Japan,43.210,141.306,Location,Port,L_JP_Yokka
Yung An,Yung An,Yung An,YUN,DISCHARGE,Asia/Taipei,0,24,1,0.000,7,false,24,,,Taiwan,22.820,120.191,Location,Port,L_TW_YungA
Zeebrugge,Zeebrugge,Zeebrugge,ZEE,"LOAD,DISCHARGE",Europe/Paris,24,24,1,22.800,7,false,24,,,Belgium,51.336,3.196,Location,Port,L_BE_Zeebr
Karachi,Karachi,Karachi,,DISCHARGE,Asia/Karachi,0,24,1,0.000,7,false,24,,,Pakistan,24.835,66.976,Location,Port,L_PK_Karac
Aqaba,Aqaba,Aqaba,,DISCHARGE,Asia/Amman,0,24,1,0.000,7,false,24,,,Jordan,29.506,34.988,Location,Port,L_JO_Aqaba
Sokhna,Sokhna,Sokhna,,DISCHARGE,Africa/Cairo,0,24,1,0.000,7,false,24,,,Egypt,29.575,32.408,Location,Port,L_EG_AinSo
Kochi,Kochi,Cochin LNG Terminal,KOC,"DISCHARGE,LOAD",Asia/Calcutta,24,24,1,23.400,7,false,24,,,India,9.970,76.269,Location,Port,L_IN_Kochi
