uuid,name,otherNames,allowRewiring,loadSlot.uuid,loadSlot.name,loadSlot.otherNames,loadSlot.fixedPrice,loadSlot.windowStart,loadSlot.windowStartTime,loadSlot.windowSize,loadSlot.duration,loadSlot.minQuantity,loadSlot.maxQuantity,loadSlot.optional,loadSlot.priceExpression,loadSlot.cargoCV,loadSlot.arriveCold,loadSlot.DESPurchase,loadSlot.contract,loadSlot.port,loadSlot.kind,dischargeSlot.uuid,dischargeSlot.name,dischargeSlot.otherNames,dischargeSlot.fixedPrice,dischargeSlot.windowStart,dischargeSlot.windowStartTime,dischargeSlot.windowSize,dischargeSlot.duration,dischargeSlot.minQuantity,dischargeSlot.maxQuantity,dischargeSlot.optional,dischargeSlot.priceExpression,dischargeSlot.FOBSale,dischargeSlot.contract,dischargeSlot.port,dischargeSlot.kind,allowedVessels,kind
_7RYs9qjGEeG3pZJ5vTn7rA,cargo-22,,false,_7RYs96jGEeG3pZJ5vTn7rA,load-cargo-22,,,2011-02-11 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Idku LNG,LoadSlot,_7RYs-KjGEeG3pZJ5vTn7rA,discharge-cargo-22,,,2011-03-07 09:00,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,,Cargo
_7RYs-ajGEeG3pZJ5vTn7rA,cargo-32,,true,_7RYs-qjGEeG3pZJ5vTn7rA,load-cargo-32,,,2010-12-31 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,_7RSmUqjGEeG3pZJ5vTn7rA,discharge-cargo-1,,,2011-01-11 00:00,,,,,200000,false,,false,NBP Sales,Dragon LNG,DischargeSlot,,Cargo
_7RZ7EKjGEeG3pZJ5vTn7rA,cargo-48,,false,_7RZ7EajGEeG3pZJ5vTn7rA,load-cargo-48,,,2011-02-07 00:00,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,_7RZ7EqjGEeG3pZJ5vTn7rA,discharge-cargo-48,,,2011-03-15 09:00,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,,Cargo
_7RZ7E6jGEeG3pZJ5vTn7rA,cargo-50,,,_7RZ7FKjGEeG3pZJ5vTn7rA,load-cargo-50,,,2011-02-15 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Idku LNG,LoadSlot,_7RZ7FajGEeG3pZJ5vTn7rA,discharge-cargo-50,,,2011-03-05 09:00,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,,Cargo
_7RZ7GajGEeG3pZJ5vTn7rA,cargo-70,,,_7RZ7GqjGEeG3pZJ5vTn7rA,load-cargo-70,,,2010-11-29 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,_7RaiIKjGEeG3pZJ5vTn7rA,discharge-cargo-70,,,2011-01-15 09:00,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,,Cargo
_7RbJMajGEeG3pZJ5vTn7rA,cargo-12,,,_7RbJMqjGEeG3pZJ5vTn7rA,load-cargo-12,,,2011-04-13 00:00,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,_7RbJM6jGEeG3pZJ5vTn7rA,discharge-cargo-12,,,2011-04-30 00:00,,,,,200000,false,,false,JCC Sales,Quintero Bay LNG,DischargeSlot,,Cargo
_7RdldKjGEeG3pZJ5vTn7rA,cargo-30,,,_7RdldajGEeG3pZJ5vTn7rA,load-cargo-30,,,2011-05-20 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,_7RdldqjGEeG3pZJ5vTn7rA,discharge-cargo-30,,,2011-06-11 23:00,,,,,200000,false,,false,JCC Sales,Quintero Bay LNG,DischargeSlot,,Cargo
_7RdleqjGEeG3pZJ5vTn7rA,cargo-39,,,_7Rdle6jGEeG3pZJ5vTn7rA,load-cargo-39,,,2010-12-08 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,_7ReMgKjGEeG3pZJ5vTn7rA,discharge-cargo-39,,,2011-01-01 00:00,,,,,200000,false,,false,JCC Sales,Quintero Bay LNG,DischargeSlot,,Cargo
_7RezmKjGEeG3pZJ5vTn7rA,cargo-60,,,_7RezmajGEeG3pZJ5vTn7rA,load-cargo-60,,,2011-06-06 00:00,,,,,200000,false,,,,false,HH Spot Purchase,Point Fortin,LoadSlot,_7RezmqjGEeG3pZJ5vTn7rA,discharge-cargo-60,,,2011-06-28 00:00,,,,,200000,false,,false,JCC Sales,Quintero Bay LNG,DischargeSlot,,Cargo
_7RqZw6jGEeG3pZJ5vTn7rA,cargo-66,,,_7RqZxKjGEeG3pZJ5vTn7rA,load-cargo-66,,,2011-05-16 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,_7RqZxajGEeG3pZJ5vTn7rA,discharge-cargo-66,,,2011-06-17 09:00,,,,,200000,false,,false,JCC Sales,Tobata,DischargeSlot,,Cargo
_7RqZzKjGEeG3pZJ5vTn7rA,cargo-9,,,_7RrA0KjGEeG3pZJ5vTn7rA,load-cargo-9,,,2011-04-13 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,_7RrA0ajGEeG3pZJ5vTn7rA,discharge-cargo-9,,,2011-05-10 08:00,,,,,200000,false,,false,JCC Sales,Yung An,DischargeSlot,,Cargo
_7RrA1ajGEeG3pZJ5vTn7rA,cargo-71,,,_7RrA1qjGEeG3pZJ5vTn7rA,load-cargo-71,,,2011-02-16 00:00,,,,,200000,false,,,,false,JCC Spot Purchase,Punta Europa LNG,LoadSlot,_7RrA16jGEeG3pZJ5vTn7rA,discharge-cargo-71,,,2011-03-17 08:00,,,,,200000,false,,false,JCC Sales,Yung An,DischargeSlot,,Cargo
_p2L0ArBeEeGic8R7aHTR5Q,cargo-31,,false,_p2L0ALBeEeGic8R7aHTR5Q,load-cargo-31,,,2011-01-23 00:00,,,,,,false,,,,false,NBP Spot Purchase,Punta Europa LNG,LoadSlot,_p2L0AbBeEeGic8R7aHTR5Q,discharge-cargo-31,,,2011-03-07 00:00,,,,,,false,,false,JCC Sales,Freeport LNG,DischargeSlot,,Cargo
_5tWa0uFPEeG3JK0-AQlDQw,1 Bonny,,,_5tWa0OFPEeG3JK0-AQlDQw,load-1 Bonny,,,2010-11-15 00:00,,,,,,false,,,,false,HH Spot Purchase,Bonny Nigeria,LoadSlot,_5tWa0eFPEeG3JK0-AQlDQw,discharge-1 Bonny,,,2010-11-25 00:00,,,,,,false,,false,NBP Sales,Isle of Grain,DischargeSlot,,Cargo
_M8EScuFQEeG3JK0-AQlDQw,2 Bonny,,,_M8ESceFQEeG3JK0-AQlDQw,load-2 Bonny,,,2010-12-15 00:00,,,,,,false,,,,false,HH Spot Purchase,Bonny Nigeria,LoadSlot,_M8EScOFQEeG3JK0-AQlDQw,discharge-2 Bonny,,,2010-12-25 00:00,,,,,,false,,false,NBP Sales,Isle of Grain,DischargeSlot,,Cargo
_TrtaQuFQEeG3JK0-AQlDQw,3 Bonny,,true,_TrtaQeFQEeG3JK0-AQlDQw,load-3 Bonny,,,2011-01-20 00:00,,,,,,false,,,,false,HH Spot Purchase,Bonny Nigeria,LoadSlot,_7RZUAKjGEeG3pZJ5vTn7rA,discharge-cargo-32,,,2011-02-13 09:00,,,,,200000,false,,false,JCC Sales,Pyeongtaek,DischargeSlot,,Cargo
_eeeZQOFQEeG3JK0-AQlDQw,5 Bonny,,,_eemVEOFQEeG3JK0-AQlDQw,load-5 Bonny,,,2011-03-15 00:00,,,,,,false,,,,false,HH Spot Purchase,Bonny Nigeria,LoadSlot,_eemVEeFQEeG3JK0-AQlDQw,discharge-5 Bonny,,,2011-03-25 00:00,,,,,,false,,false,NBP Sales,Isle of Grain,DischargeSlot,,Cargo
_nFvKAOFQEeG3JK0-AQlDQw,6 Bonny,,,_nFwYIeFQEeG3JK0-AQlDQw,load-6 Bonny,,,2011-04-15 00:00,,,,,,false,,,,false,HH Spot Purchase,Bonny Nigeria,LoadSlot,_nFwYIOFQEeG3JK0-AQlDQw,discharge-6 Bonny,,,2011-04-25 00:00,,,,,,false,,false,NBP Sales,Isle of Grain,DischargeSlot,,Cargo
_qrBOoOFQEeG3JK0-AQlDQw,7 Bonny,,,_qrCcweFQEeG3JK0-AQlDQw,load-7 Bonny,,,2011-05-15 00:00,,,,,,false,,,,false,HH Spot Purchase,Bonny Nigeria,LoadSlot,_qrCcwOFQEeG3JK0-AQlDQw,discharge-7 Bonny,,,2011-05-25 00:00,,,,,,false,,false,NBP Sales,Isle of Grain,DischargeSlot,,Cargo
_vBXj0OFQEeG3JK0-AQlDQw,8 Bonny,,,_vBYx8eFQEeG3JK0-AQlDQw,load-8 Bonny,,,2011-06-15 00:00,,,,,,false,,,,false,HH Spot Purchase,Bonny Nigeria,LoadSlot,_vBYx8OFQEeG3JK0-AQlDQw,discharge-8 Bonny,,,2011-06-25 00:00,,,,,,false,,false,NBP Sales,Isle of Grain,DischargeSlot,,Cargo
_-6C-s_aDEeGsPOkZFLdHUg,4 Bonny DES,,true,_-6BwkfaDEeGsPOkZFLdHUg,4 Bonny DES,,,2011-02-25 00:00,0,,0,,,false,,,false,true,NBP Spot Purchase,Isle of Grain,LoadSlot,_YSFIcOFQEeG3JK0-AQlDQw,discharge-4 Bonny DES,,,2011-02-25 00:00,,,,,,false,,false,NBP Sales,Isle of Grain,DischargeSlot,,Cargo
