from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bahrain,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guanabara,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang
Drovyanoy,14700,14141,16547,5436,6698,14844,16494,13694,4050,5803,8919,14862,15054,4311,15502,4049,3230,14049,6804,14642,6739,6662,14799,6578,16972,4036,5730,16964,14115,15615,8971,6450,16475,6680,15625,5104,13526,13821,16849,13719,16733,10939,14683,14533,16860,2733,,2598,5400,13427,8652,4652,5395,3184,5679,4471,6610,14473,16199,17077,13679,4803,15758,6575,7534,15624,5625,5663,16649,17432,15525,14011,4304,1176,16803,13737,17079,16895,17170,14826,2602,3707,5598,16773,17439,2574,14655,16503,14207,3811,14168,16572,13648,14048,13351,15069,16710,17118,2781,5517,6940,5462,17538,14952,6584,2718,16740,5691,2681,4651,14893,14857,14661,14927,5560,5175,11933,15015,16850,11085,8511,3098,8822,10376,13929,16584,17123,17127,17071,14327,17175,4631,13939,17074,16735,16262,5322,2983,12474,13663,14781,6359,6248,13758,6387,13716,5925,5609,5974,15720,4700,17634,17155,6872,16765,14269,16727,16961,15547,11345,14786,5292,8235,15648,4652,2559,2531,6571,4179,4581,16873,16845,6839,4109,7862,5405,13995,16873,17280,16431,15608,17001,17133,3526,4385,17084,17262,2725,7228,14053,2589,16133,11115,15224,5062,2356,17007,16708,14793,16694,5517,5815,17197,3142,16844,2427,16761,16359,16958,15793,5953,2590,16499
Dunkirk,12288,11782,14134,2999,5080,12432,14082,11282,1613,3366,6569,12450,12642,1874,13090,1612,714,11628,4392,12230,4327,5043,12387,4959,14560,1600,3947,14552,11702,13202,6559,4719,14116,5061,13266,3491,11113,11409,14437,11307,14321,8526,12262,12121,14448,458,2598,,3789,11006,6295,3041,2941,702,3794,2018,4993,12052,13778,14656,11258,2349,13334,4958,5174,13203,3809,3847,14228,15011,13104,11590,2693,1459,14382,11316,14658,14474,14748,12405,568,1254,3144,14352,15018,124,12234,14082,11786,1357,11747,14151,11227,11626,10930,12648,14289,14753,1069,3063,4518,3008,15117,12531,4967,169,14319,3237,692,2197,12472,12435,12295,12506,3106,2721,9568,12594,14429,8664,6154,562,6401,7955,11508,14163,14702,14706,14650,11962,14754,3020,11518,14653,14313,13840,2868,1271,10109,11242,12360,4742,3926,11337,4770,11295,4005,3713,4253,13299,2247,15213,14789,4451,14344,11848,14306,14540,13125,8980,12365,2838,5878,13283,2198,847,163,4955,1725,2970,14451,14424,4483,1689,5505,3795,11573,14452,14859,14010,13187,14580,14712,1073,1931,14662,14841,462,4806,11631,877,13712,8750,12803,2608,355,14586,14287,12371,14273,3063,3362,14775,1430,14423,396,14340,13938,14537,13372,3500,102,14078
Elba Island,13016,11337,14862,5346,1475,13160,14810,12010,3959,5712,6121,13177,13370,4220,13818,3959,3657,12365,5365,12957,5300,1438,13115,1355,15288,3946,1203,15280,12430,13930,7287,1568,13671,1457,12821,596,11841,12137,15165,12035,15049,9254,12999,12849,15176,3468,5400,3789,,11742,5854,969,5324,3434,1527,4400,1385,12789,14514,15393,11995,4732,12954,1350,4744,13940,1219,1185,14965,15748,13841,12326,1157,4269,15119,12052,15395,15211,15485,13141,3523,3636,5527,15089,15755,3848,12970,14819,12523,3599,12483,14888,11964,12363,11667,13384,15026,14314,4429,5446,5500,5391,15854,13268,1360,3692,15055,5620,3322,4580,13209,13172,11857,13242,5489,5104,9129,13331,15165,9401,5713,3642,7138,8692,12245,14900,15438,15442,15386,11523,15491,959,12255,15390,15050,14577,5251,4631,9670,11979,13097,1135,3229,12073,1162,12032,1720,1465,1090,13761,4629,15950,14351,5433,15081,12585,15042,15277,13862,8541,13102,5221,5437,12844,4581,4207,3887,1347,4107,1123,15188,15161,4041,3396,5064,6,12310,15189,15595,14747,13923,15317,15449,3497,4314,15399,15578,3464,5788,12368,4237,14449,8311,13540,4991,3820,15323,15024,13108,15010,5446,5744,15512,4790,15159,4025,15077,14675,15273,14108,5882,3826,14814
Ennore,2602,11314,4448,11658,12467,3351,4396,1116,10271,12025,8589,2764,2956,10532,2946,10271,10600,1470,7312,3019,7298,12435,2221,12379,4394,10258,10801,4386,879,3037,4496,11327,8715,12464,9400,11751,1413,1709,4271,2976,4155,4682,3503,3156,4282,10830,13427,11006,11742,,8577,11623,11632,10381,10288,10709,12407,2379,3620,4498,321,11040,5542,12376,8079,3045,10623,10651,4070,4853,2946,731,11383,12297,4224,1629,4500,4316,4590,2247,10928,10017,11835,4194,4860,11079,2558,3924,1628,9773,1589,3993,286,1952,1230,2972,4131,8435,12025,11754,7233,11699,4959,2892,12385,10923,4161,11928,10883,10888,2324,3306,10395,2348,11797,11412,10432,2919,4271,3066,8436,10701,4677,4130,1831,4005,4544,4548,4492,6325,4596,11612,659,4495,4156,3683,11559,12227,10973,1955,2685,12250,8570,1650,12230,2972,10267,10352,11181,4495,10938,5055,8250,7290,4186,2175,4148,4382,2968,9844,2689,11529,8339,9381,10889,11803,11117,12373,10416,11588,4294,4266,8214,9356,8322,11750,2296,4294,4701,3852,3029,4422,4554,10009,10622,4505,4683,10829,6695,1473,11833,3554,9614,3674,11299,11310,4428,4129,2696,4115,11754,12052,4617,12386,4265,11351,4182,3780,4379,3214,12191,11056,3920
Escobar,9849,5985,11695,6980,6570,9667,11643,8843,5594,7347,702,10011,10203,5855,10672,5593,5897,9198,4439,9827,4384,6538,9948,6482,11698,5580,4904,10880,9264,10764,4157,5431,8318,6567,7468,5921,8674,8970,11575,8905,11407,6087,9611,9709,11293,6109,8652,6295,5854,8577,,5881,6953,5673,4390,6029,6508,9625,11187,10816,8830,6361,7602,6477,1180,10773,4724,4752,11216,10977,10674,9162,5761,7522,11059,8888,10818,11090,10845,9974,6200,5338,7156,11456,11274,6365,9803,11309,9356,5094,9316,10961,8800,9199,8502,10217,11057,8962,7311,7075,4505,7020,10983,10138,6487,6209,11509,7249,6116,6209,10052,10042,6505,10075,7118,6733,3778,10164,11134,6236,173,5994,4008,5527,9080,11063,11376,11342,10810,6172,11286,5871,9090,10813,10990,10802,6880,7513,4319,8849,9930,6351,2671,8909,6332,8902,4369,4454,5282,8410,6258,11187,8999,4491,11447,9420,11496,11696,10695,3189,9935,6850,477,7493,6210,7089,6403,6474,5737,5906,11067,11124,1894,4664,904,5860,9180,11068,10905,11267,10756,10879,11386,5324,5943,10823,10888,6106,4305,9201,7119,11121,2960,10097,6620,6596,11742,11054,9941,11203,7075,7373,11480,7672,11038,6637,11017,11205,10887,10941,7511,6342,11335
Everett,12895,11364,14741,4690,2291,13039,14689,11889,3304,5057,6148,13056,13249,3565,13697,3303,2927,12244,5051,12836,4985,2254,12994,2170,15167,3290,1604,15159,12309,13809,7166,2170,13698,2272,12848,669,11720,12016,15044,11914,14928,9133,12878,12728,15055,2721,4652,3041,969,11623,5881,,4665,2716,1796,3741,2203,12668,14394,15272,11874,4073,12982,2168,4763,13819,1591,1582,14844,15627,13720,12206,388,3524,14998,11932,15274,15090,15365,13021,2778,2980,4868,14968,15634,3103,12850,14698,12402,2964,12363,14767,11843,12243,11546,13264,14905,14342,3685,4787,5187,4731,15733,13147,2178,2947,14935,4961,2577,3921,13088,13052,11885,13122,4830,4445,9157,13210,15045,9280,5741,2897,7017,8571,12124,14779,15318,15322,15266,11551,15370,24,12134,15269,14930,14457,4591,3886,9698,11858,12976,1953,3291,11953,1980,11911,2046,1730,1694,13789,3970,15829,14379,5119,14960,12464,14922,15156,13742,8569,12981,4562,5464,12872,3922,3462,3142,2165,3448,295,15068,15040,4069,2832,5092,977,12189,15068,15475,14626,13803,15196,15328,2832,3655,15279,15457,2719,5475,12248,3493,14328,8339,13419,4332,3075,15202,14903,12988,14889,4787,5085,15392,4045,15039,3280,14956,14554,15153,13988,5223,3081,14694
Falconara,12904,12422,14751,907,6529,13048,14698,11898,1394,1293,7220,13066,13258,1297,13706,1393,2536,12251,5009,12846,4943,6493,13003,6409,15176,1401,5188,15169,12319,13819,7175,5959,14756,6511,13906,5064,11730,12025,15053,11924,14937,9143,12885,12737,15064,2766,5395,2941,5324,11632,6953,4665,,2335,4901,1295,6439,12676,14401,15280,11881,982,13958,6404,5774,13826,5012,5050,14852,15635,13728,12213,4324,4276,15006,11939,15281,15098,15372,13028,2883,1749,1121,14976,15642,3033,12857,14706,12410,1868,12370,14774,11851,12250,11554,13271,14913,15397,3980,162,5142,133,15741,13155,6414,2877,14942,1179,2861,1158,13096,13059,12940,13129,1043,916,10212,13218,15052,9288,6810,2656,7025,8579,12131,14786,15325,15329,15273,12606,15377,4640,12141,15277,14937,14464,112,4181,10753,11866,12984,6189,4648,11960,6216,11919,5073,4846,5561,13922,733,15837,15434,5075,14968,12471,14929,15164,13749,9624,12988,775,6534,13928,1158,3757,3072,6401,1371,4591,15075,15048,5145,2349,6161,5323,12197,15076,15482,14634,13810,15203,15336,1928,1044,15286,15465,2783,5430,12255,3787,14335,9394,13426,455,3250,15210,14911,12995,14897,162,1303,15399,4340,15046,3305,14964,14561,15160,13995,1437,3011,14701
Ferrol,11653,11160,13499,2364,4694,11796,13447,10646,978,2731,5940,11814,12007,1239,12455,977,273,10989,3757,11594,3691,4657,11752,4574,13925,964,3463,13917,11067,12567,5924,4235,13493,4675,12643,3164,10478,10773,13801,10672,13686,7891,11623,11485,13813,535,3184,702,3434,10381,5673,2716,2335,,3255,1379,4604,11413,13139,14017,10619,1710,12695,4569,4519,12564,3309,3347,13589,14372,12465,10951,2365,2053,13743,10677,14019,13835,14109,11766,633,615,2505,13713,14379,774,11595,13443,11147,718,11108,13512,10588,10987,10291,12009,13650,14125,1720,2424,3879,2369,14478,11892,4579,618,13680,2598,638,1558,11833,11797,11667,11867,2467,2083,8940,11955,13790,8025,5522,370,5762,7316,10869,13524,14063,14067,14011,11334,14115,2692,10879,14014,13675,13202,2229,1922,9481,10603,11721,4354,3299,10698,4381,10656,3451,3181,3807,12660,1608,14574,14161,3812,13705,11209,13667,13901,12487,8352,11726,2199,5245,12655,1559,1498,812,4566,1086,2643,13813,13785,3851,1050,4873,3439,10934,13813,14220,13371,12548,13941,14073,434,1292,14024,14202,534,4168,10992,1528,13073,8122,12164,1970,1010,13947,13648,11733,13634,2424,2723,14136,2081,13784,1046,13701,13299,13898,12733,2861,751,13439
Fort de France,11560,9873,13407,4930,2237,11704,13354,10554,3544,5297,4657,11722,11914,3805,12362,3543,3486,10909,4171,11502,4105,2205,11659,2148,13832,3531,552,13825,10975,12475,5831,1165,12206,2234,11356,1674,10386,10681,13709,10580,13593,7799,11543,11393,13720,3526,5679,3794,1527,10288,4390,1796,4901,3255,,3979,2175,11334,13059,13938,10539,4311,11489,2144,3232,12484,370,392,13510,14293,12385,10871,1830,4548,13664,10597,13939,13755,14030,11686,3584,3241,5106,13634,14299,3846,11515,13364,11067,3096,11028,13432,10508,10908,10211,11929,13570,12850,4673,5024,4306,4969,14399,11812,2154,3690,13600,5199,3385,4158,11754,11717,10392,11787,5068,4683,7665,11875,13710,7945,4249,3550,5682,7236,10789,13444,13983,13987,13931,10059,14035,1784,10799,13934,13595,13122,4829,4875,8206,10523,11641,2018,1753,10618,1998,10577,293,118,961,12297,4208,14494,12886,4239,13625,11129,13587,13821,12407,7077,11646,4799,3972,11380,4160,4451,3884,2141,3686,1883,13733,13706,2577,2668,3600,1532,10855,13733,14140,13292,12468,13861,13993,3136,3893,13944,14122,3507,4572,10913,4481,12993,6847,12084,4570,4064,13867,13568,11653,13554,5025,5323,14057,5034,13704,4118,13622,13219,13818,12653,5461,3824,13359
Fos - Cavaou,11981,11498,13827,1324,5606,12124,13774,10974,524,1690,6296,12142,12335,192,12783,523,1612,11332,4085,11922,4019,5569,12080,5485,14252,463,4264,14245,11395,12895,6252,5035,13832,5587,12982,4140,10806,11101,14129,11000,14014,8219,11966,11813,14141,1842,4471,2018,4400,10709,6029,3741,1295,1379,3979,,5520,11757,13482,14361,10962,629,13039,5485,4908,12907,4093,4131,13933,14716,12809,11294,3405,3357,14087,11020,14362,14179,14453,12109,1964,830,1495,14057,14723,2114,11938,13787,11491,949,11451,13855,10932,11331,10635,12352,13994,14478,3061,1413,4223,1358,14822,12236,5495,1958,14023,1588,1942,257,12177,12140,12021,12210,1461,1072,9293,12299,14133,8369,5891,1737,6106,7660,11212,13867,14406,14410,14354,11687,14458,3721,11222,14358,14018,13545,1218,3262,9834,10947,12065,5270,3729,11041,5297,11000,4154,3927,4642,13003,591,14918,14515,4156,14049,11552,14010,14245,12830,8705,12069,1188,5615,13009,260,2838,2153,5482,338,3672,14156,14129,4226,1430,5242,4404,11278,14157,14563,13715,12891,14284,14417,1009,410,14367,14546,1864,4511,11336,2869,13416,8475,12507,959,2326,14291,13992,12076,13978,1414,1712,14480,3421,14127,2386,14045,13642,14241,13076,1854,2092,13782
Freeport,13679,11991,15525,6468,449,13823,15473,12673,5082,6835,6775,13841,14033,5343,14481,5081,4830,13028,6257,13621,6191,276,13778,150,15951,5069,1678,15943,13093,14593,7950,1585,14325,159,13475,1833,12504,12800,15828,12698,15712,9917,13662,13512,15839,4685,6610,4993,1385,12407,6508,2203,6439,4604,2175,5520,,13452,15177,16056,12658,5848,13608,120,5328,14603,1863,1829,15628,16411,14504,12989,2385,5479,15782,12715,16058,15874,16148,13804,4741,4760,6643,15752,16418,5053,13633,15482,13186,4694,13146,15551,12627,13026,12330,14048,15689,14968,5719,6561,6392,6506,16517,13931,155,4897,15718,6736,4533,5695,13872,13835,12511,13905,6605,6220,9783,13994,15829,10064,6367,4829,7801,9355,12908,15563,16101,16105,16050,12177,16154,2191,12918,16053,15713,15240,6366,5921,10324,12642,13760,509,3872,12736,422,12695,2272,2147,1282,14415,5745,16613,15005,6325,15744,13248,15705,15940,14525,9195,13765,6336,6091,13499,5697,5497,5091,117,5223,2355,15851,15824,4695,4443,5718,1391,12973,15852,16258,15410,14586,15980,16112,4632,5430,16062,16241,4681,6680,13031,5527,15112,8965,14203,6107,5109,15986,15687,13771,15673,6562,6860,16175,6080,15822,5315,15740,15338,15936,14772,6998,5030,15477
Fujairah,294,13060,2692,12705,13514,4995,2639,2862,11318,13071,9635,455,1199,11579,4691,11318,11647,3214,8359,4663,8345,13482,3967,13425,6140,11305,11848,6132,3066,4783,5543,12374,10461,13511,11146,12798,1047,980,6017,4521,5901,5728,5093,4788,6028,11877,14473,12052,12789,2379,9625,12668,12676,11413,11334,11757,13452,,5364,6242,2629,12087,7149,13422,7853,4789,11669,11697,5815,6597,4690,2961,12430,13344,5969,1011,6244,6060,6335,3991,11975,11064,12882,5938,6604,12125,245,5668,3372,10820,3333,5737,2598,588,1185,659,5875,10180,13072,12801,8279,12745,6703,4636,13432,11969,5905,12975,11929,11935,4068,4957,12139,4092,12844,12459,11479,605,6015,5879,9482,11748,5724,5176,774,5749,6288,6292,6236,7783,6340,12659,2889,6239,5900,5427,12606,13273,12020,3545,371,13296,9616,905,13277,4518,11314,11399,12227,6103,11984,6799,9994,8336,5930,243,5892,6126,4712,10891,376,12576,9386,11125,11936,12849,12164,13419,11462,12634,6038,6010,9260,10402,9369,12796,3886,6038,6445,5597,4773,6166,6298,11055,11669,6249,6427,11875,7741,3218,12880,5298,10661,5324,12346,12360,6172,5873,383,5859,12801,13099,6362,13433,6009,12397,5926,5524,6123,4958,13237,12103,5664
Fujian,5589,8132,7436,14430,15239,2225,7383,2521,13044,14797,10729,5751,5943,13304,984,13043,13372,2166,10084,1881,10070,15207,1594,15151,1097,13030,13573,1182,3560,845,7265,14100,5502,15236,6211,14523,4400,4696,973,3087,861,7451,2715,2343,1020,13602,16199,13778,14514,3620,11187,14394,14401,13139,13059,13482,15177,5364,,1301,3608,13817,3945,15152,10504,809,13399,13427,809,1611,1053,3625,14160,15074,1006,4622,1302,1103,1406,1627,13704,12794,14611,907,1614,13855,5551,634,2029,12550,2047,780,3631,4944,4223,5965,885,5209,14801,14530,10009,14475,1713,1560,15162,13699,870,14705,13659,13664,1557,1989,7221,2155,14574,14189,10320,5912,1052,7609,11045,13478,7454,6906,4824,779,1298,1302,1294,5090,1350,14389,3548,1298,937,557,14335,15003,9739,2639,5678,15026,11346,4643,15007,3084,13043,13128,13957,3402,13714,1801,5023,10066,899,5168,857,1092,1260,10186,5682,14305,11115,6200,13665,14579,13894,15149,13192,14364,1085,1048,10990,12132,11099,14526,2516,1085,1517,561,844,1228,1308,12785,13399,1307,1499,13605,9471,2169,14609,145,10038,2261,14076,14086,1138,883,5689,862,14531,14829,1362,15162,1056,14127,963,489,1181,546,14967,13833,629
Futtsu,6468,6920,8314,15309,16118,2716,8262,3400,13922,15675,10358,6630,6822,14183,1836,13922,14251,3039,10963,2577,10949,16086,2485,16029,1298,13909,14452,211,4439,1744,8144,14978,4312,16115,4999,15402,5279,5574,1175,3740,1000,8330,3201,2834,796,14481,17077,14656,15393,4498,10816,15272,15280,14017,13938,14361,16056,6242,1301,,4482,14690,3838,16026,11477,1705,14273,14301,736,446,1947,4499,15033,15947,522,5495,14,389,183,2431,14578,13667,15485,1049,757,14729,6425,1036,2903,13423,2920,594,4504,5818,5097,6839,556,4028,15675,15404,10883,15349,594,2321,16035,14573,1141,15578,14533,14538,2405,2475,6001,3040,15447,15062,9145,6785,433,8482,10668,14351,8327,7779,5698,700,858,825,13,4883,768,15262,4422,9,489,837,15209,15877,8519,3509,6551,15900,12220,5516,15880,3731,13917,14002,14831,3321,14588,949,3843,10940,1041,6041,1122,1298,2154,9292,6556,15179,10832,4977,14539,15453,14767,16023,14066,15238,367,423,11864,13006,11249,15400,3308,367,294,1039,1740,128,868,13659,14272,19,276,14479,10345,3043,15483,1241,9267,2620,14949,14965,1344,553,6563,701,15404,15702,962,16036,338,15001,516,1011,211,1442,15841,14706,1106
Gangavaram,2854,11295,4701,11910,12719,3332,4648,1106,10524,12277,8841,3016,3208,10785,2927,10523,10853,1452,7564,3001,7550,12688,2203,12631,4375,10511,11054,4368,588,3018,4748,11580,8697,12716,9382,12003,1665,1961,4252,3044,4137,4934,3563,3137,4264,11083,13679,11258,11995,321,8830,11874,11881,10619,10539,10962,12658,2629,3608,4482,,11292,5523,12628,8334,3026,10875,10903,4052,4835,2928,422,11636,12550,4206,1881,4482,4298,4572,2228,11180,10270,12087,4176,4842,11331,2811,3906,1610,10026,1570,3974,71,2204,1483,3225,4113,8417,12277,12006,7485,11951,4941,2874,12638,11175,4142,12180,11135,11140,2306,3288,10377,2329,12049,11665,10684,3171,4252,5084,8688,10953,4929,4382,2084,3987,4525,4529,4473,6459,4577,11865,351,4477,4137,3664,11811,12479,11225,2020,2937,12502,8822,1902,12483,3041,10519,10604,11433,4477,11190,5037,8231,7542,4168,2427,4129,4364,2949,10096,2942,11781,8591,9362,11141,12055,11369,12625,10668,11840,4275,4248,8466,9608,8574,12002,2301,4276,4682,3834,3010,4403,4536,10261,10874,4486,4665,11081,6947,1455,12085,3536,9866,3655,11552,11566,4410,4111,2948,4097,12006,12305,4599,12638,4246,11603,4164,3762,4360,3195,12443,11308,3901
Gioia Tauro,12312,11830,14159,1013,5937,12456,14106,11306,803,1378,6628,12474,12666,686,13114,802,1944,11661,4416,12254,4351,5901,12411,5817,14584,809,4595,14576,11727,13227,6583,5367,14163,5919,13314,4472,11138,11433,14461,11331,14345,8551,12295,12145,14472,2174,4803,2349,4732,11040,6361,4073,982,1710,4311,629,5848,12087,13817,14690,11292,,13367,5814,5229,13236,4421,4459,14261,15044,13137,11623,3734,3686,14415,11349,14691,14507,14781,12438,2292,1158,1184,14385,15051,2443,12267,14115,11819,1278,11780,14184,11260,11659,10963,12681,14322,14807,3389,1101,4551,1046,15150,12564,5823,2287,14352,1277,2270,438,12505,12468,12349,12539,1146,774,9622,12627,14462,8697,6219,2065,6434,7988,11541,14196,14735,14739,14683,12016,14787,4049,11551,14686,14346,13873,906,3591,10163,11275,12393,5598,4058,11370,5626,11328,4482,4255,4970,13332,277,15246,14843,4484,14377,11881,14339,14573,13158,9034,12398,878,5943,13337,437,3167,2481,5811,765,4001,14484,14457,4555,1759,5571,4732,11606,14485,14892,14043,13220,14613,14745,1337,458,14695,14874,2193,4839,11664,3197,13745,8804,12836,647,2657,14619,14320,12404,14306,1102,1402,14808,3750,14456,2715,14373,13971,14570,13405,1540,2420,14111
Gladstone,7375,7337,9221,13987,13670,2365,9169,4443,12600,14353,7144,7537,7729,12861,3537,12600,12929,4087,9641,3237,9627,13638,4104,13581,4537,12587,12004,3867,5482,4011,6888,12530,6252,13667,6300,13020,6186,6481,4414,3129,4247,7569,2308,2407,4193,13159,15758,13334,12954,5542,7602,12982,13958,12695,11489,13039,13608,7149,3945,3838,5523,13367,,13577,8362,3975,11824,11852,4065,4092,4189,5546,12861,14628,3958,6398,3846,3915,3866,4136,13259,12348,14166,4294,4402,13409,7328,4136,3950,12104,3968,3822,5552,6721,6000,7742,3955,6419,14356,14085,9563,14030,4193,3284,13587,13253,4344,14259,13217,13219,3684,2759,6666,4565,14128,13743,7172,7688,3959,7723,7461,13032,7040,7020,6601,3924,4414,4418,3837,1531,4413,12971,5469,3841,3889,3619,13890,14557,7347,3689,7454,13451,9771,6419,13432,3123,11469,11554,12382,1111,13268,4489,6300,9620,4286,6944,4331,4534,4396,6720,7459,13860,7625,6295,13220,14133,13448,13574,12746,13006,3892,3949,8989,11686,8042,12960,3384,3893,3959,4071,4010,3841,4424,12339,12953,3850,3942,13160,9025,4091,14164,3879,6484,2855,13630,13643,4580,3953,7466,4091,14085,14383,4517,14717,3864,13681,3915,4002,3868,3744,14521,13387,4138
Golden Pass,13648,11960,15494,6433,516,13792,15442,12641,5047,6800,6744,13809,14002,5308,14450,5046,4794,12997,6222,13589,6156,351,13747,65,15920,5033,1647,15912,13062,14562,7919,1554,14294,246,13444,1798,12473,12768,15796,12667,15681,9886,13630,13480,15808,4650,6575,4958,1350,12376,6477,2168,6404,4569,2144,5485,120,13422,15152,16026,12628,5814,13577,,5294,14572,1832,1798,15597,16380,14473,12958,2350,5444,15751,12684,16027,15843,16117,13773,4705,4725,6607,15721,16387,5018,13602,15451,13155,4659,13115,15520,12596,12995,12299,14016,15658,14937,5684,6526,6357,6471,16486,13900,71,4862,15687,6701,4497,5660,13841,13804,12480,13874,6570,6185,9752,13963,15797,10033,6336,4793,7770,9324,12876,15532,16070,16074,16018,12146,16122,2156,12887,16022,15682,15209,6331,5886,10293,12611,13729,474,3841,12705,387,12664,2241,2116,1251,14384,5710,16582,14974,6290,15713,13216,15674,15909,14494,9164,13734,6301,6060,13467,5661,5462,5056,4,5188,2319,15820,15793,4664,4408,5687,1356,12942,15821,16227,15379,14555,15948,16081,4596,5394,16031,16210,4646,6645,13000,5492,15081,8934,14171,6072,5074,15955,15656,13740,15642,6526,6825,16144,6045,15791,5280,15709,15307,15905,14740,6963,4995,15446
Guanabara,8910,6694,9218,5858,5411,9525,8755,8367,4459,6209,1445,8235,7346,4726,10014,4462,4758,8729,3392,9289,3354,5361,9461,5280,11514,4452,3764,11537,8758,10237,3662,4266,7911,5403,8155,4799,7795,7941,11394,8379,11325,5595,9335,9209,11427,5002,7534,5174,4744,8079,1180,4763,5774,4519,3232,4908,5328,7853,10504,11477,8334,5229,8362,5294,,10279,3586,3620,11244,11615,10133,8655,4638,6376,11397,7927,11480,11473,11478,9488,5082,4227,6018,11327,11890,5203,8038,11170,8885,3983,8848,11168,8294,7906,7712,8452,11302,9492,6244,5878,3533,5820,11614,9613,5309,5071,11232,6098,4996,5078,9393,9054,7043,9638,5965,5597,4292,8399,11426,5738,1026,4860,3479,5072,7903,11181,11713,11733,11477,6912,11767,9268,8655,11480,11310,10842,5697,6438,4728,8351,8178,5081,1576,7875,5250,8152,3173,3332,4131,9135,5120,11802,9510,3456,11284,7676,11246,11504,10166,3704,8181,5706,763,8035,5077,5932,5286,5286,4613,4782,11465,11424,753,3522,370,4744,8634,11456,11537,10973,10243,11495,11587,4201,4816,11482,11547,5203,3370,8714,6035,10475,3477,9807,5450,5433,11554,11298,7816,11270,5890,6229,11768,6601,11427,5472,11360,10887,11534,10391,6360,5214,11032
