from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang,Bahrain,Guanabara
Fos - Cavaou,4652,11498,1724,1324,5606,8779,2005,6645,524,1690,6296,3281,192,8475,523,1612,6988,4085,8447,4019,5569,7751,5485,9923,463,4264,9916,6850,8566,6252,5035,13832,5587,12982,4140,4833,4781,9800,8305,9685,8219,8866,8571,9812,1842,4471,2018,4400,6163,6029,3741,1295,1379,3979,,5520,4393,9137,10016,6402,629,10923,5485,8563,4093,4131,9588,10371,8464,6734,3405,3357,9742,4802,10018,9834,10108,7764,1964,830,1495,9712,10378,2114,4586,9442,7146,949,7106,9511,6372,4502,4966,5000,9649,13953,3061,1413,4223,1358,10477,8410,5495,1958,9678,1588,1942,257,7842,8731,12021,7865,1461,1072,9293,4946,9788,8369,5891,1737,6106,7660,4599,9523,10061,10065,10009,11557,10113,3721,6662,10013,9673,9200,1218,3262,9834,7318,4712,5270,3729,4695,5297,8291,4154,3927,4642,9876,591,10573,13768,4156,9704,4179,9665,9900,8485,8705,4717,1188,5615,13009,260,2838,2153,5482,338,3672,9811,9784,4226,1430,5242,4404,7660,9812,10218,9370,8546,9939,10072,1009,410,10022,10201,1864,4511,6991,2869,9072,8475,9098,959,2326,9946,9647,4724,9633,1414,1712,10135,3421,9782,2386,9700,9298,9896,8731,1854,2092,9437,4813,
Freeport,9793,11991,6865,6468,449,13823,7147,11787,5082,6835,6775,8423,5343,13616,5081,4830,12132,6257,13588,6191,276,12892,150,15065,5069,1678,15057,11991,13708,7950,1585,14325,159,13475,1833,9974,9922,14942,12698,14826,9917,13662,13512,14953,4685,6610,4993,1385,11304,6508,2203,6439,4604,2175,5520,,9538,14282,15160,11547,5848,13608,120,13707,1863,1829,14732,15515,13608,11878,2385,5479,14886,9946,15162,14978,15252,12909,4741,4760,6643,14856,15522,5053,9730,14586,12290,4694,12251,14655,11516,9646,10110,10144,14793,14968,5719,6561,6392,6506,15621,13554,155,4897,14823,6736,4533,5695,12986,13835,12511,13010,6605,6220,9783,10090,14933,10064,6367,4829,7801,9355,9743,14667,15206,15210,15154,12177,15258,2191,11807,15157,14817,14344,6366,5921,10324,12462,9856,509,3872,9840,422,12695,2272,2147,1282,14415,5745,15717,15005,6325,14848,9323,14810,15044,13629,9195,9861,6336,6091,13499,5697,5497,5091,117,5223,2355,14955,14928,4695,4443,5718,1391,12804,14956,15363,14514,13691,15084,15216,4632,5430,15166,15345,4681,6680,12135,5527,14216,8965,14203,6107,5109,15090,14791,9868,14777,6562,6860,15279,6080,14927,5315,14844,14442,15041,13876,6998,5030,14582,9955,
Fujairah,294,13060,2692,3417,9627,4995,2639,2862,4492,2932,9635,1199,4398,4691,4491,5634,3214,8106,4663,8041,9590,3967,9507,6140,4498,8285,6132,3066,4783,5543,9057,10461,9609,11146,8161,1047,980,6017,4521,5901,5728,5093,4788,6028,5864,8493,6039,8422,2379,9625,7763,4006,5400,8001,4393,9538,,5364,6242,2629,4097,7149,9517,4789,8125,8163,5815,6597,4690,2961,7438,7390,5969,1011,6244,6060,6335,3991,5996,4862,2973,5938,6604,6146,245,5668,3372,4982,3333,5737,2598,588,,659,5875,10180,7093,4143,8255,4088,6703,4636,9527,5991,5905,3018,5974,4273,4068,4957,12139,4092,3590,3613,11479,605,6015,5879,9482,5769,5724,5176,774,5749,6288,6292,6236,7783,6340,7753,2889,6239,5900,5427,3948,7295,12020,3545,371,9302,7762,905,9329,4518,8186,7959,8674,6103,3835,6799,9994,8188,5930,243,5892,6126,4712,10891,376,3423,9386,11125,4273,6871,6185,9514,4484,7705,6038,6010,8258,5462,9275,8436,3886,6038,6445,5597,4773,6166,6298,5041,4157,6249,6427,5897,7741,3218,6901,5298,10661,5324,3759,6347,6172,5873,383,5859,4144,3079,6362,7454,6009,6418,5926,5524,6123,4958,3983,6124,5664,455,
Fujian,5589,8132,7436,8161,14371,2225,7383,2521,9236,7676,10729,5943,9142,984,9235,10378,2166,10084,1881,10070,14334,1594,14251,1097,9242,13029,1182,3560,845,7265,13801,5502,14353,6211,12905,4400,4696,973,3087,861,7451,2715,2343,1020,10608,13237,10783,13166,3620,11187,12507,8750,10144,12745,9137,14282,5364,,1301,3608,8842,3945,14262,809,12870,12908,809,1611,1053,3625,12182,12134,1006,4622,1302,1103,1406,1627,10740,9607,7718,907,1614,10891,5551,634,2029,9726,2047,780,3631,4944,4223,5965,885,5209,11837,8888,10009,8833,1713,1560,14272,10735,870,7763,10719,9018,1557,1989,7221,2155,8335,8358,10320,5912,1052,7609,11045,10514,7454,6906,4824,779,1298,1302,1294,5090,1350,12498,3548,1298,937,557,8693,12039,9739,2639,5678,14047,11346,4643,14074,3084,12931,12704,13419,3402,8579,1801,5023,10066,899,5168,857,1092,1260,10186,5682,8168,11115,6200,9017,11615,10930,14259,9229,12449,1085,1048,10990,10207,11099,13181,2516,1085,1517,561,844,1228,1308,9786,8902,1307,1499,10641,9471,2169,11645,145,10038,2261,8503,11091,1138,883,5689,862,8888,7824,1362,12198,1056,11163,963,489,1181,546,8728,10869,629,5751,
Futtsu,6468,6920,8314,9040,15250,2716,8262,3400,10115,8554,10358,6822,10021,1836,10114,11257,3039,10963,2577,10949,15213,2485,15129,1298,10121,13908,211,4439,1744,8144,14679,4312,15231,4999,13784,5279,5574,1175,3740,1000,8330,3201,2834,796,11487,14115,11662,14044,4498,10816,13385,9629,11023,13623,10016,15160,6242,1301,,4482,9715,3838,15136,1705,13743,13781,736,446,1947,4499,13056,13008,522,5495,14,389,183,,11614,10480,8591,1049,757,11765,6425,1036,2903,10600,2920,594,4504,5818,5097,6839,556,4028,12711,9762,10883,9707,594,2321,15145,11609,1141,8637,11592,9891,2405,2475,6001,3040,9208,9232,9145,6785,433,8482,10668,11387,8327,7779,5698,700,858,825,13,,768,13371,4422,9,489,837,9567,12913,8519,3509,6551,14920,12220,5516,14948,3731,13804,13577,14292,3321,9453,949,3843,10940,1041,6041,1122,1298,2154,9292,6556,9042,10832,4977,9891,12489,11803,15133,10102,13323,367,423,11864,11081,11249,14054,3308,367,294,1039,1740,128,868,10659,9775,19,276,11515,10345,3043,12519,1241,9267,2620,9377,11970,1344,553,6563,701,9762,8698,962,13072,338,12037,516,1011,211,1442,9602,11742,1106,6630,
Gangavaram,2854,11295,4701,5426,11636,3332,4648,1106,6501,4941,8841,3208,6407,2927,6500,7643,1452,7564,3001,7550,11600,2203,11516,4375,6507,10294,4368,588,3018,4748,11066,8697,11618,9382,10170,1665,1961,4252,3044,4137,4934,3563,3137,4264,7873,10502,8048,10431,,8830,9772,6015,7409,10010,6402,11547,2629,3608,4482,,6101,5523,11521,3026,10129,10167,4052,4835,2928,422,9442,9394,4206,1881,4482,4298,4572,2228,8000,6866,4977,4176,4842,8150,2811,3906,1610,6986,1570,3974,,2204,1483,3225,4113,8417,9097,6147,7485,6092,4941,2874,11531,7995,4142,5022,7978,6277,2306,3288,10377,2329,5594,5617,10684,3171,4252,5084,8688,7773,4929,4382,2084,3987,4525,4529,4473,6459,4577,9757,351,4477,4137,3664,5952,9298,11225,2020,2937,11306,8822,1902,11333,3041,10190,9963,10678,4477,5838,5037,8231,7542,4168,2427,4129,4364,2949,10096,2942,5427,8591,9362,6277,8875,8189,11518,6488,9709,4275,4248,8466,7466,8574,10440,2301,4276,4682,3834,3010,4403,4536,7045,6161,4486,4665,7901,6947,1455,8905,3536,9866,3655,5762,8356,4410,4111,2948,4097,6148,5083,4599,9458,4246,8422,4164,3762,4360,3195,5987,8128,3901,3016,
Gioia Tauro,4337,11830,1410,1013,5937,8464,1691,6331,803,1378,6628,2967,686,8161,802,1944,6674,4416,8133,4351,5901,7436,5817,9609,809,4595,9601,6535,8252,6583,5367,13930,5919,13314,4472,4519,4467,9486,7990,9370,8551,8552,8257,9497,2174,4803,2349,4732,5849,6361,4073,982,1710,4311,629,5848,4097,8842,9715,6101,,10609,5814,8248,4421,4459,9274,10057,8150,6420,3734,3686,9428,4488,9704,9520,9794,7450,2292,1158,1184,9398,10064,2443,4272,9128,6832,1278,6792,9196,6058,4187,4652,4686,9335,13639,3389,1101,4551,1046,10163,8096,5823,2287,9364,1277,2270,438,7528,8416,12349,7551,1146,774,9622,4632,9474,8697,6219,2065,6434,7988,4285,9209,9747,9751,9695,11242,9799,4049,6348,9699,9359,8886,906,3591,10163,7004,4398,5598,4058,4381,5626,7977,4482,4255,4970,9562,277,10259,13453,4484,9390,3865,9351,9586,8171,9034,4403,878,5943,13337,437,3167,2481,5811,765,4001,9497,9470,4555,1759,5571,4732,7346,9498,9904,9056,8232,9625,9758,1337,458,9708,9887,2193,4839,6677,3197,8758,8804,8784,647,2657,9632,9333,4410,9319,1102,1402,9821,3750,9468,2715,9386,8984,9582,8417,1540,2420,9123,4499,
Gladstone,7375,,9221,9947,13670,2365,9169,4443,11022,9461,7144,7729,10928,3537,11021,12164,4087,9641,3237,9627,13638,4104,13581,4537,11028,12004,3867,5482,4011,6888,12530,6252,13667,6300,13020,6186,6481,4414,3129,4247,7569,2308,2407,4193,12394,15022,12569,12954,5542,7602,12982,10536,11930,11489,10923,13608,7149,3945,3838,5523,10609,,13577,3975,11824,11852,4065,4092,4189,5546,12861,13911,3958,6398,3846,3915,3866,4136,12517,11383,9494,4294,4402,12668,7328,4136,3950,11503,3968,3822,5552,6721,6000,7742,3955,6419,13614,10665,9563,10610,4193,3284,13587,12512,4344,9540,12496,10795,3684,2759,6666,4565,10111,10135,7172,7688,3959,7723,7461,12290,7040,7020,6601,3924,4414,4418,3837,1531,4413,12971,5469,3841,3889,3619,10470,13816,,3689,7454,13451,9771,6419,13432,3123,11469,11554,12382,1111,10356,4489,6300,9620,4286,6944,4331,4534,4396,6720,7459,9945,7625,6295,10794,13392,12706,13574,11005,13006,3892,3949,8989,11686,8042,12960,3384,3893,3959,4071,4010,3841,4424,11563,10678,3850,3942,12418,9025,4091,13422,3879,,2855,10280,12877,4580,3953,7466,4091,10665,9601,4517,13975,3864,12940,3915,4002,3868,3744,10505,12645,4138,7537,
Golden Pass,9758,11960,6830,6433,516,13792,7111,11751,5047,6800,6744,8387,5308,13581,5046,4794,12097,6222,13553,6156,351,12857,65,15030,5033,1647,15022,11956,13672,7919,1554,14294,246,13444,1798,9939,9887,14906,12667,14791,9886,13630,13480,14918,4650,6575,4958,1350,11269,6477,2168,6404,4569,2144,5485,120,9517,14262,15136,11521,5814,13577,,13672,1832,1798,14697,15480,13573,11843,2350,5444,14851,9911,15127,14943,15217,12873,4705,4725,6607,14821,15487,5018,9695,14551,12255,4659,12215,14620,11481,9611,10075,10109,14758,14937,5684,6526,6357,6471,15586,13519,71,4862,14787,6701,4497,5660,12951,13804,12480,12974,6570,6185,9752,10055,14897,10033,6336,4793,7770,9324,9708,14632,15170,15174,15118,12146,15222,2156,11771,15122,14782,14309,6331,5886,10293,12427,9821,474,3841,9804,387,12664,2241,2116,1251,14384,5710,15682,14974,6290,14813,9288,14774,15009,13594,9164,9826,6301,6060,13467,5661,5462,5056,4,5188,2319,14920,14893,4664,4408,5687,1356,12769,14921,15327,14479,13655,15048,15181,4596,5394,15131,15310,4646,6645,12100,5492,14181,8934,14171,6072,5074,15055,14756,9833,14742,6526,6825,15244,6045,14891,5280,14809,14407,15005,13840,6963,4995,14546,9919,
Guanabara,,,6253,,,,6517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,5015,8524,6861,7586,13796,2086,6808,1947,8661,7101,10759,5369,8567,689,8660,9803,1591,9509,1582,9495,13760,1015,13676,1576,8668,12455,1589,2985,71,6691,13226,5920,13778,6605,12331,3826,4121,1453,2788,1337,6876,2576,2204,1465,10033,12662,10208,12591,3045,10773,11932,8175,9569,12170,8563,13707,4789,809,1705,3026,8248,3975,13672,,12295,12333,1260,2046,309,3050,11607,11560,1414,4047,1710,1511,1802,1047,10166,9032,7143,1383,2049,10316,4976,1113,1454,9152,1472,1182,3056,4370,3649,5391,1320,5644,11263,8313,9434,8258,,1261,13697,10161,,7188,10144,8443,1181,1850,7613,1575,7760,7783,10568,5337,1460,7034,10637,9939,6879,6331,4250,1194,1733,1737,1702,5120,1785,11923,2974,1705,1345,893,8118,11464,10096,2103,5103,13472,10771,4068,13499,2785,12356,12129,12844,3345,8004,2244,5458,9491,1375,4593,,,516,10257,5108,7593,10541,6591,8442,11040,10355,13684,8654,11875,1492,1455,10415,9632,10524,12606,1980,1493,1913,1042,71,1632,1743,9211,8327,1715,,10067,8896,1595,11071,743,10068,2122,7928,10517,1617,1318,5114,1304,8314,7249,1807,11624,1463,10588,1371,969,1588,343,8153,10294,,5176,
Guayama,8365,10207,5438,5041,1925,12039,5719,10359,3654,5407,4991,6995,3915,12189,3654,3541,10705,4466,11837,4401,1893,11464,1836,13637,3641,218,13629,10563,12280,6166,962,12541,1922,11691,1419,8547,8495,13514,10914,13398,8133,11878,11728,13525,3530,5625,3809,1219,9877,4724,1591,5012,3309,,4093,1863,8125,12870,13743,10129,4421,11824,1832,12295,,48,13305,14088,12181,10451,1660,4494,13459,8519,13735,13551,13825,11482,3586,3336,5216,13429,14095,3870,8303,13159,10863,3224,10824,13228,10089,8219,8683,8717,13366,13184,4636,5134,4601,5079,14194,12127,1842,3715,13396,5309,3420,4268,11559,12051,10727,11583,5178,4793,7999,8663,13506,8280,4583,3600,6017,7571,8316,13240,13779,13783,13727,10393,13831,1578,10380,13730,13390,12917,4939,4837,8540,10858,8429,1706,2089,8413,1687,10911,546,,655,12631,4318,14290,13221,4534,13421,7896,13383,13617,12202,7411,8434,4909,4307,11715,4270,4413,3909,1829,3796,1719,13528,13501,2911,2901,3934,1225,11189,13529,13936,13087,12264,13657,13789,3233,4003,13739,13918,3526,4877,10708,4444,12789,7181,12419,4680,4026,13663,13364,8441,13350,5135,5433,13852,4997,13500,4142,13417,13015,13614,12449,5571,3848,13155,8527,
Guayanilla,8403,10235,5476,5079,1891,12067,5757,10397,3692,5445,5019,7033,3953,12227,3692,3579,10743,4502,11864,4437,1860,11502,1803,13675,3679,184,13667,10601,12318,6194,932,12569,1888,11719,1386,8585,8533,13552,10942,13436,8161,11906,11756,13563,3567,5663,3847,1185,9915,4752,1582,5050,3347,392,4131,1829,8163,12908,13781,10167,4459,11852,1798,12333,48,,13343,14126,12219,10489,1678,4532,13497,8557,13773,13589,13863,11520,3624,3374,5254,13467,14133,3908,8341,13197,10901,3262,10862,13266,10127,8257,8721,8755,13404,13212,4674,5172,4637,5117,14232,12165,1808,3752,13433,5347,3458,4306,11597,12079,10755,11620,5216,4831,8027,8701,13544,8308,4611,3638,6045,7599,8354,13278,13817,13821,13765,10421,13869,1570,10418,13768,13428,12955,4977,4875,8568,10886,8467,1672,2117,8451,1653,10939,568,,622,12659,4356,14328,13249,4570,13459,7934,13421,13655,12240,7439,8472,4947,4335,11742,4307,4451,3947,1795,3834,1734,13566,13539,2939,2939,3962,1191,11217,13567,13974,13125,12302,13695,13827,3271,4041,13777,13956,3564,4913,10746,4482,12827,7209,12447,4718,4064,13701,13402,8479,13388,5173,5471,13890,5034,13538,4180,13455,13053,13652,12487,5609,3886,13193,8565,
Gwangyang,6040,7414,7886,8612,14822,2565,7834,2972,9687,8127,10758,6394,9593,1426,9686,10829,2617,10535,2323,10521,14785,2045,14702,644,9693,13480,620,4011,1295,7716,14251,4768,14803,5479,13356,4851,5146,521,3530,346,7902,3055,2683,284,11059,13687,11234,13616,4070,11216,12957,9201,10595,13195,9588,14732,5815,809,736,4052,9274,4065,14697,1260,13305,13343,,877,1504,4076,12633,12585,308,5073,741,410,845,2078,11191,10058,8168,399,916,11342,6002,409,2480,10177,2498,327,4081,5395,4674,6416,187,4475,12288,9339,10460,9284,980,2002,14723,11186,491,8214,11170,9469,2000,2329,6502,2606,8786,8809,9677,6362,359,8059,11074,10964,7904,7357,5275,175,575,579,733,5155,624,12949,3999,736,263,532,9144,12490,9030,3090,6128,14498,11797,5093,14525,3527,13382,13155,13870,3522,9030,1065,4290,10517,391,5619,472,648,1711,9912,6133,8619,11238,5467,9468,12066,11380,14710,9679,12900,436,355,11441,10658,11550,13632,2967,437,955,453,1295,665,586,10237,9353,745,938,11092,9922,2620,12096,761,9857,2550,8954,11542,694,184,6140,123,9339,8275,626,12649,450,11614,264,445,618,997,9179,11320,520,6202,
Hachinohe,6823,6635,8669,9395,15605,3063,8617,3755,10469,8909,10519,7177,10376,2191,10469,11612,3400,11318,2927,11304,15568,2831,15484,1453,10476,14263,579,4794,2082,8499,15034,3985,15586,4696,14139,5634,5929,1330,4088,1155,8685,3553,3181,695,11842,14470,12017,14399,4853,10977,13740,9984,11378,13978,10371,15515,6597,1611,446,4835,10057,4092,15480,2046,14088,14126,877,,2290,4859,13416,13368,894,5855,459,761,282,2864,11974,10840,8951,1208,328,12125,6785,1216,3263,10960,3280,966,4864,6178,5457,7199,782,3693,13071,10122,11243,10067,,2681,15505,11969,1300,8997,11953,10252,2765,2827,5723,3392,9568,9592,8913,7145,805,8842,10835,11747,8687,8140,6058,896,429,395,450,5140,339,13731,4782,454,859,1197,9927,13273,8251,3869,6911,15280,12580,5876,15308,4083,14164,13937,14653,3575,9813,560,3507,11300,1199,6402,1281,1456,2497,9162,6916,9402,10999,4685,10251,12849,12163,15493,10462,13683,739,795,12224,11441,11417,14414,3663,739,194,1259,2081,501,439,11019,10135,463,203,11875,10705,3403,12879,1561,,2965,9737,12325,1502,780,6923,828,10122,9058,533,13432,710,12397,860,1252,583,1783,9962,12102,1327,6985,14408
Haikou,4916,8766,6762,7488,13698,2168,6710,1848,8562,7002,10684,5270,8469,777,8562,9704,1497,9411,1664,9397,13661,916,13577,1820,8569,12356,1831,2887,,6592,13127,6162,13679,6846,12232,3727,4022,1697,2870,1581,6778,2662,2286,1709,9935,12563,10110,12492,2946,10674,11833,8077,9471,12071,8464,13608,4690,1053,1947,2928,8150,4189,13573,309,12181,12219,1504,2290,,2956,11513,11465,1662,3952,1958,1759,2048,953,10071,8937,7048,1632,2298,10222,4882,1362,1360,9057,1378,1430,2961,4275,3554,5296,1569,5892,11168,8219,9340,8164,2397,1347,13603,10066,1598,7094,10050,8349,1116,1937,7858,1481,7665,7689,10786,5242,1708,6939,10543,9844,6784,6237,4155,1442,1981,1985,1949,5338,2033,11828,2879,1953,1593,1139,8024,11370,10342,2021,5008,13377,10677,3973,13405,2871,12262,12035,12750,3431,7910,2493,5707,9397,1623,4499,1585,1820,223,10475,5013,7499,10446,6837,8348,10946,10260,13590,8559,11780,1740,1704,10321,9538,10429,12511,1899,1741,2158,1290,,1878,1991,9117,8232,1962,2141,9972,8802,1500,10976,991,10286,2208,7834,10418,1866,1566,5020,1553,8219,7155,2055,11529,1712,10494,1620,1217,1835,598,8059,10200,1357,5077,
Haldia,3186,11312,5033,5758,11968,3349,4980,1156,6833,5273,9173,3540,6739,2944,6832,7975,1468,7896,3018,7882,11931,2220,11848,4392,6839,10626,4385,345,3035,5080,11397,8714,11950,9399,10502,1997,2293,4269,3141,4154,5266,3580,3154,4281,8205,10834,8380,10763,731,9162,10104,6347,7741,10341,6734,11878,2961,3625,4499,422,6420,5546,11843,3050,10451,10489,4076,4859,2956,,9773,9725,4223,2213,4498,4315,4589,2245,8332,7198,5309,4193,4859,8482,3142,3923,1627,7317,1587,3991,489,2536,1814,3556,4130,8434,9429,6479,7817,6424,4958,2891,11863,8326,4159,5354,8310,6609,2322,3305,10394,2346,5926,5949,11016,3503,4269,5416,9020,8105,5261,4714,2416,4003,4542,4546,4490,6580,4594,10089,77,4493,4154,3681,6284,9630,11557,2117,3269,11638,9154,2234,11665,3138,10522,10295,11010,4493,6170,5054,8248,7874,4184,2759,4146,4381,2966,10428,3274,5759,8923,9379,6608,9206,8521,11850,6820,10040,4292,4265,8798,7798,8906,10772,2318,4293,4699,3851,3027,4420,4552,7377,6493,4503,4682,8232,7279,1472,9237,3552,10198,3672,6094,8688,4427,4127,3280,4114,6480,5415,4616,9789,4263,8754,4181,3778,4377,3212,6319,8460,3918,3348,
Halifax,7678,11244,4750,4353,2475,11805,5032,9672,2967,4720,6028,6307,3228,11501,2966,2578,10008,4770,11473,4704,2438,10777,2354,12950,2954,1702,12942,9876,11592,6926,2322,13577,2456,12727,859,7859,7807,12827,11331,12711,8894,11887,11597,12838,2372,4304,2693,1157,9189,5761,388,4324,2365,1830,3405,2385,7438,12182,13056,9442,3734,12861,2350,11607,1660,1678,12633,13416,11513,9773,,3170,12762,7822,13038,12854,13128,10785,2424,2628,4519,12732,13398,2749,7606,12462,10166,2643,10127,12531,9392,7522,7986,8020,12669,14220,3330,4437,4905,4382,13497,11430,2363,2593,12699,4612,2223,3571,10862,11751,11763,10886,4481,4096,9035,7966,12809,9040,5619,2543,6777,8331,7619,12543,13082,13086,13030,11429,13134,368,9683,13033,12693,12220,4242,3532,9576,10338,7732,2137,3182,7716,2165,11312,2083,1760,1848,12897,3621,13593,14257,4837,12724,7199,12686,12920,11505,8447,7737,4212,5343,12751,3573,3108,2787,2350,3099,318,12831,12804,3947,2522,4970,1168,10680,12832,13239,12390,11567,12960,13092,2477,3306,13042,13221,2365,5193,10011,3138,12092,8217,12118,3983,2724,12966,12667,7744,12653,4438,4736,13155,3691,12803,2926,12720,12318,12917,11752,4874,2726,12458,7840,
Hammerfest,7630,13010,4702,4305,5569,11757,4984,9624,2919,4672,7789,6260,3180,11453,2918,2099,9954,5674,11425,5608,5532,10729,5449,12902,2906,4601,12894,9828,11545,7840,5321,15344,5551,14494,3975,7811,7759,12779,11283,12663,9808,11832,11550,12790,1603,1176,1459,4269,9141,7522,3524,4276,2053,4548,3357,5479,7390,12134,13008,9394,3686,13911,5444,11560,4494,4532,12585,13368,11465,9725,3170,,12708,7768,12984,12800,13074,10730,1469,2574,4464,12678,13344,1441,7552,12408,10112,2677,10072,12477,9338,7467,7932,7966,12615,15984,1648,4383,5806,4328,13443,11376,5454,1585,12644,4557,1547,3517,10808,11696,13527,10831,4426,4042,10799,7912,12754,9952,7378,1965,7689,9243,7565,12489,13027,13031,12975,13193,13079,3500,9628,12979,12639,12166,4188,1850,11341,10284,7678,5229,5114,7661,5256,11257,4794,4479,4843,12842,3567,13539,16021,5739,12670,7145,12631,12866,11451,10211,7683,4158,7101,14515,3518,1426,1398,5441,3045,3451,12777,12750,5706,2975,6729,4275,10626,12778,13184,12336,11512,12905,13038,2393,3251,12988,13167,1592,6094,9957,1456,12038,9981,12064,3929,1227,12912,12613,7690,12599,4383,4682,13101,2009,12748,1294,12666,12264,12862,11697,4820,1457,12403,7792,
Hatsukaichi,6194,7357,8040,8766,14976,2568,7988,3126,9841,8281,10601,6548,9747,1569,9840,10983,2771,10689,2408,10675,14939,2199,14856,867,9847,13634,407,4165,1449,7870,14405,4750,14957,5436,13510,5005,5300,744,3592,569,8056,3058,2686,365,11213,13841,11388,13770,4224,11059,13111,9355,10749,13349,9742,14886,5969,1006,522,4206,9428,3958,14851,1414,13459,13497,308,894,1662,4223,12762,12708,,5226,523,156,627,2231,11345,10211,8322,621,913,11496,6156,621,2634,10331,2652,303,4235,5549,4828,6570,128,4472,12442,9493,10614,9438,1006,2135,14877,11340,714,8368,11324,9623,2143,2332,6441,2759,8939,8963,9573,6516,105,8213,10917,11118,8058,7511,5429,288,587,591,515,5021,639,13102,4153,518,93,574,9298,12644,8960,3244,6282,14651,11951,5247,14679,3587,13536,13308,14024,3417,9184,1108,4286,10671,613,5773,695,870,1865,9712,6287,8773,11081,5421,9622,12220,11534,14864,9833,13054,182,101,11595,10812,11499,13785,3126,183,737,663,1449,447,597,10391,9506,527,719,11246,10076,2774,12250,950,9666,2529,9108,11696,916,126,6294,274,9493,8429,690,12803,197,11768,60,656,400,1151,9333,11473,731,6356,
