from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bahrain,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang,Guanabara
Ferrol,11653,5135,13499,2364,4694,11796,13447,10646,978,2731,5940,11814,12007,1239,12455,977,273,10989,3757,11594,3691,4657,11752,4574,13094,964,3463,12139,11067,12567,5924,4235,7977,4675,7114,3164,10478,10773,12971,10672,12796,7891,11623,11485,12335,535,3184,702,3434,10381,5673,2716,2335,,3255,1379,4604,11413,13139,12025,10619,1710,12135,4569,12564,3309,3347,12526,11739,12465,10951,2365,2053,12465,10677,12027,12332,11892,11766,633,615,2505,12856,11807,774,11595,12864,11147,718,11108,12535,10588,10987,10291,12009,12431,8628,1720,2424,3879,2369,11572,11892,4579,618,12948,2598,638,1558,11833,11797,6037,11867,2467,2083,6385,11955,12376,8025,5522,370,5762,7316,10869,12544,12077,12044,12019,10987,11987,2692,10879,12022,12430,12763,2229,1922,5713,10603,11721,4354,3299,10698,4381,10656,3451,,3807,12480,1608,11602,8665,3812,12848,11209,12929,13105,12487,6878,11726,2199,5245,7146,1559,1498,812,4566,1086,2643,12310,12366,3851,1050,4873,3439,10934,12310,11827,12908,12548,12068,12088,434,1292,12032,11836,534,4168,10992,1528,13073,7074,12164,1970,1010,13151,12428,11733,12476,2424,2723,12111,2081,12281,1046,12457,12901,12151,12733,2861,751,12975,
Fort de France,11560,2065,13407,4930,2237,10698,13354,10554,3544,5297,4657,11722,11914,3805,10666,3543,3486,10909,4171,11048,4105,2205,11315,2148,10024,3531,552,9069,10975,10587,5831,1165,4907,2234,4044,1674,10386,10681,9901,10580,9726,7799,10646,10740,9265,3526,5679,3794,1527,10288,4390,1796,4901,3255,,3979,2175,11334,10167,8954,10539,4311,9064,2144,10558,,392,9455,8668,10800,10871,1830,4548,9394,10597,8956,9261,8821,11354,3584,,5106,9785,8736,3846,11515,9793,11067,,11028,9464,10508,10908,10211,11929,9359,5557,4673,5024,4306,4969,8501,10926,2154,3690,9877,5199,,4158,11214,10792,2966,11787,5068,4683,3314,11875,9305,7945,4249,3550,5682,7236,10789,9473,9006,8973,8948,7916,8916,1784,10799,8951,9359,9692,4829,4875,2642,10523,11641,2018,1753,10618,1998,10577,293,118,961,9409,4208,8531,5594,4239,9777,11129,9858,10034,11007,3807,11646,4799,3972,4074,4160,4451,3884,2141,3686,,9239,9295,2577,,3600,1532,10855,9239,8756,9837,10594,8997,9016,3136,3893,8960,8765,3507,4572,10913,4481,10111,4003,10646,4570,4064,10080,9357,11653,9405,5025,5323,9040,5034,9210,4118,9386,9830,9080,10295,5461,3824,9904,
Fos - Cavaou,11981,5935,13827,1324,5606,12124,13774,10974,524,1690,6296,12142,12335,192,12783,523,1612,11332,4085,11922,4019,5569,12080,5485,13894,463,4264,12940,11395,12895,6252,5035,8777,5587,7914,4140,10806,11101,13771,11000,13596,8219,11966,11813,13136,1842,4471,2018,4400,10709,6029,3741,1295,1379,3979,,5520,11757,13482,12829,10962,629,12939,5485,12907,4093,4131,13330,12544,12809,11294,3405,3357,13270,11020,12831,13136,12696,12109,1964,830,1495,13660,12611,2114,11938,13668,11491,949,11451,13339,10932,11331,10635,12352,13235,9432,3061,1413,4223,1358,12376,12236,5495,1958,13753,1588,1942,257,12177,12140,6841,12210,1461,1072,7189,12299,13180,8369,5891,1737,6106,7660,11212,13349,12881,12848,12823,11687,12791,3721,11222,12826,13234,13545,1218,3262,6517,10947,12065,5270,3729,11041,5297,11000,4154,3927,4642,13003,591,12406,9469,4156,13652,11552,13733,13909,12830,7682,12069,1188,5615,7950,260,2838,2153,5482,338,3672,13114,13170,4226,1430,5242,4404,11278,13114,12631,13712,12891,12872,12892,1009,410,12836,12640,1864,4511,11336,2869,13416,7878,12507,959,2326,13955,13233,12076,13281,1414,1712,12915,3421,13085,2386,13261,13642,12955,13076,1854,2092,13779,
Freeport,13679,2484,15525,6468,449,11118,15473,12657,5082,6835,6775,13841,14033,5343,11086,5081,4830,12312,6257,11468,6191,276,11735,150,10444,5069,1678,9489,13093,11007,7950,1585,5327,159,4464,1833,12504,12800,10321,11882,10146,9917,11070,11160,9685,4685,6610,4993,1385,12407,6508,2203,6439,4604,2175,5520,,13452,10591,9378,12658,5848,9488,120,10982,1863,1829,9878,9092,11223,12989,2385,5479,9818,12715,9380,9685,9244,11778,4741,4760,6643,10209,9159,5053,13633,10217,12175,4694,12193,9887,12627,13026,12330,14048,9783,5981,5719,6561,6392,6506,8924,11350,155,4897,10301,6736,4533,5695,11638,11216,3390,12306,6605,6220,3737,13994,9729,10064,6367,4829,7801,9355,12908,9897,9430,9396,9371,8340,9340,2191,12918,9375,9783,10115,6366,5921,3066,12451,13760,509,3872,12736,422,11886,2272,2147,1282,9833,5745,8954,6018,6325,10200,13248,10282,10458,11431,4231,13765,6336,6091,4498,5697,5497,5091,117,5223,2355,9662,9719,4695,4443,5718,1391,12146,9663,9180,10260,11017,9421,9440,4632,5430,9384,9189,4681,6680,12315,5527,10535,4426,11069,6107,5109,10504,9781,13771,9829,6562,6860,9464,6080,9633,5315,9809,10253,9503,10719,6998,5030,10328,
Fujairah,294,13060,2692,12705,13514,4995,2639,2862,11318,13071,9635,455,1199,11579,4691,11318,11647,3214,8359,4663,8345,13482,3967,13425,6140,11305,11848,6132,3066,4783,5543,12374,10461,13511,11146,12798,1047,980,6017,4521,5901,5728,5093,4788,6028,11877,14473,12052,12789,2379,9625,12668,12676,11413,11334,11757,13452,,5364,6242,2629,12087,7149,13422,4789,11669,11697,5815,6597,4690,2961,12430,13344,5969,1011,6244,6060,6335,3991,11975,11064,12882,5938,6604,12125,245,5668,3372,10820,3333,5737,2598,588,,659,5875,10180,13072,12801,8279,12745,6703,4636,13432,11969,5905,12975,11929,11935,4068,4957,12139,4092,12844,12459,11479,605,6015,5879,9482,11748,5724,5176,774,5749,6288,6292,6236,7783,6340,12659,2889,6239,5900,5427,12606,13273,12020,3545,371,13296,9616,905,13277,4518,11314,11399,12227,6103,11984,6799,9994,8336,5930,243,5892,6126,4712,10891,376,12576,9386,11125,11936,12849,12164,13419,11462,12634,6038,6010,9260,10402,9369,12796,3886,6038,6445,5597,4773,6166,6298,11055,11669,6249,6427,11875,7741,3218,12880,5298,10661,5324,12346,12360,6172,5873,383,5859,12801,13099,6362,13433,6009,12397,5926,5524,6123,4958,13237,12103,5664,
Fujian,5589,8132,7436,14430,10653,2225,7383,2521,13044,14797,10729,5751,5943,13304,984,13043,13372,2166,10084,1881,10070,10621,1594,10564,1097,13030,9821,1182,3560,845,7265,9010,5502,10650,6211,10878,4400,4696,973,3087,861,7451,2715,2343,1020,13438,15457,13724,10573,3620,11187,11177,14401,13139,10167,13482,10591,5364,,1301,3608,13817,3945,10549,809,9958,9928,809,1611,1053,3625,11318,14316,1006,4622,1302,1103,1406,1627,13484,12794,14611,907,1614,13777,5551,634,2029,12550,2047,780,3631,4944,4223,5965,885,5209,14472,14530,10009,14475,1713,1560,10559,13621,870,14705,13301,13664,1557,1989,7221,2155,14574,14189,10320,5912,1052,7609,11045,13478,7454,6906,4824,779,1298,1302,1294,5090,1350,11154,3548,1298,937,557,14335,14674,9739,2639,5678,10423,11346,4643,10404,3084,10181,10177,9541,3402,13714,1801,5023,10066,899,5168,857,1092,1260,10186,5682,14305,11115,6200,13665,14250,13815,10546,13192,11318,1085,1048,10990,12132,11099,10569,2516,1085,1517,561,844,1228,1308,12785,13399,1307,1499,13425,9471,2169,14280,145,10038,2261,14076,13873,1138,883,5689,862,14531,14829,1362,14833,1056,14049,963,489,1181,546,14967,13755,629,
Futtsu,6468,6920,8314,13777,9440,2716,8262,3400,12391,14144,10358,6630,6822,12652,1836,12390,12256,3039,10963,2577,10949,9408,2485,9351,1298,12378,8608,211,4439,1744,8144,7797,4312,9437,4999,9665,5279,5574,1175,3740,1000,8330,3201,2834,796,12225,14244,12511,9360,4498,10816,9964,13748,12025,8954,12829,9378,6242,1301,,4482,13141,3838,9328,1705,8737,8707,736,446,1947,4499,10097,13095,522,5495,14,389,183,,12263,12056,13936,1049,757,12556,6425,1036,2903,11946,2920,594,4504,5818,5097,6839,556,4028,13252,13855,10883,13800,594,2321,9338,12400,1141,14029,12081,12989,2405,2475,6001,3040,13898,13513,9145,6785,433,8482,10668,12292,8327,7779,5698,700,858,825,13,,768,9934,4422,9,489,837,13660,13453,8519,3509,6551,9202,10569,5516,9183,3731,8960,8957,8320,3321,13039,949,3843,10940,1041,6041,1122,1298,2154,9292,6556,13630,10832,4977,12990,13029,12594,9325,12517,10098,367,423,11392,11594,11249,9348,3308,367,294,1039,1740,128,868,11949,12723,19,276,12204,10345,3043,13060,1241,9267,2620,13400,12660,1344,553,6563,701,13855,14154,962,13613,338,12828,516,1011,211,1442,14292,12534,1106,
Gangavaram,2854,11295,4701,11910,12719,3332,4648,1106,10524,12277,8841,3016,3208,10785,2927,10523,10853,1452,7564,3001,7550,12688,2203,12631,4375,10511,11054,4368,588,3018,4748,11580,8697,12716,9382,12003,1665,1961,4252,3044,4137,4934,3563,3137,4264,11083,13679,11258,11995,,8830,11874,11881,10619,10539,10962,12658,2629,3608,4482,,11292,5523,12628,3026,10875,10903,4052,4835,2928,422,11636,12550,4206,1881,4482,4298,4572,2228,11180,10270,12087,4176,4842,11331,2811,3906,1610,10026,1570,3974,,2204,1483,3225,4113,8417,12277,12006,7485,11951,4941,2874,12638,11175,4142,12180,11135,11140,2306,3288,10377,2329,12049,11665,10684,3171,4252,5084,8688,10953,4929,4382,2084,3987,4525,4529,4473,6459,4577,11865,351,4477,4137,3664,11811,12479,11225,2020,2937,12502,8822,1902,12483,3041,10519,10604,11433,4477,11190,5037,8231,7542,4168,2427,4129,4364,2949,10096,2942,11781,8591,9362,11141,12055,11369,12625,10668,11840,4275,4248,8466,9608,8574,12002,2301,4276,4682,3834,3010,4403,4536,10261,10874,4486,4665,11081,6947,1455,12085,3536,9866,3655,11552,11566,4410,4111,2948,4097,12006,12305,4599,12638,4246,11603,4164,3762,4360,3195,12443,11308,3901,
Gioia Tauro,12312,6266,14159,1013,5937,12456,14106,11306,803,1378,6628,12474,12666,686,13114,802,1944,11661,4416,12254,4351,5901,12411,5817,14226,809,4595,13271,11727,13227,6583,5367,9109,5919,8246,4472,11138,11433,14103,11331,13928,8551,12295,12145,13467,2174,4803,2349,4732,11040,6361,4073,982,1710,4311,629,5848,12087,13817,13141,11292,,13268,5814,13236,4421,4459,13658,12872,13137,11623,3734,3686,13598,11349,13160,13465,13024,12438,2292,1158,1184,13989,12939,2443,12267,13997,11819,1278,11780,13667,11260,11659,10963,12681,13563,9761,3389,1101,4551,1046,12704,12564,5823,2287,14081,1277,2270,438,12505,12468,7170,12539,1146,774,7517,12627,13509,8697,6219,2065,6434,7988,11541,13677,13210,13176,13151,12016,13120,4049,11551,13155,13563,13873,906,3591,6845,11275,12393,5598,4058,11370,5626,11328,4482,4255,4970,13332,277,12734,9798,4484,13980,11881,14062,14237,13158,8010,12398,878,5943,8278,437,3167,2481,5811,765,4001,13442,13499,4555,1759,5571,4732,11606,13443,12960,14040,13220,13201,13220,1337,458,13164,12969,2193,4839,11664,3197,13745,8206,12836,647,2657,14283,13561,12404,13609,1102,1402,13244,3750,13413,2715,13589,13971,13283,13405,1540,2420,14108,
Gladstone,7375,,9221,13887,9550,2365,9169,4443,12501,14254,7144,7537,7729,12762,3537,12500,12366,4087,9641,3237,9627,9518,4104,9461,4537,12488,8718,3867,5482,4011,6888,7908,6252,9547,6300,9775,6186,6481,4414,3129,4247,7569,2308,2407,4193,12335,14354,12621,9470,5542,7602,10074,13858,12135,9064,12939,9488,7149,3945,3838,5523,13268,,9450,3975,8859,8829,4065,4092,4189,5546,10219,13217,3958,6398,3846,3915,3866,4136,12385,12177,14058,4294,4402,12678,7328,4136,3950,12067,3968,3822,5552,6721,6000,7742,3955,6419,13373,13977,9563,13922,4193,3284,9460,12522,4344,14151,12202,13111,3684,2759,6666,4565,14020,13635,7172,7688,3959,7723,7461,12413,7040,7020,6601,3924,4414,4418,3837,1531,4413,10055,5469,3841,3889,3619,13782,13575,,3689,7454,9324,9771,6419,9305,3123,9082,9078,8442,1111,13160,4489,6300,9620,4286,6944,4331,4534,4396,6720,7459,13752,7625,6295,13112,13151,12716,9447,12639,10219,3892,3949,8989,11686,8042,9470,3384,3893,3959,4071,4010,3841,4424,12071,12845,3850,3942,12326,9025,4091,13181,3879,,2855,13522,12770,4580,3953,7466,4091,13977,14275,4517,13734,3864,12950,3915,4002,3868,3744,14413,12655,4138,
Golden Pass,13648,2453,15494,6433,516,11087,15442,12625,5047,6800,6744,13809,14002,5308,11055,5046,4794,12281,6222,11437,6156,351,11703,65,10413,5033,1647,9458,13062,10976,7919,1554,5296,246,4433,1798,12473,12768,10290,11851,10115,9886,11039,11129,9654,4650,6575,4958,1350,12376,6477,2168,6404,4569,2144,5485,120,13422,10549,9328,12628,5814,9450,,10951,1832,1798,9847,9061,11192,12958,2350,5444,9787,12684,9348,9654,9213,11746,4705,4725,6607,10178,9128,5018,13602,10186,12144,4659,12161,9856,12596,12995,12299,14016,9752,5950,5684,6526,6357,6471,8893,11318,71,4862,10270,6701,4497,5660,11607,11185,3359,12275,6570,6185,3706,13963,9698,10033,6336,4793,7770,9324,12876,9866,9399,9365,9340,8308,9309,2156,12887,9343,9752,10084,6331,5886,3034,12420,13729,474,3841,12705,387,11855,2241,2116,1251,9801,5710,8923,5986,6290,10169,13216,10251,10426,11399,4199,13734,6301,6060,4467,5661,5462,5056,4,5188,2319,9631,9688,4664,4408,5687,1356,12115,9632,9149,10229,10986,9390,9409,4596,5394,9353,9158,4646,6645,12284,5492,10504,4395,11038,6072,5074,10472,9750,13740,9798,6526,6825,9432,6045,9602,5280,9778,10222,9472,10688,6963,4995,10297,
Guanabara,,5188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6673,,,11707,,,,,,,,,,,,,,,11728,,,,,,,,,,,,,8586,,,,,11540,,,,,,,,,,6023,,,,,,,,,,,,,,,,,,,8361,,,,,,,,,,,,,,,,,,,,11564,8604,,,,,,,,,,,7122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,5015,8524,6861,13855,11044,2086,6808,1947,12469,14222,10759,5176,5369,12730,689,12468,12798,1591,9509,1582,9495,11012,1015,10955,1576,12456,10212,1589,2985,71,6691,9401,5920,11041,6605,11269,3826,4121,1453,2788,1337,6876,2576,2204,1465,13028,15624,13203,10964,3045,10773,11568,13826,12564,10558,12907,10982,4789,809,1705,3026,13236,3975,10951,,10349,10319,1260,2046,309,3050,11709,14499,1414,4047,1710,1511,1802,1047,13130,12219,14037,1383,2049,13280,4976,1113,1454,11975,1472,1182,3056,4370,3649,5391,1320,5644,14227,13956,9434,13901,,1261,10950,13124,,14130,13084,13090,1181,1850,7613,1575,13999,13614,10568,5337,1460,7034,10637,12903,6879,6331,4250,1194,1733,1737,1702,5120,1785,11546,2974,1705,1345,893,13761,14428,10096,2103,5103,10814,10771,4068,10795,2785,10572,10568,9932,3345,13139,2244,5458,9491,1375,4593,,,516,10257,5108,13731,10541,6591,13091,14004,13319,10937,12617,11710,1492,1455,10415,11557,10524,10960,1980,1493,1913,1042,71,1632,1743,12210,12824,1715,,13031,8896,1595,14035,743,10068,2122,13501,13511,1617,1318,5114,1304,13956,14254,1807,14588,1463,13552,1371,969,1588,343,14392,13258,,
Guayama,11895,1862,13741,5041,1925,10495,13689,10889,3654,5407,4991,12056,12249,3915,10464,3654,3541,11244,4466,10846,4401,1893,11112,1836,9822,3641,218,8867,11309,10385,6166,962,4705,1922,3841,1419,10720,11016,9698,10914,9523,8133,10444,10538,9063,3530,5625,3809,1219,10623,4724,1591,5012,3309,,4093,1863,11669,9958,8737,10875,4421,8859,1832,10349,,48,9253,8467,10598,11205,1660,4494,9193,10931,8754,9059,8619,11152,3586,3336,5216,9583,8534,3870,11849,9592,11402,3224,11362,9262,10843,11242,10546,12264,9158,5355,4636,5134,4601,5079,8299,10724,1842,3715,9676,5309,3420,4268,11012,10590,2764,11680,5178,4793,3112,12210,9103,8280,4583,3600,6017,7571,11124,9272,8805,8771,8746,7714,8714,1578,11134,8749,9157,9490,4939,4837,2440,10858,11976,1706,2089,10952,1687,10911,546,,655,9207,4318,8329,5392,4534,9575,11464,9657,9832,10805,3605,11981,4909,4307,3873,4270,4413,3909,1829,3796,1719,9037,9093,2911,2901,3934,1225,11189,9037,8554,9635,10392,8796,8815,3233,4003,8759,8563,3526,4877,11247,4444,9909,3801,10444,4680,4026,9878,9156,11987,9204,5135,5433,8838,4997,9008,4142,9184,9628,8878,10094,5571,3848,9702,6673
Guayanilla,11923,1832,13769,5079,1891,10465,13717,10917,3692,5445,5019,12084,12277,3953,10433,3692,3579,11272,4502,10816,4437,1860,11082,1803,9791,3679,184,8837,11337,10355,6194,932,4675,1888,3811,1386,10748,11044,9668,10942,9493,8161,10414,10508,9033,3567,5663,3847,1185,10651,4752,1582,5050,3347,392,4131,1829,11697,9928,8707,10903,4459,8829,1798,10319,48,,9223,8437,10568,11233,1678,4532,9163,10959,8724,9029,8589,11122,3624,3374,5254,9553,8504,3908,11877,9562,11430,3262,11390,9232,10871,11270,10574,12291,9128,5326,4674,5172,4637,5117,8269,10694,1808,3752,9646,5347,3458,4306,10983,10561,2734,11650,5216,4831,3082,12238,9073,8308,4611,3638,6045,7599,11151,9242,8775,8741,8716,7684,8684,1570,11162,8719,9127,9460,4977,4875,2410,10886,12004,1672,2117,10980,1653,10939,568,,622,9177,4356,8299,5362,4570,9545,11491,9627,9802,10775,3575,12009,4947,4335,3843,4307,4451,3947,1795,3834,1734,9007,9063,2939,2939,3962,1191,11217,9007,8524,9605,10362,8766,8785,3271,4041,8729,8533,3564,4913,11275,4482,9879,3771,10414,4718,4064,9848,9126,12015,9174,5173,5471,8808,5034,8978,4180,9154,9598,8848,10064,5609,3886,9672,
Gwangyang,6040,7414,7886,14278,9940,2565,7834,2972,12891,14645,10758,6202,6394,13152,1426,12891,12757,2617,10535,2323,10521,9909,2045,9852,644,12878,9108,620,4011,1295,7716,8298,4768,9937,5479,10165,4851,5146,521,3530,346,7902,3055,2683,284,12726,14745,13011,9861,4070,11216,10465,14249,12526,9455,13330,9878,5815,809,736,4052,13658,4065,9847,1260,9253,9223,,877,1504,4076,10605,13604,308,5073,741,410,845,2078,12772,12564,14444,399,916,13064,6002,409,2480,12454,2498,327,4081,5395,4674,6416,187,4475,13760,14363,10460,14308,980,2002,9846,12908,491,14538,12589,13497,2000,2329,6502,2606,14407,14022,9677,6362,359,8059,11074,12800,7904,7357,5275,175,575,579,733,5155,624,10442,3999,736,263,532,14168,13962,9030,3090,6128,9710,11077,5093,9691,3527,9468,9465,8828,3522,13547,1065,4290,10517,391,5619,472,648,1711,9912,6133,14138,11238,5467,13498,13538,13103,9833,13025,10606,436,355,11441,12102,11550,9856,2967,437,955,453,1295,665,586,12457,13231,745,938,12712,9922,2620,13568,761,9857,2550,13909,13161,694,184,6140,123,14364,14662,626,14121,450,13336,264,445,618,997,14800,13042,520,
Hachinohe,6823,6635,8669,13492,9154,3063,8617,3755,12105,13858,10519,6985,7177,12366,2191,12105,11970,3400,11318,2927,11304,9122,2831,9065,1453,12092,8322,579,4794,2082,8499,7512,3985,9151,4696,9379,5634,5929,1330,4088,1155,8685,3553,3181,695,11939,13958,12225,9075,4853,10977,9679,13463,11739,8668,12544,9092,6597,1611,446,4835,12872,4092,9061,2046,8467,8437,877,,2290,4859,9819,12818,894,5855,459,761,282,2864,11985,11778,13658,1208,328,12278,6785,1216,3263,11668,3280,966,4864,6178,5457,7199,782,3693,12974,13577,11243,13522,,2681,9060,12122,1300,13751,11803,12711,2765,2827,5723,3392,13620,13236,8913,7145,805,8842,10835,12014,8687,8140,6058,896,429,395,450,5140,339,9656,4782,454,859,1197,13382,13175,8251,3869,6911,8924,10291,5876,8905,4083,8682,8679,8042,3575,12761,560,3507,11300,1199,6402,1281,1456,2497,9162,6916,13352,10999,4685,12712,12752,12317,9047,12239,9820,739,795,11114,11316,11417,9070,3663,739,194,1259,2081,501,439,11671,12445,463,203,11926,10705,3403,12782,1561,,2965,13123,12374,1502,780,6923,828,13577,13876,533,13335,710,12550,860,1252,583,1783,14014,12256,1327,11707
Haikou,4916,8766,6762,13757,11285,2168,6710,1848,12370,14123,10684,5077,5270,12631,777,12370,12699,1497,9411,1664,9397,11253,916,11197,1820,12357,10453,1831,2887,,6592,9643,6162,11282,6846,11510,3727,4022,1697,2870,1581,6778,2662,2286,1709,12929,15525,13104,11206,2946,10674,11810,13728,12465,10800,12809,11223,4690,1053,1947,2928,13137,4189,11192,309,10598,10568,1504,2290,,2956,11955,14405,1662,3952,1958,1759,2048,953,13035,12125,13942,1632,2298,13186,4882,1362,1360,11881,1378,1430,2961,4275,3554,5296,1569,5892,14132,13861,9340,13806,2397,1347,11196,13030,1598,14035,12990,12995,1116,1937,7858,1481,13904,13520,10786,5242,1708,6939,10543,12808,6784,6237,4155,1442,1981,1985,1949,5338,2033,11791,2879,1953,1593,1139,13666,14334,10342,2021,5008,11060,10677,3973,11040,2871,10818,10814,10178,3431,13045,2493,5707,9397,1623,4499,1585,1820,223,10475,5013,13636,10446,6837,12996,13910,13224,11183,12523,11955,1740,1704,10321,11463,10429,11206,1899,1741,2158,1290,,1878,1991,12116,12729,1962,2141,12936,8802,1500,13940,991,10286,2208,13407,13412,1866,1566,5020,1553,13861,14160,2055,14493,1712,13458,1620,1217,1835,598,14298,13163,1357,
Haldia,3186,11312,5033,12242,13051,3349,4980,1156,10856,12609,9173,3348,3540,11116,2944,10855,11184,1468,7896,3018,7882,13019,2220,12963,4392,10842,11385,4385,345,3035,5080,11912,8714,13048,9399,12335,1997,2293,4269,3141,4154,5266,3580,3154,4281,11414,14011,11590,12326,731,9162,12206,12213,10951,10871,11294,12989,2961,3625,4499,422,11623,5546,12958,3050,11205,11233,4076,4859,2956,,11967,12881,4223,2213,4498,4315,4589,2245,11512,10602,12419,4193,4859,11663,3142,3923,1627,10357,1587,3991,489,2536,1814,3556,4130,8434,12609,12338,7817,12283,4958,2891,12969,11507,4159,12512,11467,11472,2322,3305,10394,2346,12381,11996,11016,3503,4269,5416,9020,11285,5261,4714,2416,4003,4542,4546,4490,6580,4594,12196,77,4493,4154,3681,12143,12811,11557,2117,3269,12834,9154,2234,12814,3138,10851,10936,11765,4493,11522,5054,8248,7874,4184,2759,4146,4381,2966,10428,3274,12113,8923,9379,11473,12387,11701,12957,11000,12172,4292,4265,8798,9940,8906,12334,2318,4293,4699,3851,3027,4420,4552,10593,11206,4503,4682,11413,7279,1472,12417,3552,10198,3672,11883,11898,4427,4127,3280,4114,12338,12637,4616,12970,4263,11935,4181,3778,4377,3212,12775,11640,3918,
Halifax,12655,3222,14502,4353,2475,11855,14449,11649,2967,4720,6028,12817,13009,3228,11824,2966,2578,12004,4770,12206,4704,2438,12472,2354,11182,2954,1702,10227,12070,11745,6926,2322,6065,2456,5201,859,11481,11776,11058,11675,10883,8894,11810,11898,10423,2372,4304,2693,1157,11383,5761,388,4324,2365,1830,3405,2385,12430,11318,10097,11636,3734,10219,2350,11709,1660,1678,10605,9819,11955,11967,,3170,10558,11692,10120,10425,9984,12518,2424,2628,4519,10949,9900,2749,12610,10957,12162,2643,12123,10628,11603,12002,11306,13024,10523,6721,3330,4437,4905,4382,9665,12090,2363,2593,11041,4612,2223,3571,12378,11956,4130,12882,4481,4096,4477,12970,10469,9040,5619,2543,6777,8331,11884,10637,10170,10137,10112,9080,10080,368,11894,10115,10523,10856,4242,3532,3806,11618,12736,2137,3182,11713,2165,11671,2083,1760,1848,10573,3621,9694,6758,4837,10941,12224,11022,11198,12171,4971,12741,4212,5343,5238,3573,3108,2787,2350,3099,318,10402,10459,3947,2522,4970,1168,11949,10403,9920,11001,11757,10161,10180,2477,3306,10124,9929,2365,5193,12007,3138,11275,5167,11809,3983,2724,11244,10521,12748,10569,4438,4736,10204,3691,10374,2926,10550,10993,10243,11459,4874,2726,11068,
