name,shortName,IMO,type,capacity,fillCapacity,scnt,pilotLightRate,safetyHeel,warmingTime,coolingVolume,purgeVolume,minSpeed,maxSpeed,inaccessiblePortsOverride,inaccessibleRoutesOverride,inaccessibleRoutes,routeParametersOverride,minBaseFuelConsumption,hasReliqCapabilityOverride,notes,mmxId,reference,ladenAttributes.nboRate,ladenAttributes.idleNBORate,ladenAttributes.idleBaseRate,ladenAttributes.inPortBaseRate,ladenAttributes.fuelConsumptionOverride,ladenAttributes.serviceSpeed,ladenAttributes.inPortNBORate,ladenAttributes.fuelConsumption,ladenAttributes.kind,ballastAttributes.nboRate,ballastAttributes.idleNBORate,ballastAttributes.idleBaseRate,ballastAttributes.inPortBaseRate,ballastAttributes.fuelConsumptionOverride,ballastAttributes.serviceSpeed,ballastAttributes.inPortNBORate,ballastAttributes.fuelConsumption,ballastAttributes.kind,inaccessiblePorts,routeParameters,SUEZ.parameters.extraTransitTime,SUEZ.parameters.ladenConsumptionRate,SUEZ.parameters.ladenNBORate,SUEZ.parameters.ballastConsumptionRate,SUEZ.parameters.ballastNBORate,SUEZ.parameters.kind,PANAMA.parameters.extraTransitTime,PANAMA.parameters.ladenConsumptionRate,PANAMA.parameters.ladenNBORate,PANAMA.parameters.ballastConsumptionRate,PANAMA.parameters.ballastNBORate,PANAMA.parameters.kind,kind,baseFuel,inPortBaseFuel,pilotLightBaseFuel,idleBaseFuel
TFDE_7,,,,170518,0.985,,1,500,24,1000,,15,19.5,false,false,,false,,false,,,,204.621,204.621,26,11.4,false,15,,,VesselStateAttributes,204.621,204.621,26,11.4,false,15,,,VesselStateAttributes,,,24,76,204.621,74,204.621,VesselClassRouteParameters,24,76,204.621,74,204.621,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
Steam_1,,,,145440,0.985,,1,500,24,1000,,15,18.5,false,false,,false,,false,,,,218.16,218.16,20,12,false,15,,,VesselStateAttributes,145.44,145.44,20,12,false,15,,,VesselStateAttributes,,,24,104,218.16,102,145.44,VesselClassRouteParameters,24,104,218.16,102,145.44,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
DFDE_1,,,,173593,0.985,,1,500,24,1000,,15,18.5,false,false,,false,,false,,,,244.766,244.766,35,28,false,15,,,VesselStateAttributes,195.292,195.292,35,28,false,15,,,VesselStateAttributes,,,24,85.16,244.76,84.66,195.292,VesselClassRouteParameters,24,85.16,244.76,84.66,195.292,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
Charter A,cA,,,156000,0.985,,1,500,24,1000,,15,18.5,false,false,,false,,false,,,,210.6,210.6,35,28,false,15,,,VesselStateAttributes,156,156,35,28,false,15,,,VesselStateAttributes,,,24,68,210.6,84,156,VesselClassRouteParameters,24,68,210.6,84,156,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
Steam_2,,,,138000,0.985,,1,500,24,1000,,15,18.5,false,false,,false,,false,,,,207,207,20,12,false,15,,,VesselStateAttributes,207,207,20,12,false,15,,,VesselStateAttributes,,,24,124,207,124,207,VesselClassRouteParameters,24,124,207,124,207,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
ST_1,,,,177427,0.985,,1,500,24,1000,,15,18.5,false,false,,false,,false,,,,177.43,177.43,35,55,false,15,,,VesselStateAttributes,177.43,177.43,35,55,false,15,,,VesselStateAttributes,,,24,104,177.43,102,177.43,VesselClassRouteParameters,24,104,177.43,102,177.43,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
ST_2,,,,145958,0.985,,3,500,24,1000,,15,18.5,false,false,,false,,false,,,,218.94,218.94,25,55,false,15,,,VesselStateAttributes,160.55,160.55,35,55,false,15,,,VesselStateAttributes,,,24,131,218.94,127,160.55,VesselClassRouteParameters,24,131,218.94,127,160.55,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
TDFE B,,,,161881,0.985,,,,,,,,,false,false,,false,,false,,,TFDE_1,,,,,false,,,,VesselStateAttributes,,,,,false,,,,VesselStateAttributes,,,24,86.9,158.6,50,158.6,VesselClassRouteParameters,24,86.9,158.6,50,158.6,VesselClassRouteParameters,Vessel,,,,
Charter B,cB,,,156000,0.985,,1,500,24,1000,,15,18.5,false,false,,false,,false,,,,210.6,210.6,35,28,false,15,,,VesselStateAttributes,156,156,35,28,false,15,,,VesselStateAttributes,,,24,68,210.6,84,156,VesselClassRouteParameters,24,68,210.6,84,156,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
Charter C,cC,,,156000,0.985,,1,500,24,1000,,15,18.5,false,false,,false,,false,,,,210.6,210.6,35,28,false,15,,,VesselStateAttributes,156,156,35,28,false,15,,,VesselStateAttributes,,,24,68,210.6,84,156,VesselClassRouteParameters,24,68,210.6,84,156,VesselClassRouteParameters,Vessel,HFO,HFO,HFO,HFO
