from,Acajutla,Aliaga,Altamira,Arzew,Ashdod,Barcelona,Bethioua,Bilbao,Bonny,Brass,Brownsville,Cameron,Cape Town,Cartagena,Caucedo,Coega,Corpus Christi,Cove Point,Damietta,Dar-es-Salaam,Dragon,Drovyanoy,Dunkirk,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Fos Sur Mer,Freeport,Gibraltar,Gioia Tauro,Golden Pass,Guanabara,Guayama,Guayanilla,Gulf Gateway,Hadera,Halifax,Hammerfest,Holyhead,Huelva,Idku,Isle of Grain,Jorf Lasfar,Klaipeda,Koper,Kribi,Krk Island,Lake Charles,Le Havre,Limassol,Limerick,Livorno,Malta,Marmara Ereglisi,Marsa el Brega,Mombasa,Montoir,Mossel Bay,Mozambique Port,Neptune,Northeast Gateway,Ortona,Paldiski South Harbour,Panigaglia,Pascagoula,Pecem,Plaquemines,Point Fortin,Pointe-a-Pitre,Port Arthur,Port Dolphin,Port Esquivel,Port Said,Porto Empedocle,Puerto Bahia,Punta Europa,Quebec,Revithoussa,Rio Grande,Rosignano,Rostock,Rotterdam,Rovigo,Sabine Pass,Sagunto,Saint John,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Shtokman,Sines,Skikda,South Hook,Soyo,Swinoujscie,Taranto,Teesport,Trieste,Tripoli,Vyborg,Wilhelmshaven,Yuzhny,Zeebrugge,Boryeong,Caofeidian,Chita,Coos Bay,Costa Azul,Dalian,Dangjin,Donghae,Fukuoko,Futtsu,Gladstone,Gwangyang,Hachinohe,Hakodate,Hatsukaichi,Heibei,Hibiki,Higashi-Ogishima,Himeji,Hitachi,Inchon,Ishikariwan-Shinko,Jiangsu,Joetsu,Kagoshima,Kawagoe,Kenai,Kitakyushu,Kitimat,Kushiro,Kwangyang,Lianyungang,Manzanillo,Mejillones,Mizushima,Nagasaki,Nanao,Naoetsu,Negishi,Niigata-Higashi,Niigata-Nishi,Ogishima,Oita,Osaka,Pampa Melchorita,Prigorodnoye,Prince Rupert,Pyeong Taek,Qingdao,Qinhuangdao,Quintero,Rosarito,Sakai,Sakaide,Samcheog,Senboku,Sendai,Shanghai,Shimizu,Shinminato,Sodegaura,Soma,Talcahuano,Tangshan,Tianjin (Sinopec),Tianjin Lingang,Tobata,Tokyo Bay,Tong Yong,Vladivostok,Wakayama,Yanai,Yokkaichi,Yokohama,Zhangjiagang,Ambon,Arun,Barrow Island,Batangas,Bei Hai,Bintulu,Bladin Point,Bontang,Cai Mep,Chiwan,Dampier,Darwin,Dili,Fujian,Guangdong,Haikou,Hainan,Ho Chi Min City,Ichthys,Jakarta,Johore,Karratha,Lahad Datu,Lumut,Luwuk,Malacca,Map Ta Phut,New Plymouth,Ningbo,Okinawa,Onslow,Panjang,Pluto,Port Moresby,Prelude FLNG,Qinzhou,Semarang,Seria,Shenzhen,Singapore,Sungai Udang,Tabangao,Taichung,Tangguh,Yangpu,Yangshan,Yuedong,Yung An,Zhoushan,Zhuhai
Bethioua,5500.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13135.326,13476.550,12505.318,8342.980,7479.797,13336.831,13161.729,12701.369,13011.077,12375.273,12485.094,12883.571,12097.456,12119.601,12816.559,13476.550,12786.033,12380.931,12681.674,12250.251,13201.810,12171.977,13222.401,12401.889,12892.760,12506.628,9741.943,12788.594,8986.334,11929.765,12883.571,13304.062,6394.838,6751.106,12725.853,12902.506,12435.347,12401.889,12374.108,12345.281,12347.951,12376.773,12791.068,12660.997,6080.401,11950.075,9023.016,13198.844,13285.420,13455.538,7246.522,7503.523,12657.951,12717.911,12701.369,12658.542,12185.191,13265.565,12422.062,12445.555,12384.409,12194.150,7439.746,13476.550,13504.725,13504.725,12786.505,12387.920,12834.956,12468.835,12629.482,12814.237,12506.570,12375.844,13332.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao,5366.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13001.167,13342.391,12371.159,8208.821,7345.638,13202.672,13027.570,12567.210,12876.918,12241.114,12350.935,12749.412,11963.297,11985.442,12682.400,13342.391,12651.874,12246.772,12547.515,12116.092,13067.651,12037.818,13088.242,12267.730,12758.601,12372.469,9607.784,12654.435,8852.175,11795.606,12749.412,13169.903,6260.679,6616.947,12591.694,12768.347,12301.188,12267.730,12239.949,12211.122,12213.792,12242.614,12656.909,12526.838,5946.242,11815.916,8888.857,13064.685,13151.261,13321.379,7112.363,7369.364,12523.792,12583.752,12567.210,12524.383,12051.032,13131.406,12287.903,12311.396,12250.250,12059.991,7305.587,13342.391,13370.566,13370.566,12652.346,12253.761,12700.797,12334.676,12495.323,12680.078,12372.411,12241.685,13198.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,11220.658,13177.889,13002.953,,,,12707.112,,,,,,,,,,,,13125.926,,,13154.430,
Bintulu,,,11844.184,,,,,,,,11812.608,11755.866,,,11009.199,,11841.226,12069.753,,,,,,12364.362,,,11359.216,,,11782.531,,,11751.366,,11157.472,11127.529,11643.529,,12523.100,,,,,,,,,,,11761.152,,,,,,,,,,,,12351.317,12350.765,,,,11622.003,,11606.084,11379.912,11376.411,11757.916,11551.566,10743.838,,,10473.248,,,,,,,,,11748.291,,12513.593,,,,11765.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladin Point,,,11133.001,,,,,,,,11101.425,11044.683,,,10298.016,,11130.043,11358.570,,,,,,11653.179,,,10648.033,,,11071.348,,,11040.183,,10446.289,10416.346,10932.346,,11811.917,,,,,,,,,,,11049.969,,,,,,,,,,,,11640.134,11639.582,,,,10910.820,,10894.901,10668.729,10665.228,11046.733,10840.383,10032.655,,,9762.065,,12579.866,,,,,,,11037.108,,11802.410,,,,11054.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonny,6189.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9032.136,8168.953,,,,,,,,,,,,,,,,,,,,,,10431.099,,9675.490,,,,7083.994,,,,,,,,,,,,6769.557,,9712.172,,,,,8192.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bontang,,,11540.371,,,,,,,,11508.795,11452.053,,,10705.386,,11537.413,11765.940,,,,,,12060.549,,,11055.403,,,11478.718,,,11447.553,,10853.659,10823.716,11339.716,,12219.287,,,,,,,,,,,11457.339,,,,,,,,,,,,12047.504,12046.952,,,,11318.190,,11302.271,11076.099,11072.598,11454.103,11247.753,10440.025,,,10169.435,,12987.236,,,,,,,11444.478,,12209.780,,,,11461.810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boryeong,,14536.579,10198.354,13150.373,14904.827,13410.928,13149.849,13015.448,,,10166.778,10110.036,,13136.824,9363.369,,10195.396,10423.923,14783.433,,12980.000,14933.271,13263.678,10718.532,14507.290,12784.489,9713.386,13588.578,13591.670,10136.701,12896.546,13917.018,10105.536,,9511.642,9481.699,9997.699,14896.180,10877.270,13789.802,13039.257,12831.639,14707.984,13357.186,12720.263,14030.725,14612.309,,14570.321,10115.322,13170.643,14801.213,12852.898,13756.553,13881.871,14671.788,14284.845,,13066.866,,,10705.487,10704.935,14437.814,14229.031,13772.769,9976.173,11342.649,9960.254,9734.082,9730.581,10112.086,9905.736,9098.008,14807.178,13813.190,8827.418,,11645.219,14404.882,,13767.011,13805.880,13374.912,14597.737,10102.461,13297.814,10867.763,,12377.593,,10119.793,14097.563,12723.936,13495.928,12976.898,,13835.360,14172.366,13414.062,14614.369,14925.403,14392.272,13607.732,15063.291,13311.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brass,6128.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8970.626,8107.443,,,,,,,,,,,,,,,,,,,,,,10369.589,,9613.980,,,,7022.484,,,,,,,,,,,,6708.047,,9650.662,,,,,8131.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,2515.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10150.190,10491.414,9520.182,5357.844,4494.661,10351.695,10176.593,9716.233,10025.941,9390.137,9499.958,9898.435,9112.320,9134.465,9831.423,10491.414,9800.897,9395.795,9696.538,9265.115,10216.674,9186.841,10237.265,9416.753,9907.624,9521.492,6756.807,9803.458,6001.198,8944.629,9898.435,10318.926,3409.702,3765.970,9740.717,9917.370,9450.211,9416.753,9388.972,9360.145,9362.815,9391.637,9805.932,9675.861,3095.265,8964.939,6037.880,10213.708,10300.284,10470.402,4261.386,4518.387,9672.815,9732.775,9716.233,9673.406,9200.055,10280.429,9436.926,9460.419,9399.273,9209.014,4454.610,10491.414,10519.589,10519.589,9801.369,9402.784,9849.820,9483.699,9644.346,9829.101,9521.434,9390.708,10347.552,11149.182,12687.474,11885.558,11117.056,11442.581,11803.059,11093.530,11499.157,11765.449,11036.852,11913.823,11093.530,11191.404,10611.071,11001.300,11247.732,11246.115,11792.813,11093.530,12367.341,12200.176,11909.758,11366.460,11655.136,11238.139,12323.669,12325.994,8369.681,10326.912,10151.976,11779.713,12474.653,11910.709,9856.135,11339.008,11446.378,12169.682,11649.849,11035.751,12213.066,12326.378,11117.056,10560.619,11090.834,11319.317,10274.949,11001.300,10739.173,10303.453,11047.231
Cai Mep,,,11807.579,,,,,,,,11776.003,11719.261,,,10972.594,,11804.621,12033.148,,,,,,12327.757,,,11322.611,,,11745.926,,,11714.761,,11120.867,11090.924,11606.924,,12486.495,,,,,,,,,,,11724.547,,,,,,,,,,,,12314.712,12314.160,,,,11585.398,,11569.479,11343.307,11339.806,11721.311,11514.961,10707.233,,,10436.643,,,,,,,,,11711.686,,12476.988,,,,11729.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron,2458.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10093.449,10434.673,9463.441,5301.103,4437.920,10294.954,10119.852,9659.492,9969.200,9333.396,9443.217,9841.694,9055.579,9077.724,9774.682,10434.673,9744.156,9339.054,9639.797,9208.374,10159.933,9130.100,10180.524,9360.012,9850.883,9464.751,6700.066,9746.717,5944.457,8887.888,9841.694,10262.185,3352.961,3709.229,9683.976,9860.629,9393.470,9360.012,9332.231,9303.404,9306.074,9334.896,9749.191,9619.120,3038.524,8908.198,5981.139,10156.967,10243.543,10413.661,4204.645,4461.646,9616.074,9676.034,9659.492,9616.665,9143.314,10223.688,9380.185,9403.678,9342.532,9152.273,4397.869,10434.673,10462.848,10462.848,9744.628,9346.043,9793.079,9426.958,9587.605,9772.360,9464.693,9333.967,10290.811,11092.441,12630.733,11828.817,11060.315,11385.840,11746.318,11036.789,11442.416,11708.708,10980.111,11857.082,11036.789,11134.663,10554.330,10944.559,11190.991,11189.374,11736.072,11036.789,12310.600,12143.435,11853.017,11309.719,11598.395,11181.398,12266.928,12269.253,8312.940,10270.171,10095.235,11722.972,12417.912,11853.968,9799.394,11282.267,11389.637,12112.941,11593.108,10979.010,12156.325,12269.637,11060.315,10503.878,11034.093,11262.576,10218.208,10944.559,10682.432,10246.712,10990.490
Caofeidian,,14877.661,10539.436,13491.455,15245.909,13752.010,13490.931,13356.530,,,10507.860,10451.118,,13477.906,9704.451,,10536.478,10765.005,15124.515,,13321.082,15274.353,13604.760,11059.614,14848.372,13125.571,10054.468,13929.660,13932.752,10477.783,13237.628,14258.100,10446.618,,9852.724,9822.781,10338.781,15237.262,11218.352,14130.884,13380.339,13172.721,15049.066,13698.268,13061.345,14371.807,14953.391,,14911.403,10456.404,13511.725,15142.295,13193.980,14097.635,14222.953,15012.870,14625.927,,13407.948,,,11046.569,11046.017,14778.896,14570.113,14113.851,10317.255,11683.731,10301.336,10075.164,10071.663,10453.168,10246.818,9439.090,15148.260,14154.272,9168.500,,11986.301,14745.964,,14108.093,14146.962,13715.994,14938.819,10443.543,13638.896,11208.845,,12718.675,,10460.875,14438.645,13065.018,13837.010,13317.980,,14176.442,14513.448,13755.144,14955.451,15266.485,14733.354,13948.814,15404.373,13652.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Town,7356.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10198.709,9335.526,,,,,,,,,,,,,,,,,,,,,,11597.672,,10842.063,,,,8250.567,,,,,,,,,,,,,,10878.745,,,,,9359.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
