name,allowRewiring,buy.name,buy.date,buy.time,buy.windowSize,buy.duration,buy.min,buy.max,buy.optional,buy.price,buy.cargoCV,buy.arriveCold,buy.DES,buy.contract,buy.port,buy.kind,sell.name,sell.date,sell.time,sell.windowSize,sell.duration,sell.min,sell.max,sell.optional,sell.price,sell.FOB,sell.contract,sell.port,sell.kind,kind
Cargo 90,,Cargo 90,11/04/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 90,22/04/2011,,,,,,FALSE,,FALSE,Sell 10,El Ferrol,DischargeSlot,Cargo
Cargo 91,,Cargo 91,12/04/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 91,25/04/2011,,,,,,FALSE,,FALSE,Sell 10,Dragon LNG,DischargeSlot,Cargo
Cargo 94,,Cargo 94,17/04/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 94,27/04/2011,,,,,,FALSE,,FALSE,Sell 10,Huelva,DischargeSlot,Cargo
Cargo 97,,Cargo 97,18/04/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 97,17/05/2011,,,,,,FALSE,,FALSE,Sell 10,Oita,DischargeSlot,Cargo
Cargo 98,,Cargo 98,19/04/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 98,04/05/2011,,,,,,FALSE,,FALSE,Sell 10,Bilbao,DischargeSlot,Cargo
Cargo 103,,Cargo 103,26/04/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 103,08/05/2011,,,,,,FALSE,,FALSE,Sell 10,Bilbao,DischargeSlot,Cargo
Cargo 109,,Cargo 109,04/05/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 109,15/05/2011,,,,,,FALSE,,FALSE,Sell 10,Barcelona,DischargeSlot,Cargo
Cargo 110,,Cargo 110,05/05/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 110,18/05/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 114,,Cargo 114,07/05/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 114,18/05/2011,,,,,,FALSE,,FALSE,Sell 10,Dragon LNG,DischargeSlot,Cargo
Cargo 116,,Cargo 116,09/05/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 116,25/05/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 117,,Cargo 117,12/05/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 117,28/05/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 121,,Cargo 121,17/05/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 121,02/06/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 128,,Cargo 128,24/05/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 128,27/06/2011,,,,,,FALSE,,FALSE,Sell 10,Kawagoe,DischargeSlot,Cargo
Cargo 131,,Cargo 131,28/05/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 131,10/06/2011,,,,,,FALSE,,FALSE,Sell 10,Fos Sur Mer,DischargeSlot,Cargo
Cargo 132,,Cargo 132,29/05/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 132,27/06/2011,,,,,,FALSE,,FALSE,Sell 10,Yung An,DischargeSlot,Cargo
Cargo 140,,Cargo 140,08/06/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 140,26/06/2011,,,,,,FALSE,,FALSE,Sell 10,Hazira,DischargeSlot,Cargo
Cargo 141,,Cargo 141,09/06/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 141,20/06/2011,,,,,,FALSE,,FALSE,Sell 10,Huelva,DischargeSlot,Cargo
Cargo 143,,Cargo 143,12/06/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 143,23/06/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 145,,Cargo 145,14/06/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 145,24/06/2011,,,,,,FALSE,,FALSE,Sell 10,Sines,DischargeSlot,Cargo
Cargo 149,,Cargo 149,22/06/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 149,01/07/2011,,,,,,FALSE,,FALSE,Sell 10,Sines,DischargeSlot,Cargo
Cargo 154,,Cargo 154,28/06/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 154,12/07/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 161,,Cargo 161,09/07/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 161,04/08/2011,,,,,,FALSE,,FALSE,Sell 10,Mina Al-Ahmadi,DischargeSlot,Cargo
Cargo 163,,Cargo 163,10/07/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 163,06/08/2011,,,,,,FALSE,,FALSE,Sell 10,Yung An,DischargeSlot,Cargo
Cargo 164,,Cargo 164,12/07/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 164,23/07/2011,,,,,,FALSE,,FALSE,Sell 10,Sagunto,DischargeSlot,Cargo
Cargo 166,,Cargo 166,15/07/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 166,28/07/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 171,,Cargo 171,24/07/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 171,19/08/2011,,,,,,FALSE,,FALSE,Sell 10,Yung An,DischargeSlot,Cargo
Cargo 173,,Cargo 173,25/07/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 173,21/08/2011,,,,,,FALSE,,FALSE,Sell 10,Pyeongtaek,DischargeSlot,Cargo
Cargo 174,,Cargo 174,27/07/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 174,08/08/2011,,,,,,FALSE,,FALSE,Sell 10,Sagunto,DischargeSlot,Cargo
Cargo 177,,Cargo 177,29/07/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 177,10/08/2011,,,,,,FALSE,,FALSE,Sell 10,Huelva,DischargeSlot,Cargo
Cargo 183,,Cargo 183,09/08/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 183,24/08/2011,,,,,,FALSE,,FALSE,Sell 10,Cove Point,DischargeSlot,Cargo
Cargo 185,,Cargo 185,12/08/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 185,02/09/2011,,,,,,FALSE,,FALSE,Sell 10,Huelva,DischargeSlot,Cargo
Cargo 188,,Cargo 188,17/08/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 188,15/09/2011,,,,,,FALSE,,FALSE,Sell 10,Sakai,DischargeSlot,Cargo
Cargo 191,,Cargo 191,19/08/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 191,13/09/2011,,,,,,FALSE,,FALSE,Sell 10,Hazira,DischargeSlot,Cargo
Cargo 192,,Cargo 192,21/08/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 192,06/09/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 200,,Cargo 200,05/09/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 200,16/09/2011,,,,,,FALSE,,FALSE,Sell 10,El Ferrol,DischargeSlot,Cargo
Cargo 201,,Cargo 201,06/09/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 201,17/09/2011,,,,,,FALSE,,FALSE,Sell 10,Barcelona,DischargeSlot,Cargo
Cargo 203,,Cargo 203,08/09/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 203,22/09/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 205,,Cargo 205,11/09/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 205,08/10/2011,,,,,,FALSE,,FALSE,Sell 10,Yung An,DischargeSlot,Cargo
Cargo 207,,Cargo 207,13/09/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 207,23/09/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 208,,Cargo 208,15/09/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 208,25/09/2011,,,,,,FALSE,,FALSE,Sell 10,Bilbao,DischargeSlot,Cargo
Cargo 210,,Cargo 210,19/09/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 210,30/09/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 213,,Cargo 213,23/09/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 213,06/10/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 215,,Cargo 215,25/09/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 215,18/10/2011,,,,,,FALSE,,FALSE,Sell 10,Huelva,DischargeSlot,Cargo
Cargo 224,,Cargo 224,13/10/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 224,23/10/2011,,,,,,FALSE,,FALSE,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 109a,,Cargo 109a,04/06/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 109a,15/06/2011,,,,,,FALSE,,FALSE,Sell 10,Barcelona,DischargeSlot,Cargo
Cargo 76a,,Cargo 76a,27/04/2011,,,,,,FALSE,,,,FALSE,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 76a,10/05/2011,,,,,,FALSE,,FALSE,Sell 10,Dragon LNG,DischargeSlot,Cargo
