from,Bintulu,Limassol,Mizushima,Tombak LNG Terminal,Fos - Cavaou LNG Terminal,Kitakyushu,Barcelona,Tangguh,Chiwan,Halifax,Malacca,Point Fortin,Otaru,Kushiro,Le Havre,Koper,Kagoshima,Quintero,Osaka,Kochi,Qalhat,Incheon,Quebec,Rotterdam,Khor al Zubair,Isle of Grain,Okinawa,Falconara,Ohgishima,Semarang,Hadera,Mossel Bay,Donghae,Bahrain,Cameron,Arzew,Shenzhen,Dalian,Zhangjiagang,Aliaga,Punta Europa,Guayama,Tobata,Wakayama,Nanao,Suez Canal,Seria,Lahad Datu,Zhuhai,Pointe-a-Pitre,Soyo,Pluto,Gioia Tauro,Luwuk,Shanghai,Rostock,Qinzhou,Vyborg,Port Qasim,Pecem,Guayanilla,Swinoujscie,Karwar - South Port,Lumut,Sabine Pass,Negishi,Cartagena,Joetsu,Kwangyang,Panigaglia,Qingdao,Rosignano LNG,Dragon,Hakodate,Shinminato,Lake Charles,Port Esquivel,New Plymouth,Yokohama,Coega,Niigata-Nishi,Kakinada,Escobar,Qinhuangdao,Pampa Melchorita,Balboa,Livorno,Sodegaura,Port Moresby,Costa Azul,Huelva,Rio Grande,Zeebrugge,Revithoussa,Kenai,Tianjin,Fujairah,Corpus Christi,Tripoli,Senboku,El Ferrol,Kitimat,Dar-es-Salaam,Northeast Gateway Deepwater Port,Cove Point,Marsa el Brega,Rosarito,Everett,Heibei,Acajutla,Paldiski,Yangshan,Sendai,Cai Mep,Hammerfest,Higashi-Ogishima,Fos Sur Mer,Lianyungang,Sakhalin,Salvador,Bonny,Karratha Gas Plant,Ortona,Mombasa,Fort de France,Map Ta Phut,Barrow Island,Soma,Mejillones,Canaport,Hatsukaichi,Pascagoula,Manzanillo,Mozambique Port,Niigata Higashi,Yuzhny,Jiangsu,AES Andres,Golden Pass,Brownsville,Dahej,Hainan,Gwangyang,Colon,Ningbo,Ashdod,Skikda,Cape Town,Bethioua,Yokkaichi,Sungai Udang,Sagunto,Dunkirk,Guanabara,Jorf Lasfar,Arun,Batangas,Dangjin,Pipavav,Boryeong,Drovyanoy,Bal Haf LNG,Hitachi,Trieste,Puerto Bahia,Gulf Gateway Deepwater Port,Tenerife,Haikou,Bilbao,Jebel Ali,Panama Canal,Krk Island,Tokyo Bay,Yangpu,Chittagong,Neptune,Yung An,Montevideo,Freeport,Taranto,Chita,Coos Bay,Marmara Ereglisi,Porto Empedocle,Taichung,Johore,Ennore,Fukuoko,Panjang,Guangdong,Nagasaki,Gibraltar,Himeji,Jakarta,Sao Francisco do Sul,Darwin,South Hook LNG,Futtsu,Talcahuano,Hachinohe,Dampier,Port Dolphin,Tabangao,Ras Laffan,Hazira,Ho Chi Min City,Altamira,Shimizu,Gladstone,Sakai,Klaipeda,Gangavaram,Jurong Marine Base - Singapore,Vladivostok,Malta,Karachi,Ambon,Kawagoe,Sakaide,Haldia,Teeside,Yanai,Pars LNG Terminal,Mundra,Holyhead,Brass,Port Said,Shtokman,Plaquemines,Abu Dhabi,Limerick,Sines,Ain Sokhna,Dabhol,Idku,Bahia Blanca,Oita,Aqaba,Dili,Tong Yong,Montoir,Kribi,Damietta,Port Arthur,Wilhelmshaven,Elba,Fujian,Samcheog,Prince Rupert,Suez,Mina Al Ahmadi,Bontang,Rovigo,Pyeongtaek
Joetsu,2623,8672,643,6605,10065,469,10070,2989,1772,13085,3085,13842,,497,11611,9782,763,9482,719,4837,6087,897,13462,11815,6881,11798,1007,9677,826,3444,8621,8371,,6678,15178,10164,1771,1032,1025,9089,10988,13782,467,731,,,2472,2474,1782,13617,10393,4003,9767,2787,958,12513,2187,13098,5871,12268,13820,12542,5142,2477,15171,823,10170,0,579,9961,981,9926,11535,303,,15184,14331,5481,825,8193,65,4551,11342,1150,8548,7774,9941,833,3877,4996,10517,11364,11752,9078,3374,1200,6291,15281,8732,719,11072,3993,8379,13421,13833,9267,4985,13434,1172,6931,12936,951,572,2522,13031,830,10068,999,657,11912,11012,4002,9608,8529,13672,3082,4019,581,9195,13358,591,14955,6019,7826,75,9637,915,13953,15174,15262,5622,1983,579,14726,999,8605,9812,8637,10162,904,3088,10139,11704,11845,10639,3449,1903,857,5560,831,14164,6871,660,9784,14507,15066,11114,1985,11305,6475,,9740,837,2057,4487,13421,1473,11200,15213,9412,903,4286,9245,9488,1257,2962,4547,638,3566,1736,586,10394,695,3477,11781,3513,11532,824,9521,395,4006,14844,1903,6602,5543,2549,15299,874,4417,718,12738,4529,2974,482,9404,5863,3023,904,635,4547,12019,546,6593,5743,11632,10998,8467,13329,14986,6548,11618,10676,8363,5328,8627,10884,547,8311,3141,534,11398,10931,8519,15180,12048,14093,1301,,3808,8365,6827,2800,9768,894
Kwangyang,2147,8195,361,6127,9588,186,9592,2549,1295,12608,2608,13364,911,979,11134,9305,327,9912,437,4360,5610,386,12985,11338,6404,11320,549,9200,737,2966,8144,7894,283,6201,14701,9686,1293,521,519,8611,10510,13305,184,449,577,,1995,1997,1305,13140,9915,3526,9290,2329,452,12035,1710,12621,5393,11790,13343,12065,4665,2000,14693,735,9693,580,0,9484,469,9449,11058,785,587,14706,13854,5155,736,7716,615,4074,11215,639,9030,8256,9464,745,3521,5478,10040,11238,11275,8600,3856,689,5814,14803,8254,437,10594,4475,7901,12943,13356,8790,5467,12957,661,7413,12459,446,955,2045,12553,742,9591,488,1063,11434,10535,3525,9131,8052,13195,2605,3542,938,9677,12881,308,14478,6501,7349,624,9160,409,13476,14697,14785,5145,1506,0,14249,498,8128,9334,8159,9685,622,2610,9662,11227,11368,10162,2972,1426,346,5082,319,13687,6394,845,9307,14030,14589,10637,1507,10828,5998,,9263,749,1579,4009,12944,996,11074,14736,8935,620,4768,8768,9011,766,2484,4070,227,3089,1258,174,9916,412,3000,11543,3055,11055,736,9854,877,3529,14367,1426,6124,5065,2072,14821,666,4064,436,12260,4051,2497,626,8927,5386,2565,622,353,4070,11541,264,6116,5266,11154,10520,7990,12851,14509,6071,11141,10199,7886,4851,8149,10757,264,7833,2683,123,10920,10453,8041,14703,11571,13616,808,283,4290,7887,6350,2323,9291,383
Panigaglia,7654,1487,9705,4635,253,9563,388,9004,8465,3575,6899,4332,10287,10391,2101,1297,9425,8883,9729,5161,4096,9620,3952,2306,4912,2288,9104,1192,9927,7566,1581,6306,9707,4709,5669,685,8463,9696,9353,1223,4336,4272,9561,9698,9976,,7750,8320,8456,4107,4691,8197,472,8636,9286,3003,8400,3589,4423,3910,4310,3032,4872,7756,5661,9924,646,9980,9503,0,9580,56,2026,10196,9986,5674,4821,11464,9926,6435,10018,6280,6213,9814,10015,11366,33,9934,9782,13165,1007,5795,2243,1091,13248,9864,4307,5771,1611,9727,1562,13867,8402,3911,4323,984,13189,3924,9836,11682,3426,9212,10133,7646,3521,9931,256,9592,10485,4406,4269,8196,1122,8553,4162,7780,8168,10115,9474,3848,9656,5445,12201,7844,10028,1749,9356,4444,5664,5752,4676,8381,9503,5216,9186,1590,461,5992,684,9813,6902,531,2195,5093,1130,6541,8371,9580,4603,9556,4655,3177,10022,1299,4997,5556,1605,8383,1796,4506,,1255,9938,8310,6744,3911,8646,6071,5703,857,9811,14015,1358,487,8992,7069,6059,9466,7224,8478,9437,884,9750,7357,5423,8773,2023,9925,8655,10285,8200,5334,8371,4632,4712,7674,5789,9854,10827,9726,3228,6311,7020,10049,572,4408,8674,9813,9697,6643,2509,9614,4624,4505,2122,4203,1493,3819,5476,4579,2109,1167,1620,4729,1394,6480,9591,1901,8467,9548,1888,4403,1470,5671,2539,4584,9052,9707,13682,1596,4858,8343,1282,9618
Qingdao,2232,8272,747,6205,9665,573,9670,2747,1372,12685,2685,13442,1297,1383,11211,9383,647,10298,823,4437,5687,339,13062,11416,6482,11398,767,9278,1124,3044,8222,7971,687,6279,14779,9764,1371,313,515,8689,10588,13382,571,835,980,,2080,2083,1382,13217,9993,3612,9367,2487,448,12113,1788,12699,5471,11868,13420,12142,4743,2086,14771,1121,9770,984,472,9562,0,9526,11136,1188,990,14784,13931,5436,1123,7793,1018,4151,11496,431,9433,8660,9542,1131,3787,5882,10117,11518,11352,8678,4260,481,5892,14881,8332,823,10672,4878,7979,13021,13433,8867,5870,13034,453,7817,12536,437,1342,2122,12631,1128,9668,151,1466,11512,10612,3611,9208,8129,13272,2682,3628,1324,10080,12958,694,14555,6905,7427,1028,9237,364,13554,14774,14862,5222,1583,472,14326,540,8205,9412,8237,9763,1008,2688,9740,11304,11446,10240,3049,1512,305,5160,320,13765,6471,1231,9385,14107,14666,10715,1585,10906,6076,,9341,1135,1657,4087,13021,1074,11354,14813,9012,1007,5171,8846,9088,821,2562,4147,593,3167,,555,9994,799,3077,11621,3213,11133,1122,10230,1280,3615,14444,1512,6202,5143,2149,14899,1052,4330,822,12338,4129,2575,1029,9004,5464,2723,1008,739,4148,11619,650,6194,5344,11232,10598,8067,12929,14586,6149,11219,10277,7963,4928,8227,11038,651,7911,2841,527,10998,10531,8119,14781,11648,13693,857,687,4693,7965,6428,2409,9368,336
Rosignano LNG,7619,1452,9670,4600,259,9528,393,8969,8430,3572,6864,4329,10252,10356,2098,1262,9390,8879,9694,5126,4061,9585,3949,2302,4877,2285,9069,1157,9892,7531,1546,6303,9672,4674,5665,677,8428,9661,9318,1188,4333,4269,9526,9663,9941,,7716,8285,8421,4104,4688,8162,437,8601,9251,3000,8365,3585,4388,3907,4307,3029,4837,7721,5658,9889,643,9945,9468,58,9545,0,2022,10161,9951,5671,4818,11429,9891,6432,9984,6245,6209,9779,10011,11363,30,9899,9747,13162,1004,5792,2239,1056,13213,9829,4272,5768,1576,9692,1559,13832,8399,3908,4320,949,13186,3921,9801,11678,3423,9177,10098,7611,3518,9896,262,9557,10450,4403,4265,8161,1087,8549,4159,7745,8133,10080,9470,3845,9621,5442,12198,7840,9993,1715,9321,4440,5661,5749,4641,8346,9468,5213,9151,1555,452,5988,676,9778,6867,534,2191,5089,1126,6506,8336,9545,4569,9521,4651,3142,9987,1264,4994,5553,1601,8348,1792,4471,,1220,9903,8275,6709,3908,8611,6068,5700,822,9776,14012,1323,452,8957,7034,6024,9431,7189,8443,9402,880,9715,7323,5419,8738,2019,9890,8651,10250,8165,5331,8336,4597,4678,7639,5786,9819,10792,9691,3224,6276,6985,10014,537,4373,8639,9778,9662,6608,2506,9579,4589,4470,2119,4199,1458,3816,5473,4544,2105,1163,1585,4694,1359,6476,9556,1866,8432,9513,1885,4400,1435,5667,2535,4580,9017,9672,13647,1561,4823,8308,1247,9583
Dragon,9246,3080,11297,6228,1867,11155,1689,10596,10057,2367,8491,3734,11880,11984,365,2891,11017,8812,11321,6753,5688,11213,2590,569,6504,552,10696,2786,11519,9158,3175,6246,11300,6301,4653,1429,10056,11288,10946,2815,4276,3529,11153,11290,11568,,9343,9912,10048,3445,4631,9789,2195,10229,10879,1267,9992,1852,6016,3732,3567,1296,6464,9348,4646,11516,1415,11572,11095,2051,11172,2045,0,11789,11578,4658,3955,11797,11518,6375,11611,7873,6109,11406,9944,11295,2035,11527,11374,13094,1106,5691,506,2683,14841,11457,5899,4755,3204,11319,536,14587,8342,2708,3173,2563,13118,2722,11428,11610,1690,10804,11725,9239,1594,11523,1870,11184,12078,4296,4208,9788,2716,8492,3510,9372,9761,11707,9403,2644,11249,4430,12130,7783,11620,3342,10949,3659,4649,4737,6268,9973,11095,4430,10778,3183,1774,5931,1428,11405,8494,1576,458,4988,1172,8133,9963,11173,6196,11148,2728,4769,11615,2893,4226,4541,1505,9975,557,6098,,2849,11530,9902,8337,2709,10238,5967,4688,2451,11404,13944,2950,2092,10584,8661,7651,11058,8816,10070,11029,1175,11342,8950,5318,10365,3,11517,8584,11878,9793,4319,9963,6224,6305,9266,4773,11446,12419,11318,1492,7903,8612,11642,2160,6000,10266,11405,11289,8236,773,11207,6216,6097,148,4142,3086,1892,4461,6171,349,913,3212,6321,2986,6375,11183,3493,10059,11140,410,4343,3062,4655,802,3467,10644,11300,14624,3188,6450,9935,2876,11210
Hakodate,2840,8889,864,6822,10282,689,10286,3061,1989,13302,3302,14058,230,215,11828,9999,984,9200,830,5054,6304,1103,13679,12032,7098,12014,1224,9894,543,3661,8838,8588,602,6895,15395,10380,1987,1238,1233,9305,11205,13999,687,798,336,,2688,2691,1999,13834,10609,4181,9984,2923,1166,12729,2404,13315,6088,12484,14037,12759,5359,2694,15387,541,10387,303,784,10178,1186,10143,11752,0,346,15400,14548,5235,542,8410,249,4768,11059,1356,8265,7492,10158,551,3670,4714,10734,11082,11969,9294,3092,1406,6508,15497,8948,827,11288,3711,8595,13637,14050,9484,4702,13651,1378,6649,13153,1161,290,2739,13247,547,10285,1205,464,12128,11229,4180,9825,8746,13889,3299,4222,299,8913,13575,811,15172,5737,8043,246,9854,1123,14170,15391,15479,5839,2200,784,14943,1213,8822,10028,8853,10379,676,3305,10356,11921,11765,10856,3666,2120,1062,5776,1036,14381,7088,378,10001,14724,15283,11331,2201,11522,6692,,9957,554,2273,4703,13638,1690,10918,15430,9629,675,4003,9462,9705,1474,3178,4764,856,3783,1952,803,10610,850,3694,11499,3650,11749,542,9239,113,4184,15061,2120,6818,5759,2766,15515,592,4186,827,12954,4745,3191,441,9621,6080,3159,676,856,4764,12235,767,6810,5960,11848,11214,8684,13545,15203,6765,11835,10893,8580,5545,8843,10601,767,8527,3277,736,11615,11147,8735,15397,12265,14310,1518,602,3525,8581,7044,3016,9985,1100
Shinminato,2630,8678,649,6611,10071,475,10076,2996,1778,13092,3091,13848,471,541,11618,9789,769,9526,726,4843,6093,903,13468,11822,6888,11804,1013,9684,869,3450,8628,8378,,6685,15185,10170,1777,1038,1031,9095,10994,13788,473,737,,,2478,2481,1789,13623,10399,4009,9773,2793,964,12519,2194,13105,5877,12274,13826,12549,5149,2483,15177,867,10176,,585,9968,987,9933,11542,346,0,15190,14337,5487,868,8199,120,4558,11385,1157,8591,7818,9948,877,3883,5040,10523,11408,11759,9084,3418,1207,6298,15287,8738,725,11078,4037,8385,13427,13839,9274,5028,13441,1179,6975,12943,958,616,2528,13037,873,10074,1006,690,11918,11018,4008,9614,8535,13679,3089,4026,625,9239,13364,597,14962,6063,7833,130,9643,921,13960,15180,15268,5629,1989,585,14732,1005,8611,9818,8643,10169,910,3094,10146,11711,11852,10646,3455,1909,863,5566,837,14171,6877,704,9791,14513,15072,11121,1991,11312,6482,,9747,880,2063,4493,13428,1480,11244,15219,9418,909,4329,9252,9495,1264,2968,4554,645,3573,1742,592,10400,701,3484,11825,3520,11539,868,9565,439,4012,14850,1909,6608,5549,2556,15305,918,4423,725,12744,4535,2981,488,9411,5870,3029,910,642,4554,12025,553,6600,5750,11638,11004,8473,13335,14992,6555,11625,10683,8370,5334,8633,10927,553,8317,3147,540,11404,10937,8525,15187,12055,14100,1308,,3851,8371,6834,2806,9774,901
Lake Charles,12874,6707,14924,9855,5494,14783,5317,14181,13684,2362,12119,2248,15507,15611,4867,6518,14645,9170,14949,10381,9315,14840,3177,5072,10132,5054,14323,6413,15146,12785,6802,7799,14927,9929,5,5056,13683,14916,14573,6442,6299,1841,14781,14917,15195,,12970,13539,13675,2125,6654,12673,5823,13813,14506,5475,13619,6061,9643,3850,1808,5505,10091,12975,67,15144,5043,15199,14722,5679,14800,5673,4659,15416,15206,0,1260,12155,15145,7928,15238,11500,6487,15034,10302,11654,5662,15154,14393,13453,4734,6069,5009,6311,15697,15084,9527,281,6831,14946,4578,14946,9895,2164,1807,6191,13477,2177,15056,11969,5899,14432,15352,12866,5453,15151,5498,14811,15705,4673,6231,12672,6344,10046,2153,12999,12643,15335,9761,2327,14876,480,12489,9337,15248,6969,14576,1653,70,386,9895,13601,14722,1561,14405,6811,5402,7512,5055,15032,12122,5204,4960,5366,4668,11761,13591,14800,9823,14776,6584,8397,15242,6520,1584,147,4406,13602,4804,9726,,6476,15158,13530,11964,2164,13865,6345,155,6078,15031,14303,6578,5719,14211,12288,11278,14685,12444,13697,14657,4802,14970,12577,5696,13640,4656,15145,8942,15505,12676,703,13591,9852,9932,12893,551,15073,13585,14946,5700,11531,12239,15269,5788,9627,13801,15032,14917,11863,5083,14834,9844,9724,4719,6165,6713,5748,396,9799,4507,4606,6839,9948,6614,6753,14811,7121,13490,14767,4803,6366,6689,77,5289,1360,14271,14927,14983,6816,10078,13562,6504,14837
Port Esquivel,12021,5854,14071,9002,4642,13930,4464,12976,12831,1847,11266,1041,14654,14758,4153,5665,13792,7966,14096,9528,8462,13987,2615,4358,9279,4340,13470,5560,14293,11742,5949,6595,14074,9076,1255,4203,12830,14063,13720,5590,5171,655,13928,14064,14342,,12117,12686,12822,937,5508,11468,4970,12609,13653,4781,12766,5367,8790,2645,621,4810,9238,12122,1247,14291,4190,14346,13869,4826,13947,4820,3955,14563,14353,1260,0,10951,14293,6723,14385,10647,5282,14181,9098,10449,4809,14301,13189,12248,3882,4864,4294,5458,14492,14231,8674,1340,5978,14093,3807,13741,8691,1680,1394,5338,12272,1694,14203,10765,5204,13579,14499,12013,4841,14298,4645,13958,14852,3469,5103,11467,5491,8841,961,12146,11438,14482,8557,1843,14023,1121,11284,8132,14395,6116,13723,467,1250,1311,9042,12748,13869,543,13553,5958,4549,6307,4202,14179,11269,4351,4246,4161,3791,10908,12738,13947,8970,13923,5972,7544,14389,5667,472,1142,3483,12749,4036,8873,,5623,14305,12677,11111,1681,13013,5140,1281,5225,14178,13098,5725,4866,13358,11435,10425,13832,11415,12844,13804,3949,14117,11534,4491,12436,3952,14292,7738,14652,11472,1050,12738,8999,9079,12040,1343,14221,12380,14093,5006,10678,11386,14416,4935,8774,12596,14179,14064,11010,4389,13981,8991,8871,4014,5037,5860,5136,1105,8946,3828,3769,5986,9095,5761,5548,13958,6268,12285,13914,4069,5238,5836,1257,4590,1090,13418,14074,13778,5963,9225,12394,5651,13984
New Plymouth,4975,10163,5017,8096,11556,,11509,4000,5150,11429,5268,10035,5445,5240,11862,11274,4900,5286,4953,6328,7578,5387,12039,12066,8373,12048,4730,11169,,4573,10113,7155,5256,8170,12150,11248,5149,5515,5275,10580,9569,10393,,4921,5477,,4823,4424,5160,10122,8974,3888,11258,3948,5208,12763,5540,13349,7362,8339,10421,12793,6634,4828,12142,,11235,5481,5155,11453,5436,11418,11797,5235,5488,12155,10951,0,4885,7008,5464,6460,6171,5633,5912,6717,11433,,2296,,10994,6193,12003,10569,6336,,7783,12235,10223,4950,11333,6451,7688,11537,11589,10759,,11550,5655,6646,13187,5145,5007,5248,13193,,11559,,5542,7557,9593,3887,11099,7838,10058,5710,3857,,5741,11570,5020,12016,,7136,5461,11128,5248,10569,12146,12207,7113,5336,5155,11097,5143,10096,11303,7217,11248,,5270,11396,11955,6877,10749,5631,4680,,7051,,14326,8362,4913,11276,10867,12038,10325,5337,11567,7967,,11232,,5410,6555,11537,4889,6029,12177,10903,,6101,10737,10980,5029,5144,6324,,4696,5119,5002,10995,4973,4771,6611,3497,11794,,,5139,3891,11937,4680,8093,7034,5276,12238,4888,1529,4950,12988,6459,5157,5581,10896,7355,3553,,5009,6580,12269,4978,8085,7235,11898,9578,9958,13491,12000,8040,11786,10982,9854,6819,10118,5713,4955,9802,3595,,11659,9512,10010,12152,12299,11522,5089,5256,6470,9856,8319,4425,11259,5385
Yokohama,2551,8618,425,6551,10011,554,10015,2620,1738,13031,3031,13787,757,600,11557,9728,592,9295,360,4783,6033,1035,13408,11761,6827,11743,852,9623,7,3308,8567,8317,791,6624,15124,10109,1737,1170,1104,9034,10934,13728,551,329,863,,2400,2313,1749,13563,10339,3732,9713,2475,1037,12458,2153,13044,5817,12213,13766,12488,5088,2405,15117,8,10116,830,734,9907,1119,9872,11481,548,874,15129,14277,4887,0,8139,776,4497,10811,1288,8531,7751,9887,16,3322,4993,10463,10833,11698,9023,3415,1339,6237,15226,8677,358,11018,4034,8324,13366,13779,9213,4982,13380,1310,6915,12882,1009,299,2479,12977,11,10014,1137,959,11857,10958,3731,9554,8475,13618,3040,3774,281,9194,13304,516,14901,6003,7772,773,9583,1034,13899,15120,15208,5568,1949,734,14672,1049,8551,9757,8582,10108,207,3034,10085,11650,11517,10585,3395,1831,995,5505,969,14110,6817,189,9730,14453,15012,11060,1951,11251,6421,,9686,19,2023,4432,13367,1440,10669,15159,9358,206,4307,9191,9434,1245,2907,4493,710,3508,1702,698,10339,381,3419,11251,3201,11478,9,,451,3735,14790,1831,6547,5488,2507,15244,122,3837,357,12683,4474,2920,968,9350,5809,2711,207,417,4493,11964,513,6539,5689,11577,10943,8413,13274,14932,6494,11564,10622,8309,5274,8573,10353,490,8256,2829,700,11344,10877,8465,15126,11994,14039,1295,791,3848,8311,6773,2572,9714,1032
Coega,5861,7465,7925,5856,6252,7784,6074,6315,6685,6923,5120,5805,8508,8612,6448,7276,7645,5644,7950,4146,5338,7841,7426,6652,6132,6634,7324,7171,8147,5064,7560,217,7928,5929,7921,5813,6684,7916,7574,7200,2830,6163,7782,7918,8196,,5958,6038,6676,5893,2235,,6580,5948,7507,7349,6620,7935,5124,4110,6191,7379,4420,5963,7913,8145,5800,8200,7723,6436,7800,6430,6372,8417,8207,7926,6721,7009,8146,0,8239,4717,4154,8035,6776,8127,6420,8155,6833,9926,5559,3879,6589,7068,11436,8085,5542,8006,7589,7947,5909,11419,2006,7150,7293,6948,9950,7164,8057,8442,7773,7433,8353,5867,7835,8151,6255,7812,8706,3754,2854,,7101,2157,5829,6000,4808,8336,6235,7123,7877,7787,8962,1448,8248,7727,7577,6340,7916,7977,4887,6601,7723,6867,7406,7568,6159,479,5813,8033,5122,5961,6541,3688,5314,4761,6581,7801,4825,7777,8969,6122,8243,7278,6637,7808,4902,6603,6142,5726,,7234,8158,6531,5181,7151,6866,4012,7947,6836,8032,10776,7335,6477,7212,5289,4496,7686,4737,6698,7657,5560,7970,4856,3863,5797,6369,8146,5416,8506,,7705,6581,5853,4808,5894,8009,8074,6890,7947,7574,4748,5240,8270,6545,5117,5938,8033,7918,5080,6856,7835,5844,4998,6468,2840,7471,8133,7771,5799,6423,5549,7597,4593,7371,4180,7812,7562,5627,7768,6235,2773,7447,7923,6885,7284,7272,7928,11456,7573,6078,5733,7261,7838
Niigata-Nishi,2663,8712,683,6645,10105,509,10110,3030,1812,13125,3125,13882,386,444,11651,9822,803,9428,759,4877,6127,934,13502,11855,6921,11838,1047,9717,772,3484,8661,8411,,6718,15218,10204,1811,1069,1065,9129,11028,13822,507,771,116,,2512,2514,1822,13657,10433,4043,9807,2827,998,12553,2227,13138,5911,12308,13860,12582,5183,2517,15211,769,10210,66,616,10002,1018,9966,11576,249,121,15224,14371,5464,771,8233,0,4591,11288,1187,8494,7720,9981,779,3899,4943,10557,11310,11792,9118,3320,1237,6331,15321,8772,759,11112,3939,8419,13461,13873,9307,4931,13474,1209,6877,12976,991,518,2562,13071,776,10108,1036,605,11952,11052,4042,9648,8569,13712,3122,4059,527,9141,13398,631,14995,5965,7867,,9677,955,13993,15214,15302,5662,2023,616,14766,1039,8645,9852,8677,10203,905,3128,10179,11744,11885,10679,3489,1943,894,5600,868,14204,6911,606,9825,14547,15106,11155,2025,11345,6516,,9780,783,2097,4527,13461,1513,11146,15253,9452,903,4232,9286,9528,1297,3002,4587,679,3606,1776,626,10434,735,3517,11727,3553,11572,770,9467,341,4046,14884,1943,6642,5583,2589,15339,820,4414,758,12778,4569,3015,471,9444,5903,3063,905,676,4587,12059,586,6633,5783,11672,11038,8507,13369,15026,6589,11659,10717,8403,5368,8667,10830,587,8351,3181,569,11438,10971,8559,15220,12088,14133,1341,,3754,8405,6867,2840,9808,931
Kakinada,2232,4978,4283,2911,6371,4142,6376,3684,3043,9392,1478,10148,4866,4970,7918,6089,4003,10062,4308,1143,2393,4199,9768,8122,3188,8104,3682,5984,4505,2330,4928,4895,4286,2985,11485,6470,3042,4274,3932,5395,7509,10089,4139,4276,4554,,2329,2898,3034,9923,6914,3051,6073,3316,3865,8819,2978,9405,2177,8789,10126,8849,1449,2334,11477,4502,6476,4558,4081,6268,4158,6233,7842,4775,4564,11490,10637,6462,4504,4717,4597,0,8799,4392,11194,12154,6248,4513,4505,9404,6824,8559,8059,5384,7827,4443,2598,11587,5038,4305,7378,8446,4903,9727,10139,5574,9391,9741,4415,11317,9243,3790,4711,2225,9337,4509,6374,4170,5064,8433,7534,3051,5914,,9979,2358,3024,4694,10653,9664,4235,11262,10405,4351,4606,5943,3935,10260,11480,11568,1929,2959,4081,11032,3764,4911,6118,5158,6469,4391,1480,6446,8011,8367,6946,1128,2949,4159,1866,4135,10471,3177,4601,6091,10813,11372,7421,2961,7612,2782,,6047,4516,2889,651,9728,3224,8657,11519,5718,4390,8719,5552,5795,3570,1647,285,4044,2030,3056,4015,6700,4328,2164,8542,3579,7839,4504,9834,4864,3055,11150,2949,2908,1849,2252,11605,4432,5550,4304,9044,,1598,4628,5711,2170,3354,4391,4275,489,8325,4193,2900,2050,7938,7519,4773,9635,11292,2855,7925,6983,4670,1634,4933,8810,4169,4617,3159,4126,7704,7452,4825,11487,8355,10400,3630,4286,8260,4671,3134,3023,6074,4196
Escobar,9955,7245,11131,9937,6032,11056,5854,10096,10766,5760,9201,4366,11268,10982,6196,7056,10959,3185,11066,8227,9419,11447,6370,6400,10213,6382,10790,6951,10810,9175,7339,4028,11293,10010,6481,5593,10765,11575,11334,6980,4490,4724,11054,11035,11375,,10052,10131,10757,4454,4304,8901,6360,10042,11267,7097,10701,7683,9205,2671,4752,7127,8501,10057,6474,10807,5580,11341,11215,6216,11495,6210,6109,11059,11385,6487,5282,6170,10809,4156,11287,8798,0,11693,4318,5669,6200,10818,8408,7468,5339,476,6337,6848,9712,11743,9623,6567,7368,11064,5663,8961,6087,5868,5920,6728,7492,5882,11715,5984,7521,11204,10904,9948,7519,10814,6035,11507,11186,1894,4439,8900,6881,6238,4390,10081,8871,10887,3776,5901,11058,6348,6504,5529,11285,7507,11308,4901,6477,6538,8968,10682,11215,5428,11203,7348,5939,3783,5593,10881,9203,5741,6289,1192,5094,8842,10672,11407,8906,11380,8652,8934,10844,7058,5198,6369,4670,10684,5896,9807,,7014,10821,10612,9262,5869,10947,190,6508,6616,10880,8318,7115,6256,11126,9370,8577,11073,8848,10779,11061,5340,11087,8967,904,9611,6106,10809,2958,10976,8904,6268,10672,9934,8889,9975,6570,10878,7600,11063,7322,8829,9321,11479,6325,9197,9666,10881,11123,9161,6603,11016,9925,9079,6199,4384,7250,7816,6332,9880,6116,5324,7377,8674,7151,702,10993,7658,9708,11203,5989,4505,7227,6483,6633,5854,11186,11293,8998,7353,10159,9827,7041,11444
