from,Bintulu,Limassol,Mizushima,Tombak LNG Terminal,Fos - Cavaou LNG Terminal,Kitakyushu,Barcelona,Tangguh,Chiwan,Halifax,Malacca,Point Fortin,Otaru,Kushiro,Le Havre,Koper,Kagoshima,Quintero,Osaka,Kochi,Qalhat,Incheon,Quebec,Rotterdam,Khor al Zubair,Isle of Grain,Okinawa,Falconara,Ohgishima,Semarang,Hadera,Mossel Bay,Donghae,Bahrain,Cameron,Arzew,Shenzhen,Dalian,Zhangjiagang,Aliaga,Punta Europa,Guayama,Tobata,Wakayama,Nanao,Suez Canal,Seria,Lahad Datu,Zhuhai,Pointe-a-Pitre,Soyo,Pluto,Gioia Tauro,Luwuk,Shanghai,Rostock,Qinzhou,Vyborg,Port Qasim,Pecem,Guayanilla,Swinoujscie,Karwar - South Port,Lumut,Sabine Pass,Negishi,Cartagena,Joetsu,Kwangyang,Panigaglia,Qingdao,Rosignano LNG,Dragon,Hakodate,Shinminato,Lake Charles,Port Esquivel,New Plymouth,Yokohama,Coega,Niigata-Nishi,Kakinada,Escobar,Qinhuangdao,Pampa Melchorita,Balboa,Livorno,Sodegaura,Port Moresby,Costa Azul,Huelva,Rio Grande,Zeebrugge,Revithoussa,Kenai,Tianjin,Fujairah,Corpus Christi,Tripoli,Senboku,El Ferrol,Kitimat,Dar-es-Salaam,Northeast Gateway Deepwater Port,Cove Point,Marsa el Brega,Rosarito,Everett,Heibei,Acajutla,Paldiski,Yangshan,Sendai,Cai Mep,Hammerfest,Higashi-Ogishima,Fos Sur Mer,Lianyungang,Sakhalin,Salvador,Bonny,Karratha Gas Plant,Ortona,Mombasa,Fort de France,Map Ta Phut,Barrow Island,Soma,Mejillones,Canaport,Hatsukaichi,Pascagoula,Manzanillo,Mozambique Port,Niigata Higashi,Yuzhny,Jiangsu,AES Andres,Golden Pass,Brownsville,Dahej,Hainan,Gwangyang,Colon,Ningbo,Ashdod,Skikda,Cape Town,Bethioua,Yokkaichi,Sungai Udang,Sagunto,Dunkirk,Guanabara,Jorf Lasfar,Arun,Batangas,Dangjin,Pipavav,Boryeong,Drovyanoy,Bal Haf LNG,Hitachi,Trieste,Puerto Bahia,Gulf Gateway Deepwater Port,Tenerife,Haikou,Bilbao,Jebel Ali,Panama Canal,Krk Island,Tokyo Bay,Yangpu,Chittagong,Neptune,Yung An,Montevideo,Freeport,Taranto,Chita,Coos Bay,Marmara Ereglisi,Porto Empedocle,Taichung,Johore,Ennore,Fukuoko,Panjang,Guangdong,Nagasaki,Gibraltar,Himeji,Jakarta,Sao Francisco do Sul,Darwin,South Hook LNG,Futtsu,Talcahuano,Hachinohe,Dampier,Port Dolphin,Tabangao,Ras Laffan,Hazira,Ho Chi Min City,Altamira,Shimizu,Gladstone,Sakai,Klaipeda,Gangavaram,Jurong Marine Base - Singapore,Vladivostok,Malta,Karachi,Ambon,Kawagoe,Sakaide,Haldia,Teeside,Yanai,Pars LNG Terminal,Mundra,Holyhead,Brass,Port Said,Shtokman,Plaquemines,Abu Dhabi,Limerick,Sines,Ain Sokhna,Dabhol,Idku,Bahia Blanca,Oita,Aqaba,Dili,Tong Yong,Montoir,Kribi,Damietta,Port Arthur,Wilhelmshaven,Elba,Fujian,Samcheog,Prince Rupert,Suez,Mina Al Ahmadi,Bontang,Rovigo,Pyeongtaek
Shenzhen,1213,14106,1497,5089,12894,1355,12716,2143,,11756,1569,10611,2079,2183,13089,13917,1217,10285,1531,3321,4571,1412,12524,13294,5365,13276,916,13812,1741,1971,14201,6855,1499,5162,10989,12455,0,1488,1145,13842,9472,10391,1353,1499,1768,,1166,1277,44,10610,8877,2806,13222,1871,1078,13991,494,14577,4355,10752,10361,14021,3626,1171,10982,1738,12442,1772,1294,13078,1372,13072,13014,1988,1778,10994,9977,5150,1740,6677,1810,3035,10759,1606,10130,9394,13061,1748,3365,6639,12201,10521,13231,13710,5060,1656,4775,11075,14230,1528,12550,5679,6863,11589,11303,13590,6625,11603,1628,8558,14414,1004,1947,1001,14477,1745,12897,1384,2277,10395,9496,2805,13743,7013,10593,1561,2822,1929,10597,11752,1448,10855,7646,6310,1820,14368,1148,10242,10985,11046,4106,290,1294,9433,978,14210,12801,7120,12454,1625,1572,12603,13183,10329,11955,1933,708,1372,4043,1348,15610,5355,1836,13919,9707,10877,11543,,12784,4959,,13875,1752,363,2971,11590,378,10617,11016,13477,1624,5954,13977,13118,784,1445,3031,1258,2093,71,1229,12201,1548,2004,10504,2597,13011,1739,10097,2081,2809,10785,708,5085,4027,1028,11078,1666,4003,1528,14216,3013,1458,1841,13187,4347,2107,1625,1489,3031,13497,1406,5077,4227,13110,9481,14112,14774,10839,5032,13065,12190,6847,3812,14013,10769,1383,6795,2225,1340,12876,9415,14088,10991,13527,10999,844,1499,5493,6849,5311,1602,13903,1409
Dalian,2347,15002,803,6320,13789,629,13612,2850,1487,11078,2800,9933,1353,1439,13371,14813,707,10354,879,4552,5802,284,11846,13576,6596,13558,861,14708,1180,3159,15097,8086,743,6393,10311,13351,1486,0,630,14737,10703,9712,627,891,1036,,2195,2198,1497,9931,10108,3727,14118,2602,563,14012,1902,14597,5586,11543,9682,14041,4857,2200,10303,1177,13338,1040,528,13974,311,13968,13185,1244,1046,10316,9299,5515,1179,7908,1074,4266,11576,168,9489,8716,13957,1187,3870,5938,13032,11598,13512,14606,4316,218,6006,10396,15126,879,12985,4934,8094,10911,10625,14486,5926,10924,190,7873,14435,552,1398,2237,14072,1184,13792,370,1522,11627,10727,3726,14639,8244,9914,2797,3743,1380,10136,11074,750,10177,6961,7541,1084,15264,479,9564,10306,10368,5337,1698,528,8755,655,15106,13697,8351,13350,1064,2803,13499,13464,11560,12921,3164,1626,250,5274,,15202,6586,1287,14815,9028,10198,12578,1700,13216,6190,,14771,1191,1772,4202,10911,1188,11434,10337,14373,1063,5227,14873,14014,936,2677,4262,652,3281,1451,615,13097,854,3192,11735,3329,13182,1178,10290,1336,3730,10106,1626,6317,5258,2264,10399,1108,4412,878,14237,4244,2689,1085,14083,5578,2838,1064,795,4262,13620,706,6308,5458,13245,10712,15008,14367,10161,6263,13059,12925,8078,5043,14909,11117,707,8026,2957,583,13268,10646,14984,10313,13808,10321,972,743,4749,8080,6542,2523,14798,281
Zhangjiagang,2004,14992,783,5977,13779,609,13602,2526,1144,11068,2457,9923,1333,1429,13361,14803,582,10236,860,4209,5459,576,11836,13566,6254,13548,601,14698,1107,2816,15087,7743,733,6051,10301,13341,1143,633,0,14727,10360,9702,607,865,1022,,1852,1855,1154,9921,9765,3384,14108,2267,91,14002,1560,14588,5243,11533,9673,14031,4515,1858,10293,1105,13328,1026,520,13964,516,13958,13175,1234,1032,10306,9289,5274,1106,7565,1064,3923,11335,751,9479,8706,13947,1115,3594,5928,13022,11357,13503,14596,4306,801,5664,10386,15116,859,12975,4925,7751,10901,10615,14476,5916,10914,773,7863,14425,,1325,1894,14062,1111,13782,528,1512,11284,10384,3383,14629,7901,9904,2454,3400,1308,10127,11064,731,10167,6951,7199,1074,15254,289,9554,10296,10358,4994,1355,520,8745,248,15096,13687,8009,13340,992,2460,13489,13454,11218,12844,2821,1284,536,4932,,15192,6243,1215,14805,9018,10189,12432,1357,13206,5848,,14761,1118,1429,3859,10901,846,11193,10328,14363,990,5217,14863,14004,592,2334,3919,562,2939,,,13087,835,2849,11393,2993,13172,1106,10163,1326,3387,10097,1284,5974,4915,1921,10389,1036,4136,859,14227,3901,2347,1075,14073,5236,2503,992,776,3920,13610,687,5966,5116,13235,10370,14998,14357,10151,5921,13049,12915,7735,4700,14899,10876,687,7683,2621,573,13258,10303,14974,10303,13799,10311,628,733,4739,7737,6199,2181,14789,574
Aliaga,13022,561,14115,13024,1323,14178,1328,13460,13853,4347,12288,5104,13562,13319,2873,1015,14282,8636,14051,11314,12506,14591,4724,3078,13300,3060,14492,910,13766,12225,676,7078,14091,13097,6440,1426,13852,14726,14722,0,5108,5044,14176,14019,13825,,13119,13182,13844,4879,5463,11952,1029,13092,14655,3775,13788,4361,12292,4682,5082,3804,11588,13124,6433,13764,1432,13791,14273,1224,14675,1188,2798,13509,13835,6446,5593,12639,13765,7207,13738,11885,6984,14844,7469,6027,1204,13774,13955,8869,1779,6567,3014,212,11131,14895,12710,6543,685,14048,2334,10376,9174,4683,5095,673,8893,4696,14867,6890,4198,14601,13575,13035,4293,13770,1326,14694,13340,5178,5041,11951,840,9325,4934,13168,11921,13584,8141,4620,14206,6217,7784,8616,13735,636,14612,5215,6436,6524,12055,13769,14273,5988,14574,692,1074,6764,1425,13896,12290,1401,2966,5864,1902,11929,13737,14551,11993,14525,5426,13290,13639,1017,5769,6328,2377,13771,2568,12894,,973,13777,13699,12349,4683,14034,6843,6475,644,13895,9733,244,750,14380,12457,11664,14401,11898,13866,14292,1656,14071,12017,6194,12919,2795,13765,8829,13487,11955,6106,13737,13021,11976,13062,6561,13812,13885,14048,4000,11916,12408,13858,671,12285,13080,13896,14107,12248,3281,14204,13012,12166,2894,4974,621,4591,6248,12967,2881,1939,14782,11761,565,7252,14181,14730,12769,14225,2660,5175,601,6443,3310,5355,14440,14091,10413,14784,13246,12877,1000,14589
Punta Europa,8648,5368,10719,8649,4155,10577,3978,9085,9479,4837,7913,4296,11301,11405,4351,5179,10439,6754,10743,6939,8131,10634,5330,4555,8926,4538,10118,5074,10941,7851,5463,2704,10721,8723,6294,3717,9477,10710,10367,5103,0,4534,10575,10712,10990,,8745,8807,9470,4256,714,7577,4484,8718,10300,5253,9414,5838,7917,2898,4570,5282,7214,8750,6286,10938,3703,10994,10517,4339,10594,4334,4276,11210,11000,6299,5171,9569,10940,2832,11032,7511,4490,10828,6839,5398,4323,10948,9581,8240,3462,4097,4492,4972,10502,10878,8336,6396,5492,10741,3812,9746,4800,5105,5322,4851,8263,5119,10850,6260,5676,10226,11147,8660,5738,10945,4158,10606,11499,3017,136,7576,5004,4950,4238,8794,7547,11129,7345,5053,10670,6070,7155,4241,11042,5630,10370,4735,6289,6377,7681,9395,10517,5358,10200,5471,4063,2380,3716,10827,7916,3864,4444,3477,3217,7555,9362,10594,7618,10570,6872,8915,11036,5181,5129,6181,2805,9397,4045,8520,,5137,10952,9324,7975,5106,9660,4349,6328,4739,10825,9103,5238,4380,10006,8083,7289,10480,7524,9492,10451,3463,10764,7643,3797,8545,4272,10939,6526,11299,7581,5959,9362,8646,7601,8688,6414,10868,9619,10740,5478,7541,8034,11063,4449,7910,8705,10827,10711,7874,4759,10628,8638,7791,4372,157,5374,6036,6101,8593,4327,3452,10408,7387,5275,4718,10605,10355,8394,10562,4138,,5350,6296,4788,5432,10066,10721,9783,10409,8872,8503,5164,10632
Guayama,11148,5305,9087,11982,4092,9150,3915,10437,10383,1659,11246,544,8533,8291,3709,5116,9254,3608,9022,10273,11465,9563,2417,3913,12259,3896,9498,5011,8738,11184,5400,6037,9063,12056,1836,3654,10382,9698,9694,5040,4534,0,9148,8991,8797,,10996,10713,10394,,4877,10910,4421,10584,9627,4418,10797,5003,11251,2089,48,4447,10547,11001,1828,8735,3641,8763,9245,4277,9647,4271,3529,8481,8807,1841,655,7716,8737,6165,8709,10844,4724,9816,2441,999,4260,8746,9202,3841,3337,4306,3850,4909,6103,9866,11669,1921,5429,9020,3309,5348,8133,1576,1419,4789,3865,1590,9838,1862,4841,9621,8546,11112,4494,8742,4095,9665,8311,2911,4466,10910,4942,8283,,11672,10880,8555,3112,1712,9178,1702,2756,7574,8706,5567,9584,214,1831,1893,11014,10592,9245,960,9673,5409,4000,5749,3653,8868,11249,3802,3802,3603,3223,10888,10463,9523,10951,9497,5624,12248,8611,5118,742,1724,2890,10594,3540,11853,,5074,8749,10666,11308,1577,10086,4582,1863,4676,8867,4704,5176,4317,9907,11416,10622,9372,10857,10348,9264,3400,9043,10976,3933,10440,3526,8736,3801,8459,10914,1600,10463,11979,10934,11139,1924,8783,8846,9019,4643,10875,11367,8830,4386,11243,10496,8868,9079,11207,4026,9175,11971,11124,3588,4400,5311,4788,1686,11926,3420,3233,13741,10720,5212,4991,9152,13688,10538,9196,3599,4601,5287,1838,4146,1218,9957,9063,5384,13742,12205,10845,5101,9560
Tobata,2205,14445,178,6186,13232,,13055,2524,1353,10521,2666,9376,784,882,12815,14256,298,9729,254,4418,5668,485,11289,13019,6463,13001,585,14151,554,3025,14540,7953,241,6260,9754,12794,1352,620,606,14180,10569,9156,0,266,463,,2053,2056,1364,9374,9974,3584,13561,2327,539,13455,1769,14041,5452,10987,9126,13484,4724,2058,9746,552,12781,467,184,13417,569,13411,12628,687,473,9759,8742,5016,553,7774,505,4133,11054,738,8932,8159,13400,562,3412,5381,12476,11076,12956,14049,3759,788,5873,9839,14569,254,12428,4378,7960,10354,10068,13929,5369,10368,760,7316,13878,533,772,2103,13515,559,13236,587,982,11493,10593,3583,14082,8110,9357,2664,3601,755,9580,10517,125,9620,6404,7408,515,14707,497,9007,9749,9811,5204,1564,184,8198,580,14549,13140,8218,12793,439,2669,12942,12908,11427,12364,3030,1484,445,5141,419,14646,6452,662,14258,8471,9642,12021,1566,12659,6057,,14214,566,1638,4068,10354,1055,10912,9781,13816,437,4670,14316,13457,839,2543,4129,216,3148,1317,164,12540,229,3059,11494,3053,12625,553,9671,780,3587,9550,1484,6183,5124,2131,9842,483,3951,253,13680,4110,2556,566,13526,5445,2563,439,170,4129,13063,81,6175,5325,12688,10579,14451,13810,9604,6130,12502,12368,7945,4909,14352,10596,81,7892,2681,150,12711,10512,14427,9756,13252,9764,883,241,4192,7946,6409,2381,14242,482
Wakayama,2323,14297,105,6322,13085,270,12907,2511,1498,10374,2802,9228,1017,857,12667,14109,352,9526,41,4554,5804,751,11141,12871,6598,12853,623,14004,339,3167,14392,8088,507,6395,9606,12646,1497,886,864,14033,10705,9008,268,0,729,,2171,2142,1509,9227,10110,3588,13413,2331,797,13307,1914,13893,5588,10839,8978,13337,4859,2177,9599,336,12633,733,450,13269,835,13263,12481,808,739,9612,8594,4923,338,7910,772,4268,11038,1004,8784,8011,13253,346,3333,5251,12328,11060,12808,13901,3673,1055,6008,9692,14421,38,12281,4291,8096,10206,9920,13781,5239,10220,1026,7172,13731,769,557,2248,13367,343,13088,853,1217,11629,10729,3587,13934,8246,9210,2809,3630,539,9392,10369,196,9472,6260,7543,781,14560,763,8860,9602,9663,5339,1709,450,8050,809,14401,12992,8354,12646,223,2805,12794,12760,11562,12217,3166,1603,711,5277,685,14498,6588,446,14111,8324,9494,11874,1711,12512,6192,,14067,350,1783,4204,10207,1200,10896,9633,13669,222,4565,14168,13309,1005,2679,4264,470,3280,1462,458,12393,61,3190,11477,3057,12478,337,9478,709,3591,9402,1603,6319,5260,2276,9695,267,3862,38,13532,4246,2691,832,13378,5580,2567,223,97,4264,12915,201,6310,5460,12541,10715,14303,13662,9457,6265,12354,12220,8080,5045,14204,10580,233,8028,2685,416,12563,10648,14280,9608,13104,9616,1055,507,4106,8082,6544,2414,14094,748
Nanao,2619,14094,639,6601,12881,465,12704,2985,1768,10170,3081,9025,,531,12463,13905,759,9515,715,4833,6083,893,10938,12668,6877,12650,1003,13800,859,3440,14189,8367,,6674,9403,12443,1767,1028,1021,13829,10984,8804,463,727,0,,2468,2470,1778,9023,10389,3999,13210,2783,954,13104,2183,13689,5867,10635,8774,13133,5138,2473,9395,856,12430,,575,13066,977,13060,12277,336,,9408,8391,5477,858,8189,115,4547,11375,1146,8581,7808,13049,867,3873,5030,12124,11398,12604,13698,3408,1196,6287,9488,14218,715,12077,4026,8375,10003,9717,13578,5018,10016,1168,6965,13527,947,606,2518,13164,863,12884,995,680,11459,11008,3998,13731,8525,9006,3078,4015,615,9228,10166,587,9269,6053,7822,125,14356,911,8656,9398,9460,5618,1979,575,7847,995,14198,12789,8633,12442,900,3084,12591,12556,11841,12013,3445,1899,853,5556,827,14294,6867,694,13907,8120,9290,11670,1981,12308,6471,,13863,870,2053,4483,10003,1469,11234,9429,13465,899,4319,13965,13106,1253,2958,4543,634,3562,1732,582,12189,691,3473,11815,3509,12274,857,9555,428,4002,9198,1899,6598,5539,2545,9491,908,4413,714,13329,4525,2970,478,13175,5859,3019,900,631,4543,12712,542,6589,5739,12337,10994,14100,13459,9253,6544,12151,12017,8359,5324,14001,10917,543,8307,3137,530,12360,10927,14076,9405,12900,9413,1297,,3841,8361,6823,2796,13890,890
Suez Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seria,212,13384,2186,4376,12171,2055,11993,1650,1167,12369,856,11224,2779,2883,12367,13195,1914,9958,2204,2608,3858,2121,13137,12571,4652,12554,1577,13090,2401,1154,13479,6132,2200,4450,11602,11733,1166,2197,1854,13119,8749,11003,2053,2172,2468,,0,653,1158,11222,8154,2168,12500,1378,1787,13269,1142,13854,3642,10029,10973,13298,2914,9,11594,2398,11719,2472,1995,12355,2080,12350,12291,2688,2478,11607,10589,4823,2400,5958,2510,2322,10046,2315,10296,10006,12339,2409,2874,7285,11478,9799,12508,12987,5723,2365,4062,11687,13508,2202,11828,6342,6150,12201,11915,12867,7272,12215,2337,9142,13692,1713,2607,587,13754,2405,12174,2092,2977,9673,8773,2167,13020,6300,11205,1018,2185,2589,10338,12364,2138,11468,8232,5598,2520,13646,1857,10855,11597,11658,3393,1108,1995,10045,1686,13487,12078,6398,11732,2286,859,11880,12460,9607,11233,1220,715,2081,3331,2057,14888,4642,2497,13197,10319,11489,10821,1110,12061,4247,,13153,2412,1053,2258,12202,1181,9904,11628,12755,2285,6615,13254,12396,1492,733,2318,1955,1277,1176,1930,11479,2225,1187,9782,2104,12288,2399,9771,2759,2171,11397,715,4373,3314,615,11690,2327,3677,2201,13493,2300,746,2542,12464,3635,1614,2286,2179,2318,12775,2096,4364,3515,12388,8759,13390,14052,11452,4320,12342,11468,6134,3099,13290,10057,2073,6082,1703,2040,12154,8692,13366,11604,12804,11611,1552,2200,6156,6136,4598,978,13180,2118
Lahad Datu,805,13442,2175,4945,12229,2058,12052,1233,1277,12085,1425,10940,2782,2821,12425,13253,1917,,2174,3177,4427,2124,12853,12630,5222,12612,1579,13148,2314,1160,13537,6206,2202,5019,11318,11791,1276,2199,1857,13177,8807,10720,2056,2142,2470,,653,0,1272,10939,8212,1627,12558,961,1790,13327,1545,13912,4211,10087,10690,13356,3483,658,11311,2311,11778,2474,1998,12413,2083,12408,12350,2691,2481,11323,10306,4425,2313,6038,2513,2892,10131,2317,9898,9723,12397,2322,2456,7044,11536,9857,12566,13046,,2368,4632,11403,13566,2172,11886,6227,6348,11918,11632,12926,7030,11932,2340,8891,13750,1716,2520,1072,13812,2318,12232,2095,2980,9731,8832,1626,13079,6498,10921,1539,1644,2502,9939,12081,2127,11184,,5795,2522,13704,1860,10571,11314,11375,3963,1340,1998,9762,1689,13546,12137,6456,11790,2232,1428,11939,12518,9665,11291,1789,,2084,3900,2060,14946,5211,2410,13255,10035,11206,10879,1342,12120,4816,,13211,2325,1414,2827,11919,1186,9990,11345,12813,2231,6507,13313,12454,1495,1302,2888,1958,1465,1258,1932,11537,2195,1358,9840,1630,12347,2312,,2673,1630,11114,,4942,3883,1099,11406,,3278,2171,13552,2869,1315,2544,12523,4204,1197,2232,2167,2888,12833,2085,4934,4084,12446,8817,13448,14110,11168,4889,12401,11526,6704,3668,13349,10064,2062,6651,1149,2043,12212,8750,13424,11320,12862,11328,1555,2202,6030,6705,5168,409,13238,2121
Zhuhai,1205,14098,1507,5081,12886,1365,12708,2138,46,11767,1561,10621,2089,2193,13082,13909,1227,10295,1541,3313,4563,1422,12534,13286,5357,13268,926,13804,1751,1963,14193,6847,1509,5154,10999,12447,45,1498,1155,13834,9464,10401,1363,1509,1778,,1158,1272,0,10620,8869,2801,13214,1866,1088,13983,486,14569,4347,10744,10371,14013,3618,1163,10992,1748,12434,1782,1305,13070,1382,13064,13006,1998,1788,11005,9987,5160,1750,6669,1821,3027,10751,1616,10140,9404,13054,1758,3360,6649,12193,10513,13223,13702,5070,1666,4767,11085,14222,1538,12542,5689,6855,11599,11313,13582,6635,11613,1638,8569,14407,1014,1957,993,14469,1755,12889,1394,2287,10388,9488,2800,13735,7005,10603,1553,2817,1939,10608,11762,1458,10865,7657,6302,1830,14360,1158,10253,10995,11056,4098,282,1305,9443,988,14202,12793,7113,12447,1635,1564,12595,13175,10321,11947,1925,718,1382,4035,1358,15602,5347,1846,13911,9717,10887,11535,,12776,4951,,13867,1762,356,2963,11600,388,10609,11026,13469,1634,5964,13969,13110,794,1438,3023,1268,2085,81,1239,12194,1558,1996,10496,2592,13003,1749,10107,2091,2804,10795,718,5078,4019,1020,11088,1676,4014,1538,14208,3005,1450,1851,13179,4339,2102,1635,1499,3023,13489,1416,5069,4219,13102,9474,14104,14767,10850,5024,13057,12183,6839,3804,14005,10761,1393,6787,2220,1350,12868,9407,14081,11001,13519,11009,854,1509,5503,6841,5303,1597,13895,1420
Pointe-a-Pitre,11368,5139,9307,11712,3927,9369,3749,10657,10603,1760,10976,388,8753,8511,3614,4951,9474,3827,9242,10002,11194,9783,,3818,11989,3800,9718,4846,8958,10914,5234,5766,9282,11786,2120,3488,10602,9918,9914,4875,4256,,9367,9210,9016,,11216,10932,10613,0,,10640,4255,10803,9846,4375,11016,4960,10980,1817,,4404,10277,11221,2112,8955,3475,8983,9464,4111,9866,4105,3445,8700,9026,2125,937,7936,8957,5895,8929,10574,4454,10036,2660,1219,4095,8965,9422,4061,,4036,3755,4743,6323,10086,11399,2205,5263,9239,,5567,7863,1716,1608,4623,4084,1730,10058,2081,4798,9841,8766,11331,4479,8962,3930,9885,8531,2640,4188,10639,4776,8013,117,11856,10610,8775,3332,,9397,1976,2976,7304,8926,5402,9803,509,2115,2176,10744,10812,9464,1179,9893,5243,3834,5479,3488,9087,10979,3636,3707,3333,,10618,10683,9743,10681,9716,5609,11978,8830,4953,950,2007,,10814,,11583,,4909,8969,10886,11038,1717,10305,4312,2146,4511,9086,4924,5010,4151,10127,11146,10352,9592,10587,10567,9483,3235,9262,10706,3663,10660,3442,8956,4021,8678,10643,1864,10683,11709,10664,11359,2208,9003,9066,9239,4599,10604,11096,9050,4220,10973,10715,9087,9299,10937,3983,9395,11701,10854,3505,4122,5145,4774,1970,11656,,,13470,10449,5046,4720,9372,13418,10757,9416,3485,4323,5122,2122,4051,1465,10177,9282,5604,13472,11935,11065,4936,9780
Soyo,8053,5723,10124,8054,4510,9982,4333,8490,8883,5192,7318,4615,10706,10810,4706,5534,9844,6377,10148,6344,7536,10039,5685,4911,8331,4893,9523,5429,10346,7256,5818,2109,10126,8128,6649,4072,8882,10115,9772,5458,714,4877,9980,10117,10395,,8149,8212,8875,,0,6982,4839,8123,9705,5608,8819,6194,7322,,4913,5637,6619,8155,6641,10343,4059,10399,9921,4695,9999,4689,4631,10615,10405,6654,5508,8974,10345,2237,10437,6916,4304,10233,7158,5716,4678,10353,8986,8558,3818,,4848,5327,10820,10283,7741,6751,5847,10146,4167,10065,4205,5461,5677,5207,8582,5474,10255,6579,6031,9631,10552,8065,6094,10350,4514,10011,10904,3060,738,6981,5360,4355,,8199,6952,10534,6968,5409,10075,6426,7473,3646,10447,5985,9775,5078,6644,6732,7086,8800,9921,5677,9605,5827,4418,1785,4071,10232,7321,4220,4800,3390,3572,6960,8767,9999,7023,9975,7227,8320,10441,5536,5447,6536,3160,8801,4401,7925,,5492,10357,8729,7380,5461,9065,4163,6683,5094,10230,9421,5594,4735,9411,7488,6694,9885,6929,8897,9856,3818,10169,7048,3701,7950,4628,10344,6149,10704,6985,6314,8767,8051,7006,8093,6769,10273,9024,10145,5833,6946,7439,10468,4804,7315,8110,10232,10116,7279,5114,10033,8043,7196,4727,731,5729,6391,6456,7998,4682,3807,9813,6792,5630,4496,10010,9760,7799,9967,4493,,5705,6651,5144,5788,9471,10126,10102,9814,8277,7908,5520,10036
Pluto,2072,12212,3635,4831,10999,3585,10822,1699,2806,11671,1871,10553,4311,4231,11195,12023,3390,8783,3618,3063,4313,3652,12174,11399,5107,11382,3071,11918,3732,1163,12307,4999,3731,4904,11859,10561,2805,3728,3385,11947,7577,10910,3583,3587,3999,,2168,1627,2801,10640,6982,0,11328,1429,3318,12097,2930,12682,,8857,10938,12126,3368,2174,11851,3729,10547,4003,3526,11183,3612,11178,11120,4179,4009,11864,10847,3890,3731,,4042,3051,8901,3846,9380,10263,11167,3739,2076,8149,10306,8627,11336,11816,6928,3896,4517,11944,12336,3616,10656,7518,5250,11897,12040,11696,8136,11911,3868,9610,12520,3244,3930,2215,12582,3736,11002,3624,4508,8501,7602,6,11848,5400,10576,2364,93,3912,9216,11871,3587,11725,8824,,4051,12474,3388,11087,11854,11915,3848,2869,3526,10302,3218,12315,10907,5226,10560,3665,1874,10708,11288,8435,10061,2235,2182,3612,3785,3588,13716,5097,3820,12025,10576,11746,9649,2871,10889,4701,,11981,3743,2840,3113,11898,2715,8760,11885,11583,3663,7673,12082,11224,3024,1748,2972,3486,1187,2787,3461,10307,3639,1306,8610,1040,11116,3730,8601,4083,10,11654,2182,4828,3769,2242,11947,3684,3121,3615,12322,3040,1761,4073,11293,4089,1247,3665,3628,3138,11603,3545,4819,3969,11216,7587,12218,12880,11709,4774,11171,10296,6589,3554,12119,8857,3522,6537,936,3571,10982,7520,12194,11861,11632,11868,3084,3731,7352,6591,5053,1323,12008,3650
Gioia Tauro,12398,1293,13491,12400,631,13554,686,12835,13229,3723,11664,4480,12937,12695,2249,1103,13658,8012,13426,10690,11882,13967,4100,2453,12676,2436,13868,998,13142,11601,1387,6454,13467,12473,5816,802,13228,14102,14098,1029,4484,4420,13552,13395,13201,,12495,12558,13220,4255,4839,11328,0,12468,14031,3151,13164,3736,11668,4058,4458,3180,10964,12500,5809,13140,808,13167,13649,472,14051,437,2174,12885,13211,5822,4969,12015,13141,6583,13113,11261,6360,14220,6845,5403,452,13150,13331,8245,1155,5943,2390,897,10507,14271,12086,5919,1417,13424,1710,9752,8550,4059,4471,790,8269,4072,14242,6266,3574,13977,12951,12411,3669,13146,634,14070,12716,4554,4416,11327,928,8701,4310,12544,11297,12960,7517,3996,13582,5593,7160,7992,13111,1555,13988,4591,5812,5900,11431,13145,13649,5364,13950,1395,455,6140,801,13272,11666,765,2342,5240,1277,11305,13113,13927,11369,13901,4802,12666,13015,1105,5145,5704,1753,13147,1943,12270,,1061,13153,13075,11725,4059,13410,6219,5851,663,13271,9108,1164,292,13756,11833,11040,13777,11274,13242,13668,1032,13447,11393,5570,12295,2170,13141,8205,12863,11331,5482,13113,12397,11352,12438,5937,13188,13261,13423,3376,11292,11784,13234,377,11660,12455,13272,13483,11624,2657,13580,12388,11542,2270,4350,1299,3967,5624,12343,2257,1315,14158,11137,1200,6627,13557,14106,12144,13600,2036,4551,1275,5818,2686,4731,13816,13467,9789,14160,12622,12253,1088,13965
