name,shortName,IMO,type,capacity,fillCapacity,scnt,pilotLightRate,safetyHeel,coolingVolume,warmingTime,minSpeed,maxSpeed,inaccessiblePortsOverride,inaccessibleRoutesOverride,inaccessibleRoutes,routeParametersOverride,minBaseFuelConsumption,hasReliqCapabilityOverride,hasReliqCapability,notes,mmxId,reference,ladenAttributes.nboRate,ladenAttributes.idleNBORate,ladenAttributes.idleBaseRate,ladenAttributes.inPortBaseRate,ladenAttributes.fuelConsumptionOverride,ladenAttributes.serviceSpeed,ladenAttributes.inPortNBORate,ladenAttributes.fuelConsumption,ladenAttributes.kind,ballastAttributes.nboRate,ballastAttributes.idleNBORate,ballastAttributes.idleBaseRate,ballastAttributes.inPortBaseRate,ballastAttributes.fuelConsumptionOverride,ballastAttributes.serviceSpeed,ballastAttributes.inPortNBORate,ballastAttributes.fuelConsumption,ballastAttributes.kind,inaccessiblePorts,routeParameters,SUEZ.parameters.extraTransitTime,SUEZ.parameters.ladenConsumptionRate,SUEZ.parameters.ladenNBORate,SUEZ.parameters.ballastConsumptionRate,SUEZ.parameters.ballastNBORate,SUEZ.parameters.kind,PANAMA.parameters.extraTransitTime,PANAMA.parameters.ladenConsumptionRate,PANAMA.parameters.ladenNBORate,PANAMA.parameters.ballastConsumptionRate,PANAMA.parameters.ballastNBORate,PANAMA.parameters.kind,kind,baseFuel,inPortBaseFuel,pilotLightBaseFuel,idleBaseFuel
TFDE_5,,,,155000,0.985,,1,500,1000,24,15,18.5,false,false,,false,,false,false,,,,195.424,195.424,20,12,false,15,,,VesselStateAttributes,195.424,195.424,20,12,false,15,,,VesselStateAttributes,,,24,81,195.424,79,195.424,VesselRouteParameters,24,81,195.424,79,195.424,VesselRouteParameters,Vessel,HFO,HFO,HFO,HFO
TFDE_6,,,,160533,0.985,,1,500,1000,24,15,18.5,false,false,,false,,false,false,,,,158.125,158.125,9,35,false,15,,,VesselStateAttributes,158.125,158.125,9,35,false,15,,,VesselStateAttributes,,,24,75,158.125,82,158.125,VesselRouteParameters,24,75,158.125,82,158.125,VesselRouteParameters,Vessel,HFO,HFO,HFO,HFO
TFDE_7,,,,170518,0.985,,1,500,1000,24,15,19.5,false,false,,false,,false,false,,,,204.621,204.621,26,11.4,false,15,,,VesselStateAttributes,204.621,204.621,26,11.4,false,15,,,VesselStateAttributes,,,24,76,204.621,74,204.621,VesselRouteParameters,24,76,204.621,74,204.621,VesselRouteParameters,Vessel,HFO,HFO,HFO,HFO
Steam_1,,,,145440,0.985,,1,500,1000,24,15,18.5,false,false,,false,,false,false,,,,218.16,218.16,20,12,false,15,,,VesselStateAttributes,145.44,145.44,20,12,false,15,,,VesselStateAttributes,,,24,104,218.16,102,145.44,VesselRouteParameters,24,104,218.16,102,145.44,VesselRouteParameters,Vessel,HFO,HFO,HFO,HFO
DFDE_1,,,,173593,0.985,,1,500,1000,24,15,18.5,false,false,,false,,false,false,,,,244.766,244.766,35,28,false,15,,,VesselStateAttributes,195.292,195.292,35,28,false,15,,,VesselStateAttributes,,,24,85.16,244.76,84.66,195.292,VesselRouteParameters,24,85.16,244.76,84.66,195.292,VesselRouteParameters,Vessel,HFO,HFO,HFO,HFO
Charter A,cA,,,156000,0.985,,1,500,1000,24,15,18.5,false,false,,false,,false,false,,,,210.6,210.6,35,28,false,15,,,VesselStateAttributes,156,156,35,28,false,15,,,VesselStateAttributes,,,24,68,210.6,84,156,VesselRouteParameters,24,68,210.6,84,156,VesselRouteParameters,Vessel,HFO,HFO,HFO,HFO
Steam_2,,,,138000,0.985,,1,500,1000,24,15,18.5,false,false,,false,,false,false,,,,207,207,20,12,false,15,,,VesselStateAttributes,207,207,20,12,false,15,,,VesselStateAttributes,,,24,124,207,124,207,VesselRouteParameters,24,124,207,124,207,VesselRouteParameters,Vessel,HFO,HFO,HFO,HFO
ST_1,,,,177427,0.985,,1,500,1000,24,15,18.5,false,false,,false,,false,false,,,,177.43,177.43,35,55,false,15,,,VesselStateAttributes,177.43,177.43,35,55,false,15,,,VesselStateAttributes,,,24,104,177.43,102,177.43,VesselRouteParameters,24,104,177.43,102,177.43,VesselRouteParameters,Vessel,HFO,HFO,HFO,HFO
ST_2,,,,145958,0.985,,3,500,1000,24,15,18.5,false,false,,false,,false,false,,,,218.94,218.94,25,55,false,15,,,VesselStateAttributes,160.55,160.55,35,55,false,15,,,VesselStateAttributes,,,24,131,218.94,127,160.55,VesselRouteParameters,24,131,218.94,127,160.55,VesselRouteParameters,Vessel,HFO,HFO,HFO,HFO
TDFE B,,,,161881,0.985,,,,,,,,false,false,,false,,false,false,,,TFDE_1,237.12,237.12,,,false,,,,VesselStateAttributes,,,,,false,,,,VesselStateAttributes,,,24,86.9,158.6,50,158.6,VesselRouteParameters,24,86.9,158.6,50,158.6,VesselRouteParameters,Vessel,,,,
Charter B,cB,,,156000,0.985,,1,500,1000,24,15,18.5,false,false,,false,,false,false,,,,210.6,210.6,35,28,false,15,,,VesselStateAttributes,156,156,35,28,false,15,,,VesselStateAttributes,,,24,68,210.6,84,156,VesselRouteParameters,24,68,210.6,84,156,VesselRouteParameters,Vessel,HFO,HFO,HFO,HFO
Charter C,cC,,,156000,0.985,,1,500,1000,24,15,18.5,false,false,,false,,false,false,,,,210.6,210.6,35,28,false,15,,,VesselStateAttributes,156,156,35,28,false,15,,,VesselStateAttributes,,,24,68,210.6,84,156,VesselRouteParameters,24,68,210.6,84,156,VesselRouteParameters,Vessel,HFO,HFO,HFO,HFO
